"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_restrict_ip.links.menu.yml:0","Administer IP restriction configuration","","",FALSE,"","",""
"social_restrict_ip.permissions.yml:0","Administer restricted IP addresses","","",FALSE,"","",""
"src/Form/SettingsForm.php:45","Allowed IP Address List","","",FALSE,"","",""
"social_restrict_ip.permissions.yml:0","Allows the user to set IP addresses that are able to access administration pages","","",FALSE,"","",""
"src/Form/SettingsForm.php:32","Any IP address not on the list below will not be able to access administration pages.","","",FALSE,"","",""
"src/Form/SettingsForm.php:30","Enable IP restriction","","",FALSE,"","",""
"src/Form/SettingsForm.php:46","Enter the list of IP Addresses that are allowed to access the site. Enter one IP address per line, in IPv4 or IPv6 format. Your current IP Address is always added automatically.","","",FALSE,"","",""
"social_restrict_ip.routing.yml:0","IP Restriction settings","","",FALSE,"","",""
"social_restrict_ip.links.menu.yml:0","IP restriction","","",FALSE,"","",""
"social_restrict_ip.info.yml:0","Provides the ability for SM to restrict admin pages to just a set of specified IP addresses","","",FALSE,"","",""
"src/Form/SettingsForm.php:54","Save configuration","","",FALSE,"","",""
"social_restrict_ip.info.yml:0","Social","","",FALSE,"","",""
"social_restrict_ip.info.yml:0","Social Restrict IP","","",FALSE,"","",""
