"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_saas_core.permissions.yml:0","Access administration dashboard","","",FALSE,"","",""
"src/Controller/DashboardController.php:137","Account settings","Kontoeinstellungen","",FALSE,"","",""
"src/Controller/DashboardController.php:147","Add new user","","",FALSE,"","",""
"src/Controller/DashboardController.php:148","Add new user.","","",FALSE,"","",""
"src/Controller/DashboardController.php:324","Add to calendar settings","Zu den Kalender Einstellungen hinzufügen","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Administer SaaS social captcha settings","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Administer SaaS social sharing settings","","",FALSE,"","",""
"social_saas_core.links.menu.yml:0","Administer Social Sharing settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:561","Administer Webforms settings.","","",FALSE,"","",""
"src/Controller/DashboardController.php:543","Administer data policy settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:552","Administer role management settings","","",FALSE,"","",""
"social_saas_core.links.menu.yml:0","Administer spam protection settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:155","Administer which profile fields are enabled.","","",FALSE,"","",""
"src/Controller/DashboardController.php:143","Administration of all the people registered on the site.","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Allows access to the administration dashboard.","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Allows access to the captcha settings form and the ability to turn the captcha for registration on or off.","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Allows access to the sharing settings form and the ability to turn the sharing buttons on or off.","","",FALSE,"","",""
"src/Controller/DashboardController.php:269","Alternative Frontpage Settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:103","Analytics overview.","","",FALSE,"","",""
"src/Controller/DashboardController.php:331","Anonymous event enrollment settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:240","Appearance","","",FALSE,"","",""
"src/Controller/DashboardController.php:264","Basic Site Settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:408","Broadcast Push Notification","","",FALSE,"","",""
"src/Controller/DashboardController.php:242","Change colors and styling","","",FALSE,"","",""
"src/Controller/DashboardController.php:367","Change event organiser settings.","","",FALSE,"","",""
"src/Controller/DashboardController.php:118","Change or add links to the Footer menu.","","",FALSE,"","",""
"src/Controller/DashboardController.php:113","Change or add links to the Main menu.","","",FALSE,"","",""
"src/Controller/DashboardController.php:362","Change requirement and widget settings for event types.","","",FALSE,"","",""
"src/Controller/DashboardController.php:256","Change the image and text on the home page.","","",FALSE,"","",""
"src/Controller/DashboardController.php:265","Change the name and email address of your site.","","",FALSE,"","",""
"src/Controller/DashboardController.php:170","Choose a page that users will land on when visiting another users' profile (e.g., stream or about page).","","",FALSE,"","",""
"src/Controller/DashboardController.php:270","Choose the desired frontpage for the site. You can set an alternative frontpage for logged-in users.","","",FALSE,"","",""
"src/Controller/DashboardController.php:523","Clone group settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:445","Collaboration settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:459","Comment settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:82","Comments overview","","",FALSE,"","",""
"src/Controller/DashboardController.php:262","Configuration","","",FALSE,"","",""
"src/Controller/DashboardController.php:524","Configure Clone group settings.","","",FALSE,"","",""
"src/Controller/DashboardController.php:489","Configure Drupal Mailchimp settings.","","",FALSE,"","",""
"src/Controller/DashboardController.php:431","Configure E-mails being send from your platform.","","",FALSE,"","",""
"src/Controller/DashboardController.php:430","Configure Email settings","","",FALSE,"","",""
"src/Controller/DashboardController.php:354","Configure Geolocation","","",FALSE,"","",""
"src/Controller/DashboardController.php:500","Configure Social Mailchimp settings.","","",FALSE,"","",""
"src/Controller/DashboardController.php:512","Configure Social Scheduler settings.","","",FALSE,"","",""
"src/Controller/DashboardController.php:285","Configure how dates and times are displayed.","","",FALSE,"","",""
"src/Controller/DashboardController.php:178","Configure if and how people can login using SSO (advanced feature).","","",FALSE,"","",""
"src/Controller/DashboardController.php:332","Configure if anonymous visitors can enroll to an event.","","",FALSE,"","",""
