"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_saml_sp/src/EventSubscriber/RedirectSubscriber.php:104","
            Due to SSO login restrictions, this URL cannot be accessed.","
            Aufgrund von SSO-Anmeldebeschränkungen kann auf diese URL nicht zugegriffen werden.","","False","","",""
"modules/social_saml_sp/src/Form/IdentityProviderDeleteForm.php:45","
        Entity %label has been deleted.","
        Die Entität %label wurde gelöscht.","","False","","",""
"modules/social_saml_sp/social_saml_sp.module:147","
        Missing metadata URL for identity provider @id","
        Fehlende Metadaten-URL für Identitätsanbieter @id","","False","","",""
"modules/social_saml_sp/social_saml_sp.module:201","
        The metadata URL '@url' configured for Identity Provider '@id' returned
        a non-200 status code.","
        Die für den Identitätsanbieter '@id' konfigurierte Metadaten-URL '@url' hat
        einen Nicht-200-Statuscode zurück.","","False","","",""
"modules/social_saml_sp/src/Form/IdentityProviderDeleteForm.php:19","
      Are you sure you want to delete %name?","
      Sind Sie sicher, dass Sie %name löschen möchten?","","False","","",""
"modules/social_saml_sp/templates/saml-identity-provider.html.twig:85;102","(count: @count)","(count: @count)","","False","","",""
"modules/social_saml_sp/src/Controller/IdentityProviderListBuilder.php:70","<em>Never</em>","<em>Niemals</em>","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:124","'@key'","'@key'","","False","","",""
"modules/social_saml_sp/src/Form/IdentityProviderForm.php:66","A human readable label for the identity provider.","Eine von Menschen lesbare Bezeichnung für den Identitätsanbieter.","","False","","",""
"modules/social_saml_sp/config/schema/social_saml_sp.schema.yml:0","A mapping of a SAML attribute to user profile information","Eine Abbildung eines SAML-Attributs auf Benutzerprofilinformationen","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:154","Activates authentication via SimpleSAML.","Aktiviert die Authentifizierung über SimpleSAML.","","False","","",""
"modules/social_saml_sp/social_saml_sp.links.action.yml:0","Add Identity Provider","Identitätsanbieter hinzufügen","","False","","",""
"social_saas_saml.permissions.yml:0","Administer SAML settings in Open Social","Verwalten der SAML-Einstellungen in Open Social","","False","","",""
"modules/social_saml_sp/config/schema/social_saml_sp.schema.yml:0","An Identity Provider Open Social can talk to as Service Provider.","Ein Identity Provider, mit dem Open Social als Service Provider kommunizieren kann.","","False","","",""
"modules/social_saml_sp/src/Form/IdentityProviderForm.php:113","An XML file containing the current version of the metadata, use this if the metadata URL is not publicly available.","Eine XML-Datei, die die aktuelle Version der Metadaten enthält. Verwenden Sie diese Datei, wenn die URL der Metadaten nicht öffentlich zugänglich ist.","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:167","Attribute Mapping","Attribut-Mapping","","False","","",""
"modules/social_saml_sp/src/Form/AttributeMappingConfigForm.php:104;105","Attribute Name","Attribut Name","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:210","Automatic role population rules","Regeln für die automatische Rollenbelegung","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:221","Automatically enable SAML authentication for existing users upon successful login","Automatisches Aktivieren der SAML-Authentifizierung für bestehende Benutzer nach erfolgreicher Anmeldung","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:110","Below is information that you will need when configuring an Identity Provider. You may not need all of this information for your use-case. Different Identity Providers require different settings for their SimpleSAML set-up. The login URL is the URL that will be used by anonymous users to start the SAML authentication process. The debug URL can be used while setting up the Identity Provider, it starts the authentication process but redirects to a debug screen to show the data that is sent by the Identity Provider, it does not log you into the Open Social site.","Im Folgenden finden Sie Informationen, die Sie bei der Konfiguration eines Identity Providers benötigen. Möglicherweise benötigen Sie nicht alle diese Informationen für Ihren Anwendungsfall. Verschiedene Identity Provider erfordern unterschiedliche Einstellungen für ihre SimpleSAML-Einrichtung. Die Login-URL ist die URL, die von anonymen Benutzern verwendet wird, um den SAML-Authentifizierungsprozess zu starten. Die Debug-URL kann bei der Einrichtung des Identitätsanbieters verwendet werden. Sie startet den Authentifizierungsprozess, leitet aber zu einem Debug-Bildschirm weiter, um die vom Identitätsanbieter gesendeten Daten anzuzeigen, und meldet Sie nicht bei Open Social an.","","False","","",""
"modules/social_saml_sp/src/Form/AttributeMappingConfigForm.php:86","Clear a profile field's value","Den Wert eines Profilfeldes löschen","","False","","",""
"modules/social_saml_sp/templates/saml-identity-provider.html.twig:114","Click to view","Klicken Sie zur Ansicht","","False","","",""
"modules/social_saml_sp/social_saml_sp.links.menu.yml:0","Configure settings for Single Sign-On.","Konfigurieren Sie die Einstellungen für Single Sign-On.","","False","","",""
"modules/social_saml_sp/src/Form/AttributeMappingConfigForm.php:93","Controls what Open Social does with profile information that is present in Open Social but not in a SAML request. A setting other than <em>never</em> may cause manually filled in profile information in Open Social to be lost. However, a value of <em>never</em> will cause profile information removed in the Identity Provider to remain in Open Social.","Steuert, was Open Social mit Profilinformationen macht, die in Open Social vorhanden sind, aber nicht in einer SAML-Anfrage. Eine andere Einstellung als <em>never</em> kann dazu führen, dass manuell eingegebene Profilinformationen in Open Social verloren gehen. Ein Wert von <em>never</em> führt jedoch dazu, dass Profilinformationen, die im Identity Provider entfernt wurden, in Open Social verbleiben.","","False","","",""
"modules/social_saml_sp/src/Form/IdentityProviderForm.php:197","Could not fetch metadata from URL '%url'. Received status code: %status.","Es konnten keine Metadaten von der URL '%url' abgerufen werden. Empfangener Statuscode: %status.","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:158","Debug mode","Debug-Modus","","False","","",""
"modules/social_saml_sp/src/Form/IdentityProviderDeleteForm.php:36","Delete","löschen","","False","","",""
"social_saas_saml.permissions.yml:0","Developers Only - Allows the user to view the admin password set for the simplesaml application on the Open Social SAML settings page","Nur für Entwickler - Ermöglicht es dem Benutzer, das für die simplesaml-Anwendung auf der Open Social SAML-Einstellungsseite festgelegte Administratorkennwort anzuzeigen","","False","","",""
"modules/social_saml_sp/templates/saml-identity-provider.html.twig:58","Disabled","Deaktiviert","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:195","E-mail","E-Mail","","False","","",""
"modules/social_saml_sp/src/Form/IdentityProviderForm.php:135","Either a metadata URL must be provided or the current version of the metadata should be uploaded.","Entweder muss eine Metadaten-URL angegeben werden oder die aktuelle Version der Metadaten sollte hochgeladen werden.","","False","","",""
"modules/social_saml_sp/src/Form/SocialSamlSpSettingsForm.php:152","Enable","Aktivieren","","False","","",""
"modules/social_saml_sp/templates/saml-identity-provider.html.twig:58","Enabled","Aktiviert","","False","","",""
