"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:447","'%subject'","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:478","Based on your @settings, the notification above is sent to you <strong>:frequency</strong>","","","False","","",""
"social_swiftmail_sendgrid.module:95","Hi <strong>@display_name</strong>","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:470","Immediately","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:446","Notification from %site_name","","","False","","",""
"social_swiftmail_sendgrid.info.yml:0","Social","","","False","","",""
"social_swiftmail_sendgrid.info.yml:0","Social Swiftmailer & Sendgrid integration","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassUserMailQueueJob.php:118","The Job was finished correctly, no error thrown.","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:160","The Job was has been split up in batches.","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:125","The activity was already deleted. We marked it as successful.","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:249","The job was finished correctly.","","","False","","",""
"social_swiftmail_sendgrid.info.yml:0","This will use Swiftmailer to process mails and Sendgrid for the actual sending, allowing placeholders and more.","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:274;331","We expected some recipients. None were provided.","","","False","","",""
"src/Plugin/AdvancedQueue/JobType/MassActivitySendEmailJobType.php:471","email notification settings","","","False","","",""
