"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_tfa.permissions.yml:0","Administer Social TFA settings","","",FALSE,"","",""
"social_tfa.permissions.yml:0","Allow access to the administration form to configure Open Social TFA settings.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:191;223","An encryption key could not be generated.","","",FALSE,"","",""
"social_tfa.module:83","Disable TFA","","",FALSE,"","",""
"src/Form/TfaSettingsForm.php:87","Enable Two Factor Authentication","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:121","Key value could not be generated.","","",FALSE,"","",""
"social_tfa.info.yml:0","Provides TFA functionality.","","",FALSE,"","",""
"social_tfa.routing.yml:0","Reset attempts","","",FALSE,"","",""
"social_tfa.module:96","Setup TFA","","",FALSE,"","",""
"social_tfa.info.yml:0","Social","","",FALSE,"","",""
"social_tfa.info.yml:0","Social TFA","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:233","Social TFA encryption key set.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:272","Social TFA encryption profile already exists.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:287","Social TFA encryption profile set.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:292","Social TFA encryption profile was not saved on install.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:157","Social TFA key already exists.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:208","Social TFA key is going to be stored into database because private location is not available.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:238","Social TFA key was not saved on install.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:314","TFA encryption profile could not be removed during uninstall.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:334","TFA key could not be removed during uninstall.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:202","The %file file already exists, use it.","","",FALSE,"","",""
"social_tfa.routing.yml:0","Two Factor Authentication","","",FALSE,"","",""
"social_tfa.links.menu.yml:0","Two Factor Authentication settings","","",FALSE,"","",""
"social_tfa.module:26","Two-Factor Authentication","","",FALSE,"","",""
"social_tfa.module:119","Two-factor authentication","","",FALSE,"","",""
"social_tfa.module:88","Two-factor authentication (TFA) provides additional
security for your account. With TFA enabled, you log in to the site with a
verification code in addition to your username and password.","","",FALSE,"","",""
"social_tfa.module:83","View TFA settings","","",FALSE,"","",""
"src/Form/TfaSettingsForm.php:88","When Two Factor Authentication is enabled roles with administrative permissions are required to set it up upon login.","","",FALSE,"","",""
"src/SocialTfaInstallHelper.php:194","Writing encryption key to file fails.","","",FALSE,"","",""
"social_tfa.module:81","You have Two-factor authentication (TFA) setup for your account.","","",FALSE,"","",""
