"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/tour.tour.social_explore.yml:0","Click on the explore button to browse to all content in the community","","",FALSE,"","",""
"social_tour.permissions.yml:0","Configure the social tour module.","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Create groups","Gruppen erstellen","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Create groups to gather people with the same interests, expertise or tasks.","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Create your profile","Erstelle dein Profil","",FALSE,"","",""
"js/social_tour.js:0","Don't show tips like this anymore","","",FALSE,"","",""
"src/Form/SocialTourSettings.php:39","Enable the social tour","","",FALSE,"","",""
"config/install/tour.tour.social_event_overview.yml:0","Event Overview functionality.","","",FALSE,"","",""
"config/install/tour.tour.social_explore.yml:0","Explore functionality.","","",FALSE,"","",""
"config/install/tour.tour.social_node_view.yml:0","Follow an event or topic so you are always up-to-date! You will receive a notification whenever any activity takes place for this event or topic","","",FALSE,"","",""
"config/install/tour.tour.social_node_view.yml:0","Follow functionality.","","",FALSE,"","",""
"config/install/tour.tour.social_group_overview.yml:0","Group Overview functionality.","","",FALSE,"","",""
"config/install/tour.tour.social_group.yml:0","Group functionality.","","",FALSE,"","",""
"config/install/tour.tour.social_profile.yml:0","Here other community members can leave messages for you! You can also post messages on your own profile, these messages will be shown on other community members' homepage.","","",FALSE,"","",""
"config/install/tour.tour.social_group.yml:0","Here you can see all the activity in this group and join it.","","",FALSE,"","",""
"config/install/tour.tour.social_home.yml:0","Home page stream functionality.","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Now create your profile so others can get to know you.","Erstelle jetzt dein Profil, damit andere dich kennenlernen können.","",FALSE,"","",""
"src/SocialTourController.php:149","Onboarding has been enabled.","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Organise events","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Organize events where people can meet in person or online.","","",FALSE,"","",""
"social_tour.module:27","Other settings","","",FALSE,"","",""
"config/install/tour.tour.social_profile.yml:0","Profile page stream functionality.","","",FALSE,"","",""
"src/Form/SocialTourSettings.php:40","Set whether the tour is enabled or not.","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Share information","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Share information and start discussions with a post or topic.","","",FALSE,"","",""
"social_tour.module:33","Show tips on how to use the community","","",FALSE,"","",""
"social_tour.info.yml:0","Social","","",FALSE,"","",""
"social_tour.info.yml:0","Social Tour","","",FALSE,"","",""
"social_tour.permissions.yml:0","Social Tour settings","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Social profile","","",FALSE,"","",""
"social_tour.info.yml:0","The tour specific feature settings for Open Social.","","",FALSE,"","",""
"config/install/tour.tour.social_home.yml:0","This is the place to stay up to date with the latest activity for all topics, groups and events! You can also post messages here for your entire community to see.","","",FALSE,"","",""
"config/install/tour.tour.social_topic_overview.yml:0","Topic Overview functionality.","","",FALSE,"","",""
"social_tour.routing.yml:0","Tour settings","","",FALSE,"","",""
"config/install/tour.tour.social_event_overview.yml:0","Use the event filter if you only want to see either upcoming or past events","","",FALSE,"","",""
"config/install/tour.tour.social_group_overview.yml:0","Use the plus button in the navigation bar to create a new topic, or to start a new event or group","Verwende die Plus-Schaltfläche in der Navigationsleiste, um ein neues Thema zu erstellen oder eine neue Veranstaltung oder Gruppe zu starten","",FALSE,"","",""
"config/install/tour.tour.social_topic_overview.yml:0","Use the topic filter to filter on topic type.","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Welcome [current-user:display-name]. You have successfully created a password. Welcome to Open Social! With this platform you can collaborate with like minded people within the community!","Willkommen [current-user:display-name]. Du hast erfolgreich ein Passwort erstellt. Willkommen bei Open Social! Auf dieser Plattform kannst du mit Gleichgesinnten innerhalb der Community zusammenarbeiten!","",FALSE,"","",""
"config/install/tour.tour.social_home.yml:0","Welcome on the home page stream!","","",FALSE,"","",""
"config/install/tour.tour.social_group.yml:0","Welcome on this group page!","","",FALSE,"","",""
"config/install/tour.tour.social_profile.yml:0","Welcome on your profile stream!","","",FALSE,"","",""
"config/install/tour.tour.social_user.yml:0","Welcome!","","",FALSE,"","",""
"src/SocialTourController.php:166","You will not see tips like this anymore.","","",FALSE,"","",""
