"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_usercentrics.permissions.yml:0","Allow to set javascript that will loaded on ALL pages.","Erlaube das Einfügen von JavaScript, das auf ALLEN Seiten geladen wird.","","False","","",""
"src/Form/SocialUserCentricsForm.php:39","Enable User Centrics JS","Aktivieren Sie User Centrics JS","","False","","",""
"src/Form/SocialUserCentricsForm.php:59","Footer","Fusszeile","","False","","",""
"src/Form/SocialUserCentricsForm.php:65","Footer region","Fusszeilen-Region","","False","","",""
"src/Form/SocialUserCentricsForm.php:66","Footer region to put the JS in.","Fusszeile zum Einfügen des JS.","","False","","",""
"src/Form/SocialUserCentricsForm.php:59","Header","Kopfzeile","","False","","",""
"src/Form/SocialUserCentricsForm.php:56","JS Location","JS-Speicherort","","False","","",""
"social_usercentrics.info.yml:0","Module to insert JS snippet from User Centrics","Modul zum Einfügen von JS-Snippets aus User Centrics","","False","","",""
"social_usercentrics.permissions.yml:0","Set User Centrics Javascript","Benutzerzentrierung Javascript einstellen","","False","","",""
"social_usercentrics.links.menu.yml:0","Settings for User Centric.","Einstellungen für User Centric.","","False","","",""
"social_usercentrics.info.yml:0","Social","Social","","False","","",""
"social_usercentrics.info.yml:0","Social User Centrics","Soziale Nutzerzentrierung","","False","","",""
"src/Form/SocialUserCentricsForm.php:57","The output location of the User Centrics JS.","Der Ausgabeort der User Centrics JS.","","False","","",""
"src/Form/SocialUserCentricsForm.php:40","Turn User Centrics JS on or off.","Schalten Sie User Centrics JS ein oder aus.","","False","","",""
"social_usercentrics.routing.yml:0","User Centrics","Benutzerzentriken","","False","","",""
"social_usercentrics.links.menu.yml:0","User Centrics JS settings","Benutzer Centrics JS-Einstellungen","","False","","",""
"src/Form/SocialUserCentricsForm.php:47","User Centrics is a paid service. Register your key at <a href=""@url"">@url</a>","User Centrics ist ein kostenpflichtiger Dienst. Registrieren Sie Ihren Schlüssel unter <a href=""@url"">@url</a>","","False","","",""
"src/Form/SocialUserCentricsForm.php:46","User Centrics key","Benutzer Centrics-Schlüssel","","False","","",""
"social_usercentrics.links.task.yml:0","User Centrics settings","Benutzerzentrische Einstellungen","","False","","",""
