"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/VideoSettings.php:126","'- None -'","'- Keine -'","","False","","",""
"src/Plugin/VideoProvider/Mux.php:112","Access token ID","Zugangstoken-ID","","False","","",""
"src/Plugin/VideoProvider/Mux.php:118","Access token secret","Geheimnis des Zugangstokens","","False","","",""
"src/Plugin/Field/FieldWidget/SocialVideoPostWidget.php:39","Add video","Video hinzufügen","","False","","",""
"social_video.permissions.yml:0","Administer Video settings","Verwalten der Videoeinstellungen","","False","","",""
"src/Plugin/VideoProvider/Mux.php:352","An asset in Mux with id: @id, has been deleted.","Ein Asset in Mux mit der ID: @id wurde gelöscht.","","False","","",""
"src/Plugin/VideoProvider/Mux.php:213","Can't create an asset, error was: @error","Ein Asset kann nicht erstellt werden, der Fehler war: @error","","False","","",""
"src/Plugin/VideoProvider/Mux.php:252","Can't delete an asset, error was: @error","Ein Asset kann nicht gelöscht werden, der Fehler war: @error","","False","","",""
"src/Plugin/VideoProvider/Mux.php:232","Can't fetch an asset, error was: @error","Es kann kein Asset geholt werden, der Fehler war: @error","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:120","Can't fetch file entity.","Kann keine Datei-Entität abrufen.","","False","","",""
"src/Plugin/VideoProvider/Mux.php:139","Debug options","Debug-Optionen","","False","","",""
"src/Plugin/VideoProvider/Mux.php:134","Delete the stored passwords.","Löschen Sie die gespeicherten Kennwörter.","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:86","Determines if the video is external.","Bestimmt, ob das Video extern ist.","","False","","",""
"src/Plugin/Field/FieldFormatter/SocialVideoUrlFormatter.php:14","Display the external video url.","Anzeige der externen Video-URL.","","False","","",""
"src/Plugin/Filter/VideoEmbed.php:13","Embed video","Video einbetten","","False","","",""
"src/Plugin/Filter/VideoEmbed.php:13","Embeds video items","Einbettung von Videoelementen","","False","","",""
"src/Plugin/VideoProvider/Mux.php:145","Enable debug options","Debug-Optionen einschalten","","False","","",""
"config/schema/external_video.schema.yml:0","Entity ID","Entitäts-ID","","False","","",""
"config/schema/external_video.schema.yml:0","Entity type","Entitätstyp","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:66","External","Extern","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:70","External ID","Externe ID","","False","","",""
"config/schema/external_video.schema.yml:0","External Options","Externe Optionen","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:71","External asset ID","Externe Asset-ID","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:84","External video","Externes Video","","False","","",""
"config/schema/external_video.schema.yml:0","External video config","Externe Videokonfiguration","","False","","",""
"config/schema/external_video.schema.yml:0","File ID","Datei-ID","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:67","Flag to control whether this file is external","Flagge zur Kontrolle, ob diese Datei extern ist","","False","","",""
"src/Form/EditorVideoDialog.php:124","Height","Höhe","","False","","",""
"config/schema/external_video.schema.yml:0","ID","ID","","False","","",""
"src/Plugin/VideoProvider/Mux.php:298","Missing the webhook signature header","Fehlen des Webhook-Signatur-Headers","","False","","",""
"src/Plugin/VideoProvider/Mux.php:321","Mux.com asset error: type: @type with message: @message","Mux.com asset error: type: @type mit Meldung: @message","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:113","No active provider found.","Kein aktiver Anbieter gefunden.","","False","","",""
"config/schema/external_video.schema.yml:0","Processed","Verarbeitet","","False","","",""
"config/schema/external_video.schema.yml:0","Provider","Anbieter","","False","","",""
"src/Form/VideoSettings.php:123","Providers","Anbieter","","False","","",""
"social_video.info.yml:0","Provides ability to add videos to your content","Bietet die Möglichkeit, Videos zu Ihren Inhalten hinzuzufügen","","False","","",""
"src/Plugin/VideoProvider/Mux.php:153","Re-write local url when sending a request to Mux. This is useful if you want Mux to access your local files via tunneling (eq: ngrok)","Umschreiben der lokalen Url beim Senden einer Anfrage an Mux. Dies ist nützlich, wenn Sie möchten, dass Mux auf Ihre lokalen Dateien über Tunneling zugreift (z. B. ngrok).","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:10","Reference","Verweis","","False","","",""
"src/Plugin/Field/FieldFormatter/SocialVideoFormatter.php:15","Render external video.","Externes Video rendern.","","False","","",""
"src/Form/EditorVideoDialog.php:137","Save","Speichern","","False","","",""
"social_video.info.yml:0","Social","Sozial","","False","","",""
"src/Plugin/Field/FieldWidget/SocialVideoWidget.php:7","Social Video","Soziales Video","","False","","",""
"src/Plugin/Field/FieldWidget/SocialVideoPostWidget.php:10","Social Video Post","Sozialer Videobeitrag","","False","","",""
"social_video.routing.yml:0","Social Video Settings","Einstellungen für soziale Videos","","False","","",""
"src/Plugin/Field/FieldFormatter/SocialVideoUrlFormatter.php:14","Social Video URL","Soziale Video-URL","","False","","",""
"src/Plugin/VideoProvider/Mux.php:308","The webhook signature is invalid","Die Webhook-Signatur ist ungültig","","False","","",""
"src/Plugin/Field/FieldType/SocialVideo.php:10","This field stores an external video file.","In diesem Feld wird eine externe Videodatei gespeichert.","","False","","",""
"src/Form/VideoSettings.php:101","Type configuration","Artkonfiguration","","False","","",""
"src/Plugin/VideoProvider/Mux.php:151","URL re-write","URL neu schreiben","","False","","",""
"social_video.routing.yml:0","Upload video","Video hochladen","","False","","",""
"src/Plugin/CKEditorPlugin/SocialVideo.php:85;11","Video","Video","","False","","",""
"social_video.module:115","Video content","Video-Inhalte","","False","","",""
"social_video.links.menu.yml:0;0","Video settings","Video-Einstellungen","","False","","",""
"social_video.routing.yml:0","Webhook","Webhook","","False","","",""
"src/Plugin/VideoProvider/Mux.php:126","Webhook signature","Webhook-Signatur","","False","","",""
"src/Form/EditorVideoDialog.php:116","Width","Breite","","False","","",""
"js/post-widget.js:0","Your video is currently being processed","Ihr Video wird gerade bearbeitet","","False","","",""
