"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_webpurify.permissions.yml:0","Able to configure Webpurify settings","","","False","","",""
"social_webpurify.module:22","About","","","False","","",""
"social_webpurify.module:28","Add API KEY to the @form;","","","False","","",""
"social_webpurify.permissions.yml:0","Administer WebPurify settings","","","False","","",""
"src/Service/WebpurifyAPI.php:178","Can't get an xml parser. Probably extension ext-xml is missed or disabled","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:164","Comment types","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:150","Content types","","","False","","",""
"social_webpurify.module:26","Create an account on @link;","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:230","Enable user validation","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:129","Enable validation mode","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:123","Enter the developer key provided to you by <a href=""http://www.webpurify.com"" target=""_blank"">WebPurify</a>","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:137","Entity types","Entitätstypen","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:115","General Configuration","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:195","Groups","","","False","","",""
"social_webpurify.module:24","How to configure WebPurify","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:130","If enabled, fields will be checked during content creation.","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:231","If enabled, the user (and profile) fields will be checked for obscene words.","","","False","","",""
"social_webpurify.module:30","If on some reasons you want to disable webpurify validation just turn off the option ""Enable validation mode"" on setting form;","","","False","","",""
"social_webpurify.module:27","On main page of your webpurify account you should see section ""Block List"" where you can add profanity words which should be filtered;","","","False","","",""
"social_webpurify.module:29","On settings page chose the entity types you want to validate and save configuration. All selected entity types will be under webpurify protection;","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:179","Posts","","","False","","",""
"src/Service/WebpurifyAPI.php:172","Problem with response data - xml is empty","","","False","","",""
"social_webpurify.info.yml:0","Provides the ability setup purification settings","","","False","","",""
"src/Service/SocialWebpurifyService.php:58","Rewrite","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:121","Secret key","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:170","Select comment types that need replacing profanity in text.","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:156","Select content types that need replacing profanity in text.","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:201","Select group types that need replacing profanity in text.","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:185","Select post types that need replacing profanity in text.","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:216","Select taxonomy vocabularies that need replacing profanity in text.","","","False","","",""
"social_webpurify.links.menu.yml:0","Set the configuration to purify profanity ","","","False","","",""
"social_webpurify.info.yml:0","Social","","","False","","",""
"social_webpurify.info.yml:0","Social WebPurify","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:210","Taxonomy vocabularies","","","False","","",""
"social_webpurify.module:184","The @field contain profanity words!","","","False","","",""
"social_webpurify.module:23","This module extends the WebPurify module with own configuration","","","False","","",""
"src/Form/SocialWebpurifySettingsForm.php:224","User","","","False","","",""
"src/Service/SocialWebpurifyService.php:59","Validation","","","False","","",""
"social_webpurify.routing.yml:0","WebPurify settings","","","False","","",""
"src/Service/WebpurifyAPI.php:186","Xml parsing failed: Code @code - @msg","","","False","","",""
