"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"includes/form.inc:122","'%time ago'","vor %time","",FALSE,"","",""
"templates/group/group--small-teaser.html.twig:29","1 member","1 Mitglied","",FALSE,"","",""
"src/Plugin/Preprocess/PageTitle.php:40","<em>Configure account settings:</em> @label","<em>Kontoeinstellungen konfigurieren:</em> @label","",FALSE,"","",""
"templates/comment/comment--activity-comment--dashboard.html.twig:25","'@comment_attachments_count attachment'","","",FALSE,"","",""
"templates/like/like-and-dislike-icons.html.twig:45;48","'@count like'","'@count Gefällt mir'","",FALSE,"","",""
"templates/profile/profile--profile--default.html.twig:173","'@profile_name @profile_name_extra has not shared profile information.'","'@profile_name @profile_name_extra hat keine Profilinformationen geteilt.'","",FALSE,"","",""
"includes/form.inc:80","'@time ago'","vor @time","",FALSE,"","",""
"src/Plugin/Preprocess/Dropdown.php:26","Actions","Aktionen","",FALSE,"","",""
"templates/private_message/private-message-thread.html.twig:59;61","Actions for this thread","Aktionen für diesen Thread","",FALSE,"","",""
"templates/file/image-widget.html.twig:64;68","Add image","Bild hinzufügen","",FALSE,"","",""
"templates/profile/profile--profile--default.html.twig:98","Address","Adresse","",FALSE,"","",""
"templates/node/node--teaser.html.twig:134","Author name","Name des Autors","",FALSE,"","",""
"socialbase.info.yml:0","Base theme for Open social installations. Create your own subtheme or enable Social Blue","Basisthema für Open Social Installationen. Erstelle dein eigenes Unterthema oder aktiviere Social Blue","",FALSE,"","",""
"src/Plugin/Preprocess/Node.php:177","Be the first one to comment","Verfasse als erste:r einen Kommentar","",FALSE,"","",""
"templates/node/book/book-navigation.html.twig:41","Book traversal links for","Links für das Blättern im Buch","",FALSE,"","",""
"templates/navigation/breadcrumb.html.twig:16","Breadcrumb","Pfadnavigation","",FALSE,"","",""
"config/schema/socialbase.schema.yml:0","CDN Provider","","",FALSE,"","",""
"templates/block/block--views-exposed-filter-block.html.twig:70","Click to close search box","Klicke hier um das Suchfenster zu schliessen","",FALSE,"","",""
"templates/block/block--views-exposed-filter-block.html.twig:52","Click to open filter","Klicke hier um den Filter zu öffnen","",FALSE,"","",""
"templates/block/block--system-menu-block--main.html.twig:51","Click to open search box","Klicke hier um das Suchfeld zu öffnen","",FALSE,"","",""
"templates/system/status-messages.html.twig:69","Close","Schliessen","",FALSE,"","",""
"templates/block/block--views-exposed-filter-block.html.twig:72","Close filter","Filter schliessen","",FALSE,"","",""
"templates/form/form.html.twig:45;47","Close search window","Suchfenster schliessen","",FALSE,"","",""
"templates/group/group--teaser.html.twig:84","Closed group","Geschlossene Gruppe","",FALSE,"","",""
"templates/comment/details--comment.html.twig:24","Collapse in","Einklappen","",FALSE,"","",""
"templates/comment/details--comment.html.twig:27","Collapse out","Ausklappen","",FALSE,"","",""
"templates/system/details--collapsible.html.twig:24","Collapsible","Zusammenklappbar","",FALSE,"","",""
