"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"includes/form.inc:122","'%time ago'","vor %time","","False","","",""
"templates/group/group--small-teaser.html.twig:29","1 member","1 Mitglied","","False","","",""
"src/Plugin/Preprocess/PageTitle.php:40","<em>Configure account settings:</em> @label","<em>Kontoeinstellungen konfigurieren:</em> @label","","False","","",""
"templates/comment/comment--activity-comment--dashboard.html.twig:25","'@comment_attachments_count attachment'","","","False","","",""
"templates/like/like-and-dislike-icons.html.twig:44;47","'@count like'","'@count Gefällt mir'","","False","","",""
"templates/profile/profile--profile--default.html.twig:173","'@profile_name @profile_name_extra has not shared profile information.'","'@profile_name @profile_name_extra hat keine Profilinformationen geteilt.'","","False","","",""
"includes/form.inc:80","'@time ago'","vor @time","","False","","",""
"templates/group/group--hero.html.twig:94","Accept","Akzeptieren","","False","","",""
"src/Plugin/Preprocess/Dropdown.php:26","Actions","Aktionen","","False","","",""
"templates/private_message/private-message-thread.html.twig:59;61","Actions for this thread","Aktionen für diesen Thread","","False","","",""
"templates/file/image-widget.html.twig:64;68","Add image","Bild hinzufügen","","False","","",""
"templates/profile/profile--profile--default.html.twig:98","Address","Adresse","","False","","",""
"templates/node/node--teaser.html.twig:134","Author name","Name des Autors","","False","","",""
"socialbase.info.yml:0","Base theme for Open social installations. Create your own subtheme or enable Social Blue","Basisthema für Open Social Installationen. Erstelle dein eigenes Unterthema oder aktiviere Social Blue","","False","","",""
"src/Plugin/Preprocess/Node.php:177","Be the first one to comment","Verfasse als erste:r einen Kommentar","","False","","",""
"templates/node/book/book-navigation.html.twig:41","Book traversal links for","Links für das Blättern im Buch","","False","","",""
"templates/navigation/breadcrumb.html.twig:16","Breadcrumb","Pfadnavigation","","False","","",""
"config/schema/socialbase.schema.yml:0","CDN Provider","","","False","","",""
"templates/group/group--hero.html.twig:113","Cancel request","Anfrage abbrechen","","False","","",""
"templates/block/block--views-exposed-filter-block.html.twig:70","Click to close search box","Klicke hier um das Suchfenster zu schließen","","False","","",""
"templates/block/block--views-exposed-filter-block.html.twig:52","Click to open filter","Klicke hier um den Filter zu öffnen","","False","","",""
"templates/block/block--system-menu-block--main.html.twig:51","Click to open search box","Klicke hier um das Suchfeld zu öffnen","","False","","",""
"templates/system/status-messages.html.twig:69","Close","Schließen","","False","","",""
"templates/block/block--views-exposed-filter-block.html.twig:72","Close filter","Filter schließen","","False","","",""
"templates/form/form.html.twig:45;47","Close search window","Suchfenster schließen","","False","","",""
"templates/group/group--teaser.html.twig:84","Closed group","Geschlossene Gruppe","","False","","",""
"templates/comment/details--comment.html.twig:24","Collapse in","Einklappen","","False","","",""
"templates/comment/details--comment.html.twig:27","Collapse out","Ausklappen","","False","","",""
"templates/system/details--collapsible.html.twig:24","Collapsible","Zusammenklappbar","","False","","",""
"config/schema/socialbase.schema.yml:0","Colorize Buttons","","","False","","",""
