"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"templates/group/group--teaser--sky.html.twig:108","1 member","1 Mitglied","","False","","",""
"templates/node/album/node--album--hero--sky.html.twig:84","'@owner's Albums'","'@owner's Alben'","","False","","",""
"templates/profile/profile--profile--default--sky.html.twig:196","'@profile_name @profile_name_extra has not shared profile information.'","'@profile_name @profile_name_extra hat keine Profilinformationen geteilt.'","","False","","",""
"color/color.inc:13","Accent color","Akzentfarbe","","False","","",""
"color/color.inc:14","Accent text color","Akzenttextfarbe","","False","","",""
"templates/node/album/node--album--full--sky.html.twig:8","Add images","Füge Fotos hinzu","","False","","",""
"templates/profile/profile--profile--default--sky.html.twig:102","Address","Adresse","","False","","",""
"theme-settings.php:163","Allows you to render the Content Entity Forms in Open Social style. This means we remove a lot of Drupal look and feel and logic.
        Buttons on the create content are changed from Save to Create. The advanced details, e.g. the vertical tabs added in Drupal core
        are not rendered anymore, instead we use a collapsible fieldset.
        Fields like revision, URL Redirect are unset. The preview button is removed and more.","","","False","","",""
"templates/node/node--teaser--sky.html.twig:9","Author name","","","False","","",""
"templates/node/album/node--album--hero--sky.html.twig:79","Back to @owner's Albums","Zurück zu @owner's Alben","","False","","",""
"templates/node/album/node--album--hero--sky.html.twig:81","Back to owner's albums","Zurück zu @owner's Alben","","False","","",""
"theme-settings.php:46","Border radius","Randradius","","False","","",""
"socialblue.info.yml:0","Breadcrumb","","","False","","",""
"theme-settings.php:77","Button border radius (px)","Radius der Schaltflächenränder (px)","","False","","",""
"config/schema/socialblue.schema.yml:0","Button radius","","","False","","",""
"theme-settings.php:63","Card border radius (px)","Kartenrandradius (px)","","False","","",""
"config/schema/socialblue.schema.yml:0","Card radius","","","False","","",""
"templates/group/group--teaser--sky.html.twig:84","Closed group","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color accent","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color accent text","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color link","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color navbar active background","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color navbar active text","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color navbar background","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color navbar secondary background","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color navbar secondary text","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color navbar text","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color primary","","","False","","",""
"config/schema/socialblue.schema.yml:0","Color secondary","","","False","","",""
"socialblue.info.yml:0","Complementary bottom","","","False","","",""
"socialblue.info.yml:0","Complementary top","","","False","","",""
"socialblue.info.yml:0","Content","Inhalt","","False","","",""
"socialblue.info.yml:0","Content bottom","","","False","","",""
"config/schema/socialblue.schema.yml:0","Content entity form style","","","False","","",""
"socialblue.info.yml:0","Content top","","","False","","",""
"templates/node/node--teaser--sky.html.twig:12","Created on","Erstellt am","","False","","",""
"theme-settings.php:154","Default","Standard","","False","","",""
"theme-settings.php:168","Default Drupal","Default Drupal","","False","","",""
"theme-settings.php:118","Define the percentage of darkness of the hero gradient from 0 to 100.","Definieren Sie den Prozentsatz der Dunkelheit des Hero-Gradienten von 0 bis 100.","","False","","",""
