"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/StateTransitionConfirmForm.php:71","<b>@entity_type</b>: @entity_label","","","False","","",""
"src/Form/StateTransitionConfirmForm.php:72","<b>From</b>: @from_state","","","False","","",""
"src/Form/StateTransitionConfirmForm.php:73","<b>To</b>: @to_state","","","False","","",""
"src/Form/StateTransitionConfirmForm.php:70","<b>Transition</b>: @transition_label","","","False","","",""
"src/Form/StateTransitionConfirmForm.php:95","Are you sure you want to apply this transition?","","","False","","",""
"config/schema/state_machine.schema.yml:0","Default value","","","False","","",""
"src/Plugin/Field/FieldFormatter/StateTransitionFormFormatter.php:160","Display confirmation in a modal dialog","","","False","","",""
"src/Plugin/Field/FieldFormatter/StateTransitionFormFormatter.php:187","Display confirmation in a modal dialog.","","","False","","",""
"src/Plugin/Field/FieldFormatter/StateTransitionFormFormatter.php:191","Do not require confirmation before applying the state transition.","","","False","","",""
"config/schema/state_machine.schema.yml:0","Formatter settings","","","False","","",""
"state_machine.info.yml:0","Other","","","False","","",""
"state_machine.info.yml:0","Provides code-driven workflow functionality.","","","False","","",""
"src/Plugin/Field/FieldFormatter/StateTransitionFormFormatter.php:151","Require confirmation before applying the state transition","","","False","","",""
"src/Plugin/Field/FieldFormatter/StateTransitionFormFormatter.php:184","Require confirmation before applying the state transition.","","","False","","",""
"src/Plugin/Field/FieldType/StateItem.php:64;18","State","","","False","","",""
"src/Plugin/Validation/Constraint/StateConstraint.php:7","State","","","False","Validation","",""
"state_machine.info.yml:0","State Machine","","","False","","",""
"src/Plugin/Field/FieldType/StateItem.php:18","Stores the current workflow state.","","","False","","",""
"src/Plugin/Validation/Constraint/StateConstraint.php:24","The state '@state' is invalid.","","","False","","",""
"src/Plugin/Field/FieldFormatter/StateTransitionFormFormatter.php:17","Transition form","","","False","","",""
"config/schema/state_machine.schema.yml:0","Value","","","False","","",""
"src/Plugin/Field/FieldType/StateItem.php:109","Workflow","","","False","","",""
"config/schema/state_machine.schema.yml:0","Workflow callback","","","False","","",""
