"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/WebformElement/WebformMessage.php:140","Message ID","","","False","","",""
"src/Plugin/WebformElement/WebformMessage.php:113","Message close effect","","","False","","",""
"src/Plugin/WebformElement/WebformMessage.php:103","Message content","","","False","","",""
"modules/webform_options_limit/src/Plugin/WebformHandler/OptionsLimitWebformHandler.php:336","Message display","","","False","","",""
"src/Plugin/WebformElement/WebformMessage.php:89","Message settings","","","False","","",""
"src/Plugin/WebformElement/WebformMessage.php:125","Message storage","","","False","","",""
"src/EntitySettings/WebformEntitySettingsSubmissionsForm.php:691","Message to be displayed when a draft is loaded.","","","False","","",""
"src/EntitySettings/WebformEntitySettingsSubmissionsForm.php:685","Message to be displayed when a draft is saved.","","","False","","",""
"src/EntitySettings/WebformEntitySettingsSubmissionsForm.php:656","Message to be displayed when a single draft is saved.","","","False","","",""
"modules/webform_example_handler/src/Plugin/WebformHandler/ExampleWebformHandler.php:65","Message to be displayed when form is completed","","","False","","",""
"src/EntitySettings/WebformEntitySettingsSubmissionsForm.php:667","Message to be displayed when multiple drafts are saved.","","","False","","",""
"src/Plugin/WebformHandler/SettingsWebformHandler.php:151","Message to be shown upon successful submission.","","","False","","",""
"src/Plugin/WebformHandler/ActionWebformHandler.php:377","Message type","","","False","","",""
"templates/webform-handler-action-summary.html.twig:17","Message:","","","False","","",""
"src/WebformHelpManager.php:2336","Message: Webform UI Disabled","","","False","","",""
"src/WebformHelpManager.php:827","Messages","","","False","","",""
"src/Plugin/WebformHandler/RemotePostWebformHandler.php:280","Method","","","False","","",""
"templates/webform-handler-remote-post-summary.html.twig:20","Method:","","","False","","",""
"src/WebformAddonsManager.php:823","Micro Webform","","","False","","",""
"src/Element/WebformName.php:38","Middle","","","False","","",""
"src/WebformAddonsManager.php:80","Migrate","","","False","","",""
"modules/webform_icheck/webform_icheck.module:161","Minimal","","","False","","",""
"modules/webform_icheck/webform_icheck.module:171","Minimal: Aero","","","False","","",""
"modules/webform_icheck/webform_icheck.module:162","Minimal: Black","","","False","","",""
"modules/webform_icheck/webform_icheck.module:169","Minimal: Blue","","","False","","",""
"modules/webform_icheck/webform_icheck.module:170","Minimal: Green","","","False","","",""
"modules/webform_icheck/webform_icheck.module:163","Minimal: Grey","","","False","","",""
"modules/webform_icheck/webform_icheck.module:165","Minimal: Orange","","","False","","",""
"modules/webform_icheck/webform_icheck.module:167","Minimal: Pink","","","False","","",""
"modules/webform_icheck/webform_icheck.module:168","Minimal: Purple","","","False","","",""
"modules/webform_icheck/webform_icheck.module:166","Minimal: Red","","","False","","",""
"modules/webform_icheck/webform_icheck.module:164","Minimal: Yellow","","","False","","",""
"src/Plugin/WebformElement/WebformTime.php:112","Minimum","","","False","","",""
"src/Plugin/WebformElementBase.php:2871","Minimum amount of items","","","False","","",""
"src/Plugin/WebformElement/WebformImageFile.php:138","Minimum height","","","False","","",""
"src/Plugin/WebformElement/WebformImageFile.php:135","Minimum image resolution","","","False","","",""
"src/Plugin/WebformElementBase.php:2872","Minimum items defaults to 0 for optional elements and 1 for required elements.","","","False","","",""
"src/Plugin/WebformElement/WebformScale.php:82","Minimum label","","","False","","",""
"src/Plugin/WebformElement/NumericBase.php:107","Minimum value can not exceed the maximum value.","","","False","","",""
"src/Plugin/WebformElement/WebformImageFile.php:137","Minimum width","","","False","","",""
"src/Plugin/WebformElementBase.php:2509","Minlength","","","False","","",""
"src/Utility/WebformDateHelper.php:172","Minute","","","False","","",""
"src/Plugin/WebformElement/DateList.php:164;179","Minutes","","","False","","",""
"config/install/webform.webform_options.titles.yml:0","Miss: Miss
Ms: Ms
Mr: Mr
Mrs: Mrs
Dr: Dr
","","","False","","",""
"third_party_settings/webform.honeypot.inc:68","Mitigate SPAM webform submissions using the <a href="":href_honeypot"">honeypot</a> method.","","","False","","",""
"src/WebformAddonsManager.php:1419","Mitigates spam form submissions using the honeypot method.","","","False","","",""
"src/Plugin/WebformElement/WebformTermsOfService.php:116","Modal","","","False","","",""
"src/EntitySettings/WebformEntitySettingsConfirmationForm.php:85","Modal (reloads the current page/form and displays the confirmation message in a modal dialog)","","","False","","",""
"src/Plugin/WebformElement/WebformComputedBase.php:205","Mode","","","False","","",""
"modules/webform_toggles/src/Plugin/WebformElement/WebformToggleTrait.php:47","Modern","","","False","","",""
"modules/webform_devel/src/Form/WebformDevelEntityFormApiExportForm.php:85","Module info","","","False","","",""
"src/WebformAddonsManager.php:831","Mollie for Drupal","","","False","","",""
"src/Utility/WebformDateHelper.php:82","Monday","Montag","","False","","",""
"config/install/webform.webform_options.months.yml:0","Months","","","False","","",""
"config/install/webform.settings.yml:0","More","","","False","","",""
"src/Plugin/WebformElement/WebformMore.php:49","More text","","","False","","",""
"src/Plugin/WebformElement/WebformMore.php:43","More title","","","False","","",""
"src/WebformHelpManager.php:858;1403","Moving Forward with Webform in Drupal 8: Part II | WebWash","","","False","","",""
"src/WebformAddonsManager.php:83","Multilingual","","","False","","",""
"src/Plugin/WebformElement/WebformManagedFileBase.php:1081","Multiple","","","False","","",""
"modules/webform_submission_export_import/src/Form/WebformSubmissionExportImportUploadForm.php:154","Multiple composite values are formatted using <a href="":href"">inline YAML</a>.","","","False","","",""
"src/Plugin/WebformHandler/EmailWebformHandler.php:1622","Multiple email addresses may be separated by commas.","","","False","","",""
"modules/webform_scheduled_email/src/Plugin/WebformHandler/ScheduleEmailWebformHandler.php:276","Multiple handlers can be used to schedule multiple emails.","","","False","","",""
"src/Plugin/WebformElementBase.php:3148","Multiple items","","","False","","",""
"modules/webform_options_limit/src/Plugin/WebformHandler/OptionsLimitWebformHandler.php:354","Multiple remaining message","","","False","","",""
"src/Plugin/WebformElementBase.php:2839","Multiple settings","","","False","","",""
"src/WebformHelpManager.php:1922","Multiple test submissions can be created using the Devel generate module.","","","False","","",""
"src/Element/WebformElementComposite.php:354","Multiple value is not supported for %title (@type).","","","False","","",""
"modules/webform_submission_export_import/src/Form/WebformSubmissionExportImportUploadForm.php:153","Multiple values are comma delimited with any nested commas URI escaped (%2C).","","","False","","",""
"modules/webform_demo/webform_demo_region_contact/config/optional/block.block.bartik_webform_demo_region.yml:0","My Regional Webforms","","","False","","",""
"src/Form/WebformResultsCustomForm.php:172","My table settings","","","False","","",""
"src/Plugin/WebformElement/WebformLikert.php:64","N/A","","","False","","",""
"src/Plugin/WebformElement/WebformLikert.php:472","N/A answer text","","","False","","",""
"src/Plugin/WebformElement/WebformLikert.php:462","N/A answer value","","","False","","",""
"src/Plugin/WebformHandler/SettingsWebformHandler.php:199;291","Name","","","False","","",""
"src/Plugin/Block/WebformSubmissionLimitBlock.php:558","Name / Description","","","False","","",""
"src/Element/WebformSubmissionViews.php:174","Name is required.","","","False","","",""
"src/Form/AdminConfig/WebformAdminConfigFormsForm.php:559","Name must be lower-case and contain only letters, numbers, and underscores.","","","False","","",""
"src/Plugin/WebformElementBase.php:2607","Name on card","","","False","","",""
"config/install/webform.settings.yml:0","Narrow","","","False","","",""
"src/Plugin/WebformElement/Telephone.php:196","National","","","False","","",""
"src/EntitySettings/WebformEntitySettingsFormForm.php:395","Navigate between cards using left or right arrow keys","","","False","","",""
"config/schema/webform.entity.webform.schema.yml:0","Navigate between cards when the left or right arrow is pressed","","","False","","",""
"src/Form/AdminConfig/WebformAdminConfigFormsForm.php:262;267;272","Navigation","","","False","","",""
"modules/webform_ui/src/Form/WebformUiElementDeleteForm.php:149","Nested elements being deleted","","","False","","",""
"src/Plugin/WebformElementBase.php:2562","New password","","","False","","",""
"modules/webform_devel/src/Form/WebformDevelSubmissionApiForm.php:165","New submission %title added.","","","False","","",""
"src/WebformMessageManager.php:270","New submission added to %form.","","","False","","",""
"config/install/webform.settings.yml:0","New submission added to [webform:title].","","","False","","",""
"config/install/webform.settings.yml:0","Next >","","","False","","",""
"src/Plugin/WebformElement/WebformWizardPage.php:123","Next page button label","","","False","","",""
"templates/webform-submission-navigation.html.twig:28","Next submission","","","False","","",""
"src/EntitySettings/WebformEntitySettingsSubmissionsForm.php:105","Next submission number","","","False","","",""
"config/schema/webform.entity.webform.schema.yml:0","Next submission number disabled","","","False","","",""
"src/Plugin/WebformElementBase.php:2560","Nickname","","","False","","",""
"templates/webform-handler-debug-summary.html.twig:15","No","","","False","","",""
"modules/webform_submission_export_import/src/Form/WebformSubmissionExportImportUploadForm.php:366","No UUID or token was found in the source (CSV). A unique hash will be generated for the each CSV record. Any changes to already an imported record in the source (CSV) will create a new submission.","","","False","","",""
"src/Commands/WebformCliService.php:636","No YAML files needed to be tidied.","","","False","","",""
"src/Form/WebformBulkFormBase.php:134","No access to execute %action on the @entity_type_label %entity_label.","","","False","","",""
"src/Controller/WebformAddonsController.php:167","No add-ons found. Try a different search.","","","False","","",""
"js/webform.element.choices.js:0","No choices to choose from","","","False","","",""
"modules/webform_ui/src/Form/WebformUiElementTypeSelectForm.php:63","No element available.","","","False","","",""
"src/Element/WebformExcludedBase.php:52","No elements are available.","","","False","","",""
"modules/webform_ui/src/Form/WebformUiElementTypeFormBase.php:126","No elements found. Try a different search.","","","False","","",""
"third_party_settings/webform.maillog.inc:71","No emails will be sent.","","","False","","",""
"src/Plugin/WebformHandler/RemotePostWebformHandler.php:360","No error response messages entered. Please add messages below.","","","False","","",""
"modules/webform_demo/webform_demo_application_evaluation/config/install/views.view.webform_demo_application_evaluations.yml:0","No evaluations have been submitted.","","","False","","",""
"src/Controller/WebformResultsExportController.php:144","No export file ready for download. The file may have already been downloaded by your browser. Visit the <a href="":href"">download export webform</a> to create a new export.","","","False","","",""
"src/Controller/WebformPluginHandlerController.php:262","No handler available.","","","False","","",""
"modules/webform_image_select/src/Plugin/WebformElement/WebformImageSelect.php:61","No images found.","","","False","","",""
"src/Plugin/WebformElementBase.php:234","No items entered. Please add items below.","","","False","","",""
"src/Plugin/WebformElementBase.php:2866","No items message","","","False","","",""
"src/Form/WebformBulkFormBase.php:112","No items selected.","","","False","","",""
"modules/webform_submission_log/src/Controller/WebformSubmissionLogController.php:174","No log messages available.","","","False","","",""
"src/Form/WebformSubmissionResendForm.php:103","No messages are available.","","","False","","",""
"config/install/webform.settings.yml:0;0","No more submissions are permitted.","","","False","","",""
"modules/webform_demo/webform_demo_event_registration/config/install/webform.webform.demo_event_registration.yml:0","No more tee shirts are available.","","","False","","",""
"src/Form/WebformBulkFormBase.php:108","No operation selected.","","","False","","",""
"modules/webform_options_limit/src/Plugin/WebformHandler/OptionsLimitWebformHandler.php:198","No options or checkbox elements are available.","","","False","","",""
"src/Commands/WebformCliService.php:929","No orphaned submission found.","","","False","","",""
"modules/webform_ui/src/Form/WebformUiElementTypeFormBase.php:428","No preview available.","","","False","","",""
"src/Plugin/WebformHandler/RemotePostWebformHandler.php:1002","No response. Please see the recent log messages.","","","False","","",""
"js/webform.element.choices.js:0","No results found","","","False","","",""
"src/Plugin/views/field/WebformSubmissionBulkForm.php:18","No submission selected.","","","False","","",""
"config/optional/views.view.webform_submissions.yml:0","No submissions available.","","","False","","",""
"src/Controller/WebformPluginVariantController.php:240","No variant available.","","","False","","",""
"src/WebformHelpManager.php:433","No videos found. Try a different search.","","","False","","",""
