"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"weight.views.inc:24","'@title Selector'","","","False","","",""
"weight.views.inc:20","'@title Selector (@field)'","","","False","","",""
"weight.info.yml:0","Allows arbitrary ordering of entities.","","","False","","",""
"src/Plugin/Field/FieldFormatter/WeightFieldFormatter.php:8","Default","Standard","","False","","",""
"weight.info.yml:0","Field types","Feldtypen","","False","","",""
"src/Plugin/views/field/WeightSelector.php:67","Range","","","False","","",""
"src/Plugin/views/field/WeightSelector.php:68","The range of weights available to select. For
        example, a range of 20 will allow you to select a weight between -20
        and 20.","","","False","","",""
"src/Plugin/Field/FieldType/WeightItem.php:10","This field stores a weight in the database as an integer.","","","False","","",""
"config/schema/weight.schema.yml:0","Unsigned","","","False","","",""
"src/Plugin/Field/FieldType/WeightItem.php:10","Weight","Gewichtung","","False","","",""
"src/Plugin/Field/FieldWidget/WeightSelectorWidget.php:9","Weight Selector","","","False","","",""
"config/schema/weight.schema.yml:0","Weight field settings","","","False","","",""
"config/schema/weight.schema.yml:0","Weight field storage settings","","","False","","",""
"config/schema/weight.schema.yml:0","Weight field value","","","False","","",""
"src/Plugin/Field/FieldType/WeightItem.php:48","Weight value","","","False","","",""
"src/Plugin/views/field/WeightSelector.php:149","Your changes have been saved.","","","False","","",""
"config/schema/weight.views.schema.yml:0","weight selector element","","","False","","",""
