"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/ConfigForm.php:32;41;50","'- Select -'","","","False","","",""
"src/Form/ConfigForm.php:37","API Key","","","False","","",""
"src/Form/ConfigForm.php:46","API Secret","","","False","","",""
"zoomapi.permissions.yml:0","Administer Zoom API","","","False","","",""
"zoomapi.permissions.yml:0","Can configure Zoom API settings","","","False","","",""
"src/Form/ConfigForm.php:30","Do not inclue trailing slash. Ex. https://api.zoom.us/v2","","","False","","",""
"src/Client/ZoomApiClient.php:137","Failed to complete Zoom API Task ""%error""","","","False","","",""
"zoomapi.install:23","Missing valid configuration for Zoom API. Please go <a href="":link_to_settings"">here</a> to set.","","","False","","",""
"src/Form/ConfigForm.php:56","Not using webhooks","","","False","","",""
"zoomapi.info.yml:0","Provides functionality interacting with the Zoom.us API. This is mainly meant to be a developer module. See the README.","","","False","","",""
"src/Form/ConfigForm.php:39","The Zoom API private key.","","","False","","",""
"src/Form/ConfigForm.php:48","The Zoom API secret.","","","False","","",""
"src/Controller/ZoomApiWebhooksController.php:175;183","The Zoom API webhook post could not be verified.","","","False","","",""
"src/Form/ConfigForm.php:58","Use this verification token to validate an event notification request from zoom.us for this app. Provided by Zoom.","","","False","","",""
"zoomapi.info.yml:0","Web Services","","","False","","",""
"src/Form/ConfigForm.php:55","Webhook Verification Token","","","False","","",""
"zoomapi.info.yml:0","Zoom API","","","False","","",""
"zoomapi.install:26","Zoom API - Configuration","","","False","","",""
"config/schema/zoomapi.schema.yml:0","Zoom API Base URI","","","False","","",""
"src/Form/ConfigForm.php:28","Zoom API Base URL","","","False","","",""
"config/schema/zoomapi.schema.yml:0","Zoom API Key","","","False","","",""
"config/schema/zoomapi.schema.yml:0","Zoom API Secret","","","False","","",""
"config/schema/zoomapi.schema.yml:0","Zoom API Settings","","","False","","",""
"zoomapi.routing.yml:0","Zoom API Webhooks Controller","","","False","","",""
"zoomapi.links.menu.yml:0","Zoom API settings","","","False","","",""
