"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Element/ZoneTerritory.php:206","'- All -'","'- Tout -'","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:169;203","'- No override -'","'- Aucune surcharge -'","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:37","'@name field is not in the right format.'","Le champ @name n'est pas au bon format.","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:30","'@name field is required.'","Le champ @name est requis.","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:23","'@name field must be blank.'","Le champ @name doit être vide.","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:143","A predefined country code","Un code pays prédéfinis","","False","","",""
"src/Element/ZoneTerritory.php:252;264","A regular expression (""/(35|38)[0-9]{3}/"") or comma-separated list, including ranges (""98, 100:200"")","Une expression régulière (""/(35|38)[0-9]{3}/"") ou une liste d'intervalles séparés par des virgules (""98, 100:200"")","","False","","",""
"src/Element/Zone.php:174","Add territory","Ajouter un territoire","","False","","",""
"config/schema/address.schema.yml:0","Additional name","Nom additionnel","","False","","",""
"src/Plugin/Field/FieldWidget/AddressDefaultWidget.php:18","Address","Adresse","","False","","",""
"src/Plugin/diff/Field/AddressFieldBuilder.php:8","Address Field Diff","","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:7","Address Format","Format de l'adresse","","False","Validation","",""
"config/schema/address.schema.yml:0","Address field settings","Paramètres du champ Address","","False","","",""
"src/LabelHelper.php:31","Address line 1","Adresse - ligne 1","","False","Address label","",""
"src/LabelHelper.php:32","Address line 2","Adresse - ligne 2","","False","Address label","",""
"address.install:22","Address requires the commerceguys/addressing library.","Address recquiert la librairie commerceguy/addressing.","","False","","",""
"config/schema/address.schema.yml:0;0;0","Administrative area","Zone administrative","","False","","",""
"src/LabelHelper.php:37","Administrative area (e.g. State or Province)","Région administrative","","False","Address label","",""
"src/Plugin/Field/FieldType/CountryItem.php:10","An entity field containing a country","Un champ d'entité contenant un pays","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:16","An entity field containing a postal address","Un champ d'entité contenant une adresse postale","","False","","",""
"src/Plugin/Field/FieldType/ZoneItem.php:11","An entity field containing a zone","Un champ d'entité contenant une zone","","False","","",""
"src/LabelHelper.php:104","Area","Zone","","False","Address label","",""
"src/Plugin/Field/FieldType/AvailableCountriesTrait.php:48","Available countries","Pays disponibles","","False","","",""
"src/LabelHelper.php:105","Canton","","","False","Address label","",""
"src/LabelHelper.php:70","Cedex","Cedex","","False","Address label","",""
"src/LabelHelper.php:147","City","Ville","","False","Address label","",""
"src/LabelHelper.php:30;64","Company","Entreprise","","False","Address label","",""
"src/Plugin/Field/FieldWidget/CountryDefaultWidget.php:14","Country","Pays","","False","","",""
"src/Plugin/Validation/Constraint/CountryConstraint.php:7","Country","Pays","","False","Validation","",""
"src/Plugin/views/sort/Country.php:127","Country code","Code pays","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:164","Country contextual filter","Filtre contextuel de pays","","False","","",""
"config/schema/address.schema.yml:0","Country contextual filter ID","Identifiant (ID) du filtre contextuel du pays","","False","","",""
"config/schema/address.schema.yml:0","Country field settings","Paramètres du champ pays","","False","","",""
"src/Plugin/views/sort/Country.php:126","Country name","Nom du pays","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:141","Country source","Pays source","","False","","",""
"src/LabelHelper.php:106","County","","","False","Address label","",""
"src/Plugin/Field/FieldFormatter/ZoneDefaultFormatter.php:18","Default","Par défaut","","False","","",""
"config/schema/address.schema.yml:0","Default address widget settings","Paramètres par défaut du widget d'adresse","","False","","",""
"config/schema/address.schema.yml:0","Default country","","","False","","",""
"config/schema/address.schema.yml:0;0","Default value","Valeur par défaut","","False","","",""
"config/schema/address.schema.yml:0","Default zone widget settings","Paramètres par défaut du widget de zone","","False","","",""
"src/LabelHelper.php:107","Department","Département","","False","Address label","",""
"config/schema/address.schema.yml:0;0","Dependent locality","Localité dépendante","","False","","",""
"src/LabelHelper.php:35","Dependent locality (e.g. Neighbourhood)","","","False","Address label","",""
"src/Plugin/views/field/Country.php:73","Display the country name instead of the country code","Afficher le nom du pays au lieu du code du pays","","False","","",""
"src/Plugin/views/field/Subdivision.php:74","Display the subdivision name instead of the subdivision code","Afficher le nom de la sous-division au lieu du code de la sous-division","","False","","",""
"src/LabelHelper.php:108;148;181","District","Quartier","","False","Address label","",""
"src/LabelHelper.php:109","Do si","","","False","Address label","",""
