"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"antibot.module:24","About","","",FALSE,"","",""
"antibot.permissions.yml:0","Access to the Antibot configurations","","",FALSE,"","",""
"antibot.permissions.yml:0","Administer antibot configuration","","",FALSE,"","",""
"antibot.links.menu.yml:0","Antibot","","",FALSE,"","",""
"antibot.module:72","Antibot (:id): :status","","",FALSE,"","",""
"src/Form/AntibotSettings.php:39","Antibot requires that a user has JavaScript enabled in order to use and submit a given form.","","",FALSE,"","",""
"antibot.routing.yml:0","Antibot settings","","",FALSE,"","",""
"config/schema/antibot.schema.yml:0","Antibot settings.","","",FALSE,"","",""
"antibot.links.menu.yml:0","Configure the settings for Antibot.","","",FALSE,"","",""
"src/Form/AntibotSettings.php:49","Display form IDs","","",FALSE,"","",""
"src/Form/AntibotSettings.php:43","Form IDs","","",FALSE,"","",""
"antibot.info.yml:0","Prevent forms from being submitted without JavaScript enabled","","",FALSE,"","",""
"config/schema/antibot.schema.yml:0","Show form IDs to admins","","",FALSE,"","",""
"antibot.info.yml:0","Spam control","","",FALSE,"","",""
"src/Form/AntibotSettings.php:45","Specify the form IDs that should be protected by Antibot. Each form ID should be on a separate line. Wildcard (*) characters can be used.","","",FALSE,"","",""
"antibot.routing.yml:0","Submission failed","","",FALSE,"","",""
"antibot.module:166","Submission failed. Please reload the page, ensure JavaScript is enabled and try again.","","",FALSE,"","",""
"config/schema/antibot.schema.yml:0","The form ID","","",FALSE,"","",""
"config/schema/antibot.schema.yml:0","The protected form IDs","","",FALSE,"","",""
"src/Form/AntibotSettings.php:51","When enabled, the form IDs of all forms on every page will be displayed to any user with permission to access these settings. Also displayed will be whether or not Antibot is enabled for each form. This should only be turned on temporarily in order to easily determine the form IDs to use.","","",FALSE,"","",""
"src/Controller/AntibotPage.php:27","You have reached this page because you submitted a form that required JavaScript to be enabled on your browser. This protection is in place to attempt to prevent automated submissions made on forms. Please return to the page that you came from and enable JavaScript on your browser before attempting to submit the form again.","","",FALSE,"","",""
"antibot.module:130","You must have JavaScript enabled to use this form.","","",FALSE,"","",""
"antibot.module:74","disabled","","",FALSE,"","",""
"antibot.module:74","enabled","","",FALSE,"","",""
