"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:102","""Reset sort"" label","","","False","","",""
"better_exposed_filters.module:24","About","A propos","","False","","",""
"src/Plugin/better_exposed_filters/filter/RadioButtons.php:43","Add a ""Select All/None"" link when rendering the exposed filter using checkboxes. If this option is disabled, edit the filter and check the ""Allow multiple selections"".","","","False","","",""
"src/Plugin/better_exposed_filters/filter/RadioButtons.php:49","Add nested all/none selection","","","False","","",""
"src/Plugin/better_exposed_filters/filter/RadioButtons.php:40","Add select all/none links","","","False","","",""
"config/schema/better_exposed_filters.filter.schema.yml:0","Add select all/none links to hierarchical lists","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:97","Adds a ""Reset sort"" link; Views will use the default sort order.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/FilterWidgetBase.php:94","Advanced filter options","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:112","Advanced options","Options avancées","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:61","Advanced sort options","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:285","Allows you to specify some exposed form elements as being secondary options and places those elements in a collapsible ""details"" element. Use this option to place some exposed filters in an ""Advanced Search"" area of the form, for example.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:95","Animation speed","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:109","Animation speed in milliseconds","","","False","","",""
"config/schema/better_exposed_filters.exposed_form.schema.yml:0","Auto-submit","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:218","Automatically submits the form when an element has changed.","","","False","","",""
"config/schema/better_exposed_filters.exposed_form.schema.yml:0","BEF options","","","False","","",""
"better_exposed_filters.module:36","BEF provides some additional HTML structure to help you style your exposed filters. For some common examples see the <a href="":doco"">online documentation</a>.","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:15","Better Exposed Filters","","","False","","",""
"better_exposed_filters.module:25","Better Exposed Filters (BEF) modifies the use of Views by replacing the 'single'  or 'multi' <em>select boxes</em> with <em>radio buttons or checkboxes</em>. Views offers the ability to expose filters to the end user. When you expose a filter, you allow the user to interact with the view making it easy to build an advanced search.  Better Exposed Filters gives you greater control over the rendering of exposed filters. For more information, see the <a href="":online"">online documentation for the Better Exposed Filters module</a>.","","","False","","",""
"better_exposed_filters.module:28","Better Exposed Filters is used on <a href="":views"">Views</a> that use an exposed filter.  Views filters are used to reduce the result set of a View to a manageable amount of data. BEF only operates on fields that have a limited number of options such as <a href="":node"">Node</a>:Type or <a href="":taxonomy"">Taxonomy</a>:TermID.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/RadioButtons.php:8","Checkboxes/Radio Buttons","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:126","Collapsible details element title","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:67","Combine sort order with sort by","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:69","Combines the sort by options and order (ascending or decending) into a single list.  Use this to display ""Option1 (ascending)"", ""Option1 (descending)"", ""Option2 (ascending)"", ""Option2 (descending)"" in a single form element. Sort order should first be exposed by selecting <em>Allow people to choose the sort order</em>.","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:237","Configure a delay in ms before triggering autosubmit on textfields.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:101","Custom","","","False","","",""
"src/Plugin/better_exposed_filters/sort/DefaultWidget.php:7","Default","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:236","Delay for textfield autosubmit","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:89","Determines the size or amount of each interval or step the slider takes between the min and max.","","","False","","",""
"config/schema/better_exposed_filters.filter.schema.yml:0","Display checkbox/radio options inline","","","False","","",""
"src/Plugin/better_exposed_filters/filter/RadioButtons.php:60","Display checkbox/radio options inline.","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:431","Display exposed pager options as","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:360","Display exposed sort options as","","","False","","",""
"src/Plugin/better_exposed_filters/filter/RadioButtons.php:58","Display inline","","","False","","",""
"better_exposed_filters.module:27","Editing or Creating Views","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:217","Enable auto-submit","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:283","Enable secondary exposed form options","","","False","","",""
"better_exposed_filters.module:47","Enable the Token module to allow token replacement in this field.","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:224","Exclude Textfield","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:225","Exclude textfields from auto-submit. User will have to press enter key, or click submit button.","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:464","Exposed Filter Settings","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:399","Exposed Pager Settings","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:321","Exposed Sort Settings","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:489","Exposed filter ""@filter"" with label ""@label""","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:485","Exposed filter @filter","","","False","","",""
"config/schema/better_exposed_filters.filter.schema.yml:0","Exposed filter BEF settings","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:512","Exposed filter widget:","","","False","","",""
"config/schema/better_exposed_filters.pager.schema.yml:0","Exposed pager BEF settings","","","False","","",""
"config/schema/better_exposed_filters.sort.schema.yml:0","Exposed sort BEF settings","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:100","Fast","","","False","","",""
"config/schema/better_exposed_filters.exposed_form.schema.yml:0","Filters","","","False","","",""
"config/schema/better_exposed_filters.exposed_form.schema.yml:0","General BEF settings","","","False","","",""
"better_exposed_filters.module:65","Global replacement patterns (for description field only)","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Hidden.php:7","Hidden","Caché","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:250","Hide submit button","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:251","Hides submit button if auto-submit and javascript are enabled.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:123","Horizontal","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:95","Include a ""Reset sort"" option","","","False","","",""
"config/schema/better_exposed_filters.sort.schema.yml:0","Include reset sort option","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:307","Indicates whether the details element should be open by default.","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:265","Input required","Valeur requise","","False","","",""
"config/schema/better_exposed_filters.exposed_form.schema.yml:0","Input required before showing results","","","False","","",""
"src/Plugin/better_exposed_filters/sort/Links.php:7","Links","Liens","","False","","",""
"src/Plugin/better_exposed_filters/filter/FilterWidgetBase.php:141","Make filter options collapsible","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:117","Make sort options collapsible","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:406","No pager elements have been exposed yet.","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:336","No sort elements have been exposed yet.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:97","None","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:99","Normal","","","False","","",""
"config/schema/better_exposed_filters.exposed_form.schema.yml:0","Only display results after the user has selected a filter option","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:266","Only display results after the user has selected a filter option.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:121","Orientation","","","False","","",""
"config/schema/better_exposed_filters.pager.schema.yml:0","Pager is a secondary option","","","False","","",""
"src/Plugin/better_exposed_filters/filter/FilterWidgetBase.php:114","Placeholder text","","","False","","",""
"config/schema/better_exposed_filters.filter.schema.yml:0","Placeholder text for the filter","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:148","Places this element in the secondary options portion of the exposed form.","","","False","","",""
"config/schema/better_exposed_filters.sort.schema.yml:0","Plugin id","","","False","","",""
"src/Plugin/views/exposed_form/BetterExposedFilters.php:15","Provides additional options for exposed form elements.","","","False","","",""
"better_exposed_filters.info.yml:0","Provides advanced options (e.g. links, checkboxes, or other widgets) to exposed Views elements.","","","False","","",""
"src/Plugin/better_exposed_filters/filter/FilterWidgetBase.php:143","Puts the filter options in a collapsible details element.","","","False","","",""
"src/Plugin/better_exposed_filters/sort/SortWidgetBase.php:119","Puts the sort options in a collapsible details element.","","","False","","",""
"src/Plugin/better_exposed_filters/sort/RadioButtons.php:7","Radio Buttons","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:80","Range maximum","","","False","","",""
"src/Plugin/better_exposed_filters/filter/Sliders.php:73","Range minimum","","","False","","",""
"config/schema/better_exposed_filters.sort.schema.yml:0","Reset sort label","","","False","","",""
"config/schema/better_exposed_filters.sort.schema.yml:0","Rewrite combined sort options","","","False","","",""
"config/schema/better_exposed_filters.filter.schema.yml:0","Rewrite filter option","","","False","","",""
"config/schema/better_exposed_filters.filter.schema.yml:0","Rewrite filter options","","","False","","",""
