"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"js/misc/vertical-tabs.js:0","(active tab)","(onglet actif)","",FALSE,"","",""
"src/Plugin/Preprocess/TableSortIndicator.php:23","(asc)","","",FALSE,"","",""
"src/Plugin/Preprocess/TableSortIndicator.php:32","(desc)","","",FALSE,"","",""
"src/Plugin/Setting/Components/Region/RegionWells.php:57",".well (normal)","","",FALSE,"","",""
"src/Plugin/Setting/Components/Region/RegionWells.php:59",".well-lg (large)",".well-lg (grand)","",FALSE,"","",""
"src/Plugin/Setting/Components/Region/RegionWells.php:58",".well-sm (small)",".well-sm (petit)","",FALSE,"","",""
"js/theme-settings.js:0","1 URL","","",FALSE,"","",""
"src/Bootstrap.php:609","<div>@message</div><pre><code>@backtrace</code></pre>","","",FALSE,"","",""
"js/theme-settings.js:0","<p><strong>Warning: Disabling the jQuery UI Dialog bridge may have major consequences.</strong></p>","","",FALSE,"","",""
"js/theme-settings.js:0","<p>If you are unfamiliar with how to properly handle Bootstrap modals and jQuery UI dialogs together, it is highly recommended this remains <strong>enabled</strong>.</p> <p>Are you sure you want to disable this?</p>","","",FALSE,"","",""
"src/Plugin/Setting/JavaScript/Modals/ModalAnimation.php:40","<strong>Note:</strong> jQuery UI dialog options will be mapped to Bootstrap modal options whenever possible, however they always take precedent over any global Bootstrap modal options set here for compatibility reasons.","","",FALSE,"","",""
"src/Plugin/Setting/Schemas.php:168","<strong>[@theme][@schema] @label</strong>","","",FALSE,"","",""
"src/Plugin/Setting/Schemas.php:173","<strong>[@theme][@schema] @label</strong> - @message","","",FALSE,"","",""
"js/theme-settings.js:0","'@shape Images'","","",FALSE,"","",""
"js/theme-settings.js:0","'@size Buttons'","","",FALSE,"","",""
"src/Plugin/Preprocess/FileUploadHelp.php:45","'@size limit.'","Limité à @size.","",FALSE,"","",""
"src/Bootstrap.php:514","Add","Ajouter","",FALSE,"","",""
"src/Bootstrap.php:486","Add and configure","Ajouter et configurer","",FALSE,"","",""
"src/Bootstrap.php:492","Add another item","Ajouter un autre élément","",FALSE,"","",""
"src/Plugin/Setting/General/Tables/TableBordered.php:7","Add borders on all sides of the table and cells.","","",FALSE,"","",""
"src/Plugin/Setting/General/Images/ImageShape.php:7","Add classes to an <code>&lt;img&gt;</code> element to easily style images in any project.","","",FALSE,"","",""
"src/Bootstrap.php:485","Add effect","Ajouter l'effet","",FALSE,"","",""
"src/Plugin/Setting/JavaScript/Popovers/PopoverEnabled.php:36","Add small overlays of content, like those on the iPad, to any element for housing secondary information.","","",FALSE,"","",""
"src/Plugin/Setting/General/Tables/TableStriped.php:7","Add zebra-striping to any table row within the <code>&lt;tbody&gt;</code>.","","",FALSE,"","",""
"src/Plugin/Setting/Advanced/Cdn/CdnCustomJsMin.php:13","Additionally, you can provide the minimized version of the file. It will be used instead if site aggregation is enabled.","","",FALSE,"","",""
"src/Plugin/Setting/General/Buttons/ButtonColorize.php:7","Adds classes to buttons based on their text value.","","",FALSE,"","",""
"src/Plugin/Setting/General/Buttons/ButtonIconize.php:7","Adds icons to buttons based on the text value","","",FALSE,"","",""
"src/Plugin/Setting/Advanced/SuppressDeprecatedWarnings.php:7","Advanced","Avancé","",FALSE,"","",""
"src/Plugin/Setting/Advanced/Cdn/CdnProvider.php:90","Advanced Cache","","",FALSE,"","",""
"src/Plugin/Setting/Advanced/Cdn/CdnProvider.php:91","All @provider data is intelligently and automatically cached using the various settings below. This allows the @provider data to persist through cache rebuilds. This data will invalidate and rebuild automatically, however a manual reset can be invoked below.","","",FALSE,"","",""
"src/Plugin/Setting/Advanced/Cdn/CdnCacheTtlBase.php:49","All caching is forced to ""Forever"" when using the ""Custom"" CDN Provider. This is because the provided Custom URLs above are used as part of the cache identifier. Anytime the above Custom URLs are modified, all of the caches are rebuilt automatically.","","",FALSE,"","",""
