"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"js/misc/vertical-tabs.js:0","(active tab)","(onglet actif)","","False","","",""
"src/Plugin/Preprocess/TableSortIndicator.php:23","(asc)","","","False","","",""
"src/Plugin/Preprocess/TableSortIndicator.php:32","(desc)","","","False","","",""
"src/Plugin/Setting/Components/Region/RegionWells.php:57",".well (normal)","","","False","","",""
"src/Plugin/Setting/Components/Region/RegionWells.php:59",".well-lg (large)",".well-lg (grand)","","False","","",""
"src/Plugin/Setting/Components/Region/RegionWells.php:58",".well-sm (small)",".well-sm (petit)","","False","","",""
"js/theme-settings.js:0","1 URL","","","False","","",""
"src/Bootstrap.php:609","<div>@message</div><pre><code>@backtrace</code></pre>","","","False","","",""
"js/theme-settings.js:0","<p><strong>Warning: Disabling the jQuery UI Dialog bridge may have major consequences.</strong></p>","","","False","","",""
"js/theme-settings.js:0","<p>If you are unfamiliar with how to properly handle Bootstrap modals and jQuery UI dialogs together, it is highly recommended this remains <strong>enabled</strong>.</p> <p>Are you sure you want to disable this?</p>","","","False","","",""
"src/Plugin/Setting/JavaScript/Modals/ModalAnimation.php:40","<strong>Note:</strong> jQuery UI dialog options will be mapped to Bootstrap modal options whenever possible, however they always take precedent over any global Bootstrap modal options set here for compatibility reasons.","","","False","","",""
"src/Plugin/Setting/Schemas.php:168","<strong>[@theme][@schema] @label</strong>","","","False","","",""
"src/Plugin/Setting/Schemas.php:173","<strong>[@theme][@schema] @label</strong> - @message","","","False","","",""
"js/theme-settings.js:0","'@shape Images'","","","False","","",""
"js/theme-settings.js:0","'@size Buttons'","","","False","","",""
"src/Plugin/Preprocess/FileUploadHelp.php:45","'@size limit.'","Limité à @size.","","False","","",""
"src/Bootstrap.php:514","Add","Ajouter","","False","","",""
"src/Bootstrap.php:486","Add and configure","Ajouter et configurer","","False","","",""
"src/Bootstrap.php:492","Add another item","Ajouter un autre élément","","False","","",""
"src/Plugin/Setting/General/Tables/TableBordered.php:7","Add borders on all sides of the table and cells.","","","False","","",""
"src/Plugin/Setting/General/Images/ImageShape.php:7","Add classes to an <code>&lt;img&gt;</code> element to easily style images in any project.","","","False","","",""
"src/Bootstrap.php:485","Add effect","Ajouter l'effet","","False","","",""
"src/Plugin/Setting/JavaScript/Popovers/PopoverEnabled.php:36","Add small overlays of content, like those on the iPad, to any element for housing secondary information.","","","False","","",""
"src/Plugin/Setting/General/Tables/TableStriped.php:7","Add zebra-striping to any table row within the <code>&lt;tbody&gt;</code>.","","","False","","",""
"src/Plugin/Setting/Advanced/Cdn/CdnCustomJsMin.php:13","Additionally, you can provide the minimized version of the file. It will be used instead if site aggregation is enabled.","","","False","","",""
"src/Plugin/Setting/General/Buttons/ButtonColorize.php:7","Adds classes to buttons based on their text value.","","","False","","",""
"src/Plugin/Setting/General/Buttons/ButtonIconize.php:7","Adds icons to buttons based on the text value","","","False","","",""
"src/Plugin/Setting/Advanced/SuppressDeprecatedWarnings.php:7","Advanced","Avancé","","False","","",""
"src/Plugin/Setting/Advanced/Cdn/CdnProvider.php:90","Advanced Cache","","","False","","",""
"src/Plugin/Setting/Advanced/Cdn/CdnProvider.php:91","All @provider data is intelligently and automatically cached using the various settings below. This allows the @provider data to persist through cache rebuilds. This data will invalidate and rebuild automatically, however a manual reset can be invoked below.","","","False","","",""
"src/Plugin/Setting/Advanced/Cdn/CdnCacheTtlBase.php:49","All caching is forced to ""Forever"" when using the ""Custom"" CDN Provider. This is because the provided Custom URLs above are used as part of the cache identifier. Anytime the above Custom URLs are modified, all of the caches are rebuilt automatically.","","","False","","",""
