"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"cleantalk.module:465","<a href='https://cleantalk.org/drupal-anti-spam-module-wo-captcha'>Drupal spam</a> blocked by CleanTalk.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:228","Access key","","","False","","",""
"src/Form/CleantalkSettingsForm.php:123","Access key is not valid.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:294","Add html meta-tag robots-noindex to search form.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:292","Add noindex for search form","","","False","","",""
"src/Form/CleantalkSettingsForm.php:330","Add the ""name"" attribute value of the field you want to be excluded. For example if the <""name=""test""> then add <b>test</b>.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:468","Anti-Crawler","","","False","","",""
"src/Form/CleantalkSettingsForm.php:488","Anti-Flood","","","False","","",""
"src/Form/CleantalkSettingsForm.php:501","Anti-Flood Page Views Limit","","","False","","",""
"cleantalk.info.yml:0","Antispam by CleanTalk","","","False","","",""
"cleantalk.routing.yml:0","Antispam by Cleantalk","","","False","","",""
"cleantalk.info.yml:0","Antispam service from <a target=""_blank"" href=""https://cleantalk.org"">CleanTalk</a> to protect your site","","","False","","",""
"cleantalk.links.menu.yml:0","Antispam service from CleanTalk to protect your site","","","False","","",""
"src/Form/CleantalkSettingsForm.php:252","Automatically put suspicious comments which may not be 100% spam to manual approvement and block obvious spam comments.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:426","Capture buffer","","","False","","",""
"src/Form/CleantalkSettingsForm.php:402","Check added content","","","False","","",""
"src/Form/CleantalkSettingsForm.php:243","Check comments","","","False","","",""
"src/Form/CleantalkSettingsForm.php:388","Check contact forms","","","False","","",""
"src/Form/CleantalkSettingsForm.php:409","Check custom forms","","","False","","",""
"cleantalk.links.menu.yml:0","Check existing spam comments","","","False","","",""
"cleantalk.links.menu.yml:0","Check existing spam users","","","False","","",""
"src/Form/CleantalkSettingsForm.php:419","Check external forms","","","False","","",""
"src/Form/CleantalkSettingsForm.php:395","Check forum topics","","","False","","",""
"src/Form/CleantalkSettingsForm.php:374","Check registrations","","","False","","",""
"src/Form/CleantalkSettingsForm.php:285","Check search form","","","False","","",""
"cleantalk.routing.yml:0","Check spam comments","","","False","","",""
"cleantalk.links.menu.yml:0","Check spam users","","","False","","",""
"src/Form/CleantalkSettingsForm.php:381","Check webforms","","","False","","",""
"src/Form/CleantalkSettingsForm.php:517","Checking this box places a small link under the comment form that lets others know what anti-spam tool protects your site.","","","False","","",""
"cleantalk.routing.yml:0","Checking users for spam","","","False","","",""
"cleantalk.info.yml:0","CleanTalk","CleanTalk","","False","","",""
"src/Form/CleantalkSettingsForm.php:223","Click <a target=""_blank"" href=""https://cleantalk.org/register?platform=drupal"">here</a> to get access key.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:238","Comments","Commentaires","","False","","",""
"cleantalk.links.menu.yml:0","Configure module settings","","","False","","",""
"src/Form/CleantalkSettingsForm.php:504","Count of page view per 1 minute before plugin shows SpamFireWall page. SpamFireWall page active for 30 second after that valid visitor (with JavaScript) passes the page to the demanded page of the site.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:450","Doesn't use cookie or PHP sessions. Collect data for all types of bots.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:197","EU Cookie Compliance module is enabled. Please, add an exclusion for <a href = 'https://cleantalk.org/help/install-drupal9#attention' target='_blank'>these</a> cookies.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:250","Enable automoderation","","","False","","",""
"src/Form/CleantalkSettingsForm.php:404","Enabling this option will allow you to check all added content (pages, articles, etc) by non-admin users on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:245","Enabling this option will allow you to check all comments on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:390","Enabling this option will allow you to check all contact forms on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:411","Enabling this option will allow you to check all forms on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:397","Enabling this option will allow you to check all forum topics on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:376","Enabling this option will allow you to check all registrations on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:383","Enabling this option will allow you to check all webforms on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:287","Enabling this option will allow you to check search form on your website.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:306","Exclude urls from spam check. List them separated by commas.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:299","Exclusions","Exclusions","","False","","",""
"src/Form/CleantalkSettingsForm.php:329","Fields exclusions","","","False","","",""
"src/Form/CleantalkSettingsForm.php:266","Minimum approved comments per registered user","","","False","","",""
"src/Form/CleantalkSettingsForm.php:269","Moderate messages of guests and registered users who have approved messages less than this value.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:254","Note: If disabled, all suspicious comments will be automatically blocked!","","","False","","",""
"src/Form/CleantalkSettingsForm.php:413","Note: May cause conflicts!","","","False","","",""
"src/Form/CleantalkSettingsForm.php:442","Note: We strongly recommend you to enable this otherwise it could cause false positives spam detection.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:470","Plugin shows SpamFireWall stop page for any bot, except allowed bots (Google, Yahoo and etc).
                                        Anti-Crawler includes blocking bots by the User-Agent. Use Personal lists in the Dashboard to filter specific User-Agents.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:322;346","Regular expression","Expression régulière","","False","","",""
"src/Form/CleantalkSettingsForm.php:354","Roles checking","","","False","","",""
"src/Form/CleantalkSettingsForm.php:355","Roles which bypass spam test. You can select multiple roles.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:280","Search","Rechercher","","False","","",""
"src/Form/CleantalkSettingsForm.php:439","Set cookies","","","False","","",""
"config/schema/cleantalk.schema.yml:0","Settings","Paramètres","","False","","",""
"src/Form/CleantalkSettingsForm.php:490","Shows the SpamFireWall page for bots trying to crawl your site. Look at the page limit setting below.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:461","SpamFireWall","","","False","","",""
"src/Form/CleantalkSettingsForm.php:515","Tell others about CleanTalk","","","False","","",""
"src/Form/CleantalkSettingsForm.php:463","This option allows to filter spam bots before they access website. Also reduces CPU usage on hosting server and accelerates pages load time.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:428","This setting gives you more sophisticated and strengthened protection for external forms.","","","False","","",""
"src/Form/CleantalkSettingsForm.php:441","Turn this option off to deny plugin generates any cookies on website front-end. This option is helpful if you use Varnish. But most of contact forms will not be protected if the option is turned off!","","","False","","",""
"src/Form/CleantalkSettingsForm.php:421","Turn this option on to protect forms on your website that send data to third-part servers (like MailChimp).","","","False","","",""
"src/Form/CleantalkSettingsForm.php:305","URL exclusions","","","False","","",""
