"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldType/OptionsEmailItem.php:60","""emails"" are the email addresses to add to the recipients list (each separated by a comma).","","","False","","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:58","""key"" is the message that is added to the body of the message.","","","False","","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:59","""label"" is the value displayed in the dropdown menu on the contact form.","","","False","","",""
"config/install/views.view.contact_messages.yml:0;0",",","","","False","","",""
"config/install/views.view.contact_messages.yml:0","'- All -'","","","False","","",""
"contact_storage.module:27","About","À propos","","False","","",""
"contact_storage.module:60","Add URL alias","","","False","","",""
"src/MessageViewsData.php:29","Add a form element that lets you run operations on multiple messages.","","","False","","",""
"contact_storage.module:77","Allow preview","","","False","","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:62","Allowed HTML tags in labels: @tags","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Allowed value with label","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Allowed values function","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Allowed values list","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Apply","","","False","","",""
"src/Form/DeleteMultiple.php:90","Are you sure you want to delete this message?","","","False","","",""
"src/Form/ContactFormDisableForm.php:18","Are you sure you want to disable the contact form %form?","","","False","","",""
"src/Form/ContactFormEnableForm.php:18","Are you sure you want to enable the contact form %form?","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Asc","","","False","","",""
"src/MessageEditForm.php:23","Author name","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Autoreply format","","","False","","",""
"src/Form/ContactFormCloneForm.php:145","Clone","","","False","","",""
"contact_storage.module:34","Configuring contact message pages","","","False","","",""
"config/schema/contact_storage.views.schema.yml:0","Contact Message bulk form","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Contact Storage settings","","","False","","",""
"config/install/views.view.contact_messages.yml:0;0","Contact form","","","False","","",""
"src/Form/ContactFormCloneForm.php:136;137","Contact form %label has been added.","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Contact form redirection","","","False","","",""
"config/install/views.view.contact_messages.yml:0;0;0","Contact messages","","","False","","",""
"contact_storage.routing.yml:0","Contact settings","","","False","","",""
"contact_storage.info.yml:0","Contact storage","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Created","","","False","","",""
"src/Form/ContactFormDisableForm.php:49","Default disabled contact form message","","","False","","",""
"contact_storage.module:72","Default message to display if the contact form is disabled.","","","False","","",""
"src/Form/ContactFormDisableForm.php:50","Default message to display if the contact form is disabled. It will be saved when clicking ""Disable"".","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Default value","","","False","","",""
"src/Form/DeleteMultiple.php:104","Delete","Supprimer","","False","","",""
"config/install/system.action.message_delete_action.yml:0","Delete message","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Delete message configuration","","","False","","",""
"src/Form/DeleteMultiple.php:135","Deleted 1 message.","","","False","","",""
"src/Form/DeleteMultiple.php:134","Deleted @count messages.","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Desc","","","False","","",""
"src/Form/ContactFormDisableForm.php:32","Disable","","","False","","",""
"contact_storage.routing.yml:0","Disable contact form","","","False","","",""
"src/Form/ContactFormDisableForm.php:63","Disabled contact form %form.","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Disabled contact form message","","","False","","",""
"src/Form/ContactFormDisableForm.php:39","Disabled contact forms are not displayed. This action can be undone from the contact forms administration page.","","","False","","",""
"src/Form/ContactFormCloneForm.php:135","Edit","Modifier","","False","","",""
"src/Controller/ContactStorageController.php:69","Edit @label","","","False","","",""
"src/Form/ContactFormEnableForm.php:32","Enable","","","False","","",""
"contact_storage.routing.yml:0","Enable contact form","","","False","","",""
"src/Form/ContactFormEnableForm.php:47","Enabled contact form %form.","","","False","","",""
"src/Form/ContactFormEnableForm.php:39","Enabling the contact form will make it visible. This action can be undone from the contact forms administration page.","","","False","","",""
"src/Form/ContactFormCloneForm.php:68","Example: 'website feedback' or 'product information'.","","","False","","",""
"src/MessageViewsData.php:19","Form","","","False","","",""
"contact_storage.links.task.yml:0","Forms","","","False","","",""
"src/Plugin/Mail/HTMLTestingMailSystem.php:8","HTML test mailer","","","False","","",""
"contact_storage.install:91","IP address","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Items per page","","","False","","",""
"src/Form/ContactFormCloneForm.php:65","Label","","","False","","",""
"config/install/views.view.contact_messages.yml:0","List","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Master","","","False","","",""
"src/Plugin/Validation/Constraint/ConstactStorageMaximumSubmissionsConstraint.php:7","Maximum submission limit","","","False","Validation","",""
"config/schema/contact_storage.schema.yml:0","Maximum submission limit per user","","","False","","",""
"contact_storage.module:83","Maximum submissions","","","False","","",""
"contact_storage.module:221","Message ID","","","False","","",""
"src/MessageViewsData.php:28","Message operations bulk form","","","False","","",""
"src/Plugin/views/field/MessageBulkForm.php:18","No message selected.","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Offset","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Operations","","","False","","",""
"contact_storage.module:61","Optionally add an URL alias to the contact form.","","","False","","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:11","Options email","","","False","","",""
"config/schema/contact_storage.schema.yml:0;0","Options email item settings","","","False","","",""
"contact_storage.module:55","Override the submit button's default <em>Send message</em> text.","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Page","","","False","","",""
"contact_storage.module:380","Preview","","","False","","",""
"contact_storage.info.yml:0","Provides storage and edit capability for contact messages.","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Redirect URI","","","False","","",""
"contact_storage.module:33","Registered users can access stored messages on the <a href="":url"">Contact messages</a> page.  This page can be manually accessed from the Administration menu path ""Home >> Administration >> Structure >> Contact forms"".  The Contact Storage module places the ""List"" tab on the ""Contact forms"" page. The ""Contact messages"" page is displayed when the List tab is selected.  View, edit and delete operations can be performed on individual messages from this listing of contact messages.","","","False","","",""
"contact_storage.module:381","Rendered preview","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Reset","","","False","","",""
"src/Form/ContactStorageSettingsForm.php:38","Send HTML","","","False","","",""
"contact_storage.module:56","Send message","","","False","","",""
"src/MessageEditForm.php:29","Sender email address","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Sender's name","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Show preview button","","","False","","",""
"contact_storage.module:78","Show the preview button?","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Sort by","","","False","","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:11","Stores e-mail recipients for the provided options.","","","False","","",""
"config/install/views.view.contact_messages.yml:0","Subject","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Submit Text","","","False","","",""
"contact_storage.module:54","Submit button text","","","False","","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:29","Text value","","","False","","",""
"contact_storage.module:28","The <a href=""https://www.drupal.org/project/contact_storage"">Contact Storage</a> module allows registered <em>users</em> on your site to see messages sent by <em>visitors</em> when using personal or site-wide forms. The Contact Storage module provides the ability to store the messages so registered users can later view them thru the site.","","","False","","",""
"contact_storage.install:92","The IP address of the submitter.","","","False","","",""
"contact_storage.module:29","The combination of  <a href=""contact"">Contact</a> and Contact Storage modules allows for a general means to create, read, update and delete user generated data. For more information, see the <a href="":contact_storage"">online documentation for the Contact Storage module</a>.","","","False","","",""
"src/Controller/ContactStorageController.php:32","The contact form has not been configured. <a href="":add"">Add one or more forms</a> .","","","False","","",""
"src/MessageEditForm.php:41","The contact message %subject has been updated.","","","False","","",""
"src/MessageViewsData.php:20","The label of the associated form.","","","False","","",""
"contact_storage.module:35","The listing of Contact messages is a <a href="":url"">Views</a> page.  This page can be manually accessed from the Administration menu path ""Home >> Administration >> Structure >> Views"" like any other view. It has a VIEW NAME of ""Contact messages"". Registered users can perform Edit, Duplicate, Disable and Delete Operations from the Views listing page.","","","False","","",""
"contact_storage.module:84","The maximum number of times, per user, the form can be submitted (0 for unlimited).","","","False","","",""
"contact_storage.module:222","The message ID.","","","False","","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:57","The possible values this field can contain. Enter one value per line, in the format key|label|emails.","","","False","","",""
"contact_storage.module:228","The time that the message was created.","","","False","","",""
"contact_storage.install:84","The user ID.","","","False","","",""
"config/install/views.view.contact_messages.yml:0","There is no Contact message yet.","","","False","","",""
"src/Form/ContactFormDisableForm.php:51","This contact form has been disabled.","","","False","","",""
"contact_storage.install:83","User ID","","","False","","",""
"contact_storage.module:30","Uses","","","False","","",""
"contact_storage.module:32","Using the Contact messages page","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Value","","","False","","",""
"contact_storage.module:291","View","","","False","","",""
"config/install/views.view.contact_messages.yml:0","View and manage messages sent through contact forms.","","","False","","",""
"contact_storage.module:309","View messages","","","False","","",""
"config/schema/contact_storage.schema.yml:0","Whether the mail should be sent as HTML","","","False","","",""
