"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/RequiredContext.php:137","<strong>Label:</strong> @label<br /> <strong>Type:</strong> @type","","","False","","",""
"src/Plugin/Condition/EntityBundle.php:126","'@bundle_type is @bundle'","","","False","","",""
"src/Plugin/Condition/EntityBundle.php:123","'@bundle_type is @bundles or @last'","","","False","","",""
"src/Form/RequiredContext.php:138","'@description'","","","False","","",""
"modules/ctools_block/src/Plugin/Deriver/EntityFieldDeriver.php:52","'@entity'","","","False","","",""
"src/Plugin/Deriver/EntityBundle.php:40","'@label'","","","False","","",""
"src/Plugin/Deriver/EntityBundle.php:49","'@label bundle'","","","False","","",""
"modules/ctools_views/ctools_views.info.yml:0","A set of improvements to the core Views code that allows for greater control over Blocks.","","","False","","",""
"src/Wizard/EntityFormWizardBase.php:177","A unique machine-readable name for this @entity_type. It must only contain lowercase letters, numbers, and underscores.","","","False","","",""
"ctools.module:111","AJAX responder -- tools to make it easier for the server to handle AJAX requests and tell the client what to do with them.","","","False","","",""
"ctools.module:104","About","","","False","","",""
"modules/ctools_block/src/Plugin/Block/EntityField.php:211","Above","Au-dessus","","False","","",""
"src/Form/ManageConditions.php:84","Add Condition","","","False","","",""
"src/Form/ManageResolverRelationships.php:104","Add Relationship","","","False","","",""
"src/Form/ManageResolverRelationships.php:98","Add a relationship","","","False","","",""
"src/Form/ManageContext.php:124;188","Add new context","","","False","","",""
"src/Form/RequiredContext.php:84","Add required context","","","False","","",""
"src/Wizard/EntityFormWizardBase.php:113","Added @entity-type %label.","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:94","Allow settings","Permettre les paramètres","","False","","",""
"modules/ctools_entity_mask/ctools_entity_mask.info.yml:0","Allows an entity type to borrow the fields and display configuration of another entity type.","","","False","","",""
"src/Form/ConditionDelete.php:107","Are you sure you want to delete the @label condition?","","","False","","",""
"src/Form/RequiredContextDelete.php:100","Are you sure you want to delete the @label context?","","","False","","",""
"src/Form/ResolverRelationshipDelete.php:70","Are you sure you want to delete the @label relationship?","","","False","","",""
"config/schema/ctools.schema.yml:0","Block display variant","","","False","","",""
"config/schema/ctools.schema.yml:0","Blocks","Blocs","","False","","",""
"ctools.module:118","CSS tools -- tools to cache and sanitize CSS easily to make user-input CSS safe.","","","False","","",""
"src/Form/RequiredContextDelete.php:158","Cancel","Annuler","","False","","",""
"ctools.info.yml:0","Chaos Tools","","","False","","",""
"modules/ctools_block/ctools_block.info.yml:0","Chaos Tools Blocks","","","False","","",""
"modules/ctools_views/ctools_views.info.yml:0","Chaos Tools Views","","","False","","",""
"ctools.info.yml:0","Chaos tool suite","","","False","","",""
"modules/ctools_views/ctools_views.info.yml:0","Chaos tool suite (Experimental)","","","False","","",""
"src/Form/ManageResolverRelationships.php:150","Configure Relationship","","","False","","",""
"src/Form/RequiredContext.php:118","Configure Required Context","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:88;110","Configure sorts","","","False","","",""
"ctools.module:117","Content -- pluggable content types used as panes in Panels and other modules like Dashboard.","","","False","","",""
"config/schema/ctools.schema.yml:0","Context","Contexte","","False","","",""
"src/Form/ManageResolverRelationships.php:90","Context ID","","","False","","",""
"config/schema/ctools.schema.yml:0","Context assignments","Affectations des contextes","","False","","",""
"src/Form/RelationshipConfigure.php:79","Context label","","","False","","",""
"config/schema/ctools.schema.yml:0","Context type","","","False","","",""
"config/schema/ctools.schema.yml:0","Context value","","","False","","",""
"ctools.module:114","Contexts -- the notion of wrapping objects in a unified wrapper and providing an API to create and accept these contexts as input.","","","False","","",""
"src/Form/ManageResolverRelationships.php:90","Data Type","Type de données","","False","","",""
"src/Form/RelationshipConfigure.php:85","Data type","Type de données","","False","","",""
"src/Form/RequiredContextDelete.php:151","Delete","Supprimer","","False","","",""
"ctools.module:116","Dependent -- a simple form widget to make form items appear and disappear based upon the selections in another item.","","","False","","",""
"src/Form/ResolverRelationshipConfigure.php:95","Description","Texte","","False","","",""
"config/schema/ctools.schema.yml:0","Description of the context","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:269","Disable","Désactiver","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:87;109","Disable filters","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:153","Display a specified number of items","Afficher un nombre défini d'éléments","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:154","Display all items","Afficher tous les éléments","","False","","",""
"src/Form/RequiredContext.php:150","Edit","Editer","","False","","",""
"modules/ctools_entity_mask/ctools_entity_mask.info.yml:0","Entity Mask","","","False","","",""
"modules/ctools_block/config/schema/ctools_block.schema.yml:0","Entity field block","","","False","","",""
"src/Plugin/Deriver/EntityViewDeriver.php:19","Entity view (@label)","","","False","","",""
"ctools.module:110","Exportables -- tools to make it easier for modules to have objects that live in database or live in code, such as ""default views"".","","","False","","",""
"modules/ctools_block/config/schema/ctools_block.schema.yml:0","Field formatter","Mise en forme de champ","","False","","",""
"src/Wizard/FormWizardBase.php:431","Finish","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:145","For example, set this to 3 and the first 3 items will not be displayed.","Par exemple, en le paramétrant à 3, les 3 premiers éléments ne seront pas affichés.","","False","","",""
"ctools.module:107","For the moment, it includes the following tools:","","","False","","",""
"ctools.module:112","Form tools -- tools to make it easier for forms to deal with AJAX.","","","False","","",""
"ctools.module:118","Form wizard -- an API to make multi-step forms much easier.","","","False","","",""
"modules/ctools_block/config/schema/ctools_block.schema.yml:0","Format type machine name","Nom système du type de format","","False","","",""
"modules/ctools_block/src/Plugin/Block/EntityField.php:221","Formatter","Outil de mise en forme","","False","","",""
"modules/ctools_block/src/Plugin/Block/EntityField.php:213","Hidden","Masqué","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:170","Hide","Masquer","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:85;107","Hide fields","","","False","","",""
"config/schema/ctools.schema.yml:0","ID","Identifiant (ID)","","False","","",""
"src/Form/RequiredContext.php:73","Information","Information","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:152","Inherit from view","","","False","","",""
"modules/ctools_block/src/Plugin/Block/EntityField.php:212","Inline","Sur la même ligne","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:82","Items per page","Éléments par page","","False","","",""
"src/Form/ResolverRelationshipConfigure.php:83","Label","Étiquette","","False","","",""
"config/schema/ctools.schema.yml:0","Label of the context","","","False","","",""
"modules/ctools_block/config/schema/ctools_block.schema.yml:0","Label setting machine name","","","False","","",""
"src/Form/ResolverRelationshipConfigure.php:89","Machine Name","Nom système","","False","","",""
"ctools.module:115","Modal dialog -- tool to make it simple to put a form in a modal dialog.","","","False","","",""
"src/Wizard/FormWizardBase.php:177;369","Next","Suivant","","False","","",""
"src/Form/ManageContext.php:108","No contexts or relationships have been added.","","","False","","",""
"src/Form/ManageResolverRelationships.php:93","No relationships have been added.","","","False","","",""
"src/Form/ManageConditions.php:75","No required conditions have been configured.","","","False","","",""
"src/Form/RequiredContext.php:75","No required contexts have been configured.","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:95","None","Aucune","","False","","",""
"ctools.module:113","Object caching -- tool to make it easier to edit an object across multiple page requests and cache the editing work.","","","False","","",""
"src/Form/RequiredContext.php:73","Operations","Actions","","False","","",""
"src/Form/ManageResolverRelationships.php:90","Options","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:294","Order","Ordre","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:158","Pager","Pagination","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:83;105;143","Pager offset","","","False","","",""
"modules/ctools_views/src/Plugin/Display/Block.php:84;106","Pager type","Type de pagination","","False","","",""
"src/Form/ManageConditions.php:73","Plugin Id","","","False","","",""
