"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Commands/FeaturesCommands.php:198","@methods","","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:654","(missing from active)","","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:661","(not exported)","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:227","'--New--'","'--Nouveau--'","",FALSE,"","",""
"modules/features_ui/features_ui.admin.inc:51","'@details'","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesExportForm.php:195","'@name'","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:279","A description of the bundle.","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:248","A unique human-readable name of this bundle.","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:267","A unique machine-readable name of this bundle.  Used to prefix exported packages. It must only contain lowercase letters, numbers, and underscores.","","",FALSE,"","",""
"features.module:17","About","A propos","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:636","Active config matches stored config for @module.","","",FALSE,"","",""
"modules/features_ui/src/Form/FeaturesDiffForm.php:219","Active site config","","",FALSE,"","",""
"drush/features.drush8.inc:536","Active:  drush features-export will update the exported feature with the displayed active config","","",FALSE,"","",""
"src/Commands/FeaturesCommands.php:648","Active: drush features-export will update the exported feature with the displayed active config","","",FALSE,"","",""
"modules/features_ui/src/Form/AssignmentProfileForm.php:32","Add commonly-needed configuration","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentNamespace.php:7","Add config to packages that contain that package's machine name.","","",FALSE,"","",""
"config/schema/features.schema.yml:0","Add configuration and files from Standard profile","","",FALSE,"","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentProfile.php:8","Add configuration and other files to the optional install profile from the Drupal core Standard install profile. Without these additions, a generated install profile will be missing some important initial setup.","","",FALSE,"","",""
