"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/FieldGroupAddForm.php:156","'- Select a field group type -'","","","False","","",""
"includes/field_ui.inc:387","<p class=""fieldgroup-help"">Fields can be dragged into groups with unlimited nesting. Each fieldgroup format comes with a configuration form, specific for that format type.<br />Note that some formats come in pair. These types have a html wrapper to nest its fieldgroup children. E.g. Place accordion items into the accordion, vertical tabs in vertical tab group and horizontal tabs in the horizontal tab group. There is one exception to this rule, you can use a vertical tab without a wrapper when the additional settings tabs are available. E.g. node forms.</p>","<p class=""fieldgroup-help"">Les champs peuvent être glissés dans des groupes avec imbrication illimitée. Chaque groupe de champs est livré avec un formulaire de configuration, spécifique pour le format choisi. <br />Notez que certains formats fonctionnent par paire ; ils possèdent une enveloppe HTML pour imbriquer leurs groupes de champs enfants. Par exemple placez les éléments accordéon dans le groupe accordéon, les éléments onglets verticaux dans le groupe d'onglets verticaux et les éléments d'onglets horizontaux dans le groupe d'onglets horizontaux. Il y a une exception à cette règle : vous pouvez utiliser un onglet vertical hors d'une enveloppe lorsque les paramètres de l'onglet supplémentaire sont disponibles. Par exemple dans les formulaires de nœud.</p>","","False","","",""
"contrib/field_group_migrate/src/Plugin/migrate/D7FieldGroupDeriver.php:59","'@label of @entity_type (bundle: @bundle)'","","","False","","",""
"config/schema/field_group.entity_display.schema.yml:0;0","A field group","","","False","","",""
"src/Form/FieldGroupAddForm.php:182","A unique machine-readable name containing letters, numbers, and underscores.","Un nom système unique contenant des lettres, nombres et des tirets bas.","","False","","",""
"field_group.module:27","About","À propos","","False","","",""
"modules/field_group_accordion/src/Plugin/field_group/FieldGroupFormatter/Accordion.php:10","Accordion (Deprecated)","","","False","","",""
"modules/field_group_accordion/src/Plugin/field_group/FieldGroupFormatter/AccordionItem.php:10","Accordion Item (Deprecated)","","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/Details.php:8","Add a details element","","","False","","",""
"src/Plugin/field_group/FieldGroupFormatter/DetailsSidebar.php:5","Add a details sidebar element","","","False","","",""
"src/Form/FieldGroupAddForm.php:154","Add a new group","Ajouter un nouveau groupe","","False","","",""
"src/Plugin/Derivative/FieldGroupLocalAction.php:66","Add field group","","","False","","",""
"src/FieldGroupFormatterBase.php:107","Allow HTML in label","","","False","","",""
