"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"google_analytics.module:54","<a href="":ga_url"">Google Analytics</a> is a free (registration required) website traffic and marketing effectiveness service.","","",FALSE,"","",""
"js/google_analytics.admin.js:0;0;0;0","'@items enabled'","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:396;446","'@module (<span class=""admin-enabled"">enabled</span>)'","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:396;446","'@module (<span class=""admin-missing"">disabled</span>)'","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:382","A file extension list separated by the | character that will be tracked as download when clicked. Regular expressions are supported. For example: @extensions","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:728","A list of top-level domains is required if <em>Multiple top-level domains</em> has been selected.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:1087","A parameter requires a value.","","",FALSE,"","",""
"js/google_analytics.admin.js:0","A single domain","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:237","A single domain (default)","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:840","A valid Google Analytics Web Property ID is case sensitive and formatted like UA-xxxxx-yy, G-xxxxxxxx, AW-xxxxxxxxx, or DC-xxxxxxxx.","","",FALSE,"","",""
"google_analytics.module:44","About","","",FALSE,"","",""
"js/google_analytics.admin.js:0","AdSense ads","","",FALSE,"","",""
"google_analytics.permissions.yml:0","Add JavaScript snippets","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:181","Add another ID","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:607","Add another Parameter","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:319","Add to every role except the selected ones","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:318","Add to the selected roles only","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:316","Add tracking for specific roles","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:291","Add tracking to specific pages","","",FALSE,"","",""
"google_analytics.module:49","Additional features","","",FALSE,"","",""
"google_analytics.permissions.yml:0","Administer Google Analytics","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:631","Advanced settings","","",FALSE,"","",""
"js/google_analytics.admin.js:0","All pages with exceptions","","",FALSE,"","",""
"google_analytics.module:48","All settings for this module can be found on the <a href="":ga_settings"">Google Analytics settings</a> page. When entering the Google Analytics account number here, it will automatically add the required JavaScript to every page generated. The <em>General Settings</em> section on this page provides additional instruction about setting up tracking thru the Google account.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:342","Allow users to customize tracking on their account page","","",FALSE,"","",""
"google_analytics.permissions.yml:0","Allow users to decide if tracking code will be added to pages or not.","","",FALSE,"","",""
"google_analytics.info.yml:0","Allows your site to be tracked by Google Analytics by adding a Javascript tracking code to every page.","","",FALSE,"","",""
"js/google_analytics.admin.js:0","Anonymize IP","","",FALSE,"","",""
"config/schema/google_analytics.schema.yml:0","Anonymize visitors IP address","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:477","Anonymize visitors IP address (UA Accounts only)","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:417","By default, the URL reported to Google Analytics will not include the ""fragment identifier"" (i.e. the portion of the URL beginning with a hash sign), and hash changes by themselves will not cause new pageviews to be reported. Checking this box will cause hash changes to be reported as pageviews (in modern browsers) and all pageview URLs to include the fragment where applicable.","","",FALSE,"","",""
