"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"graphql.module:17","
<p>This module generates and exposes a
  <a href=""http://graphql.org/"" target=""_blank"">GraphQL</a> schema for
  <a href=""https://www.drupal.org/8"" target=""_blank"">Drupal 8</a> entities,
  and allows you to expose your own custom schema in a consistent way and with
  minimal effort.</p>","","",FALSE,"","",""
"src/PermissionProvider.php:43","'%name: Execute arbitrary requests'","","",FALSE,"","",""
"src/PermissionProvider.php:48","'%name: Execute persisted requests'","","",FALSE,"","",""
"src/PermissionProvider.php:53","'%name: Use explorer'","","",FALSE,"","",""
"src/PermissionProvider.php:58","'%name: Use voyager'","","",FALSE,"","",""
"graphql.install:25","'@library component available'","","",FALSE,"","",""
"graphql.install:25","'@library component not found'","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/XML/XMLXpath.php:7","A DOM element located at a specific path.","","",FALSE,"","",""
"src/Form/ServerForm.php:126","A unique machine-readable name for this server. It must only contain lowercase letters, numbers, and underscores.","","",FALSE,"","",""
"graphql.module:16","About","À propos","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityAccess.php:9","Access result","","",FALSE,"","",""
"src/Form/ServerForm.php:194","Add debugMessage key containing the exception message to errors.","","",FALSE,"","",""
"src/Form/ServerForm.php:103","Add server","","",FALSE,"","",""
"graphql.permissions.yml:0","Administer configuration","","",FALSE,"","",""
"src/Form/ServerForm.php:176","Allow query batching","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/User/PasswordReset.php:15","Allows to reset the password.","","",FALSE,"","",""
"graphql.permissions.yml:0","Allows users to create, edit and delete server configurations.","","",FALSE,"","",""
"src/PermissionProvider.php:44","Allows users to execute arbitrary requests on the %name endpoint.","","",FALSE,"","",""
"src/PermissionProvider.php:49","Allows users to execute persisted requests on the %name endpoint.","","",FALSE,"","",""
"src/PermissionProvider.php:59","Allows users to use the voyager interface.","","",FALSE,"","",""
"src/PermissionProvider.php:54","Allows users use the explorer interface.","","",FALSE,"","",""
"examples/graphql_composable/src/Plugin/GraphQL/DataProducer/CreateArticle.php:12","Article","","",FALSE,"","",""
"examples/graphql_example/src/Plugin/GraphQL/DataProducer/QueryArticles.php:13","Article connection","","",FALSE,"","",""
"examples/graphql_composable/src/Plugin/GraphQL/DataProducer/CreateArticle.php:12","Article data","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Menu/MenuLink/MenuLinkAttribute.php:9","Attribute key","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Menu/MenuLink/MenuLinkAttribute.php:9","Attribute value","","",FALSE,"","",""
"graphql.info.yml:0","Base module for integrating GraphQL with Drupal.","","",FALSE,"","",""
"config/schema/graphql.schema.yml:0","Batching","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/EntityDefinition.php:12","Bundle","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields.php:17","Bundle context","","",FALSE,"","",""
"graphql.permissions.yml:0","Bypass graphql access restrictions","","",FALSE,"","",""
"config/schema/graphql.schema.yml:0","Caching","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityChanged.php:9","Changed date","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Taxonomy/TaxonomyLoadTree.php:15","Check access","","",FALSE,"","",""
"config/schema/graphql.schema.yml:0","Composable schema","","",FALSE,"","",""
"graphql.links.menu.yml:0","Configuration options for the GraphQL module.","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/XML/XMLContent.php:7","Content","","",FALSE,"","",""
"src/GraphQL/Utility/FileUpload.php:214","Could not create directory ""@upload_directory"".","","",FALSE,"","",""
"src/GraphQL/Validator.php:66","Could not get missing resolvers for @server_name as its registry class (@klass) does not implement getFieldResolverWithInheritance.","","",FALSE,"","",""
"src/GraphQL/Validator.php:132","Could not get orphaned resolvers for @server_name as its registry class (@klass) does not implement getAllFieldResolvers.","","",FALSE,"","",""
"graphql.routing.yml:0","Create","","",FALSE,"","",""
"examples/graphql_composable/src/Plugin/GraphQL/DataProducer/CreateArticle.php:12","Create Article","","",FALSE,"","",""
"graphql.links.action.yml:0","Create server","","",FALSE,"","",""
"examples/graphql_composable/src/Plugin/GraphQL/DataProducer/CreateArticle.php:12","Creates a new article.","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityCreated.php:8","Creation date","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/User/CurrentUser.php:11","Current logged in user.","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/User/CurrentUser.php:11;11","Current user","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/XML/XMLXpath.php:7","DOM element","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityCreated.php:8","Date format","","",FALSE,"","",""
"config/schema/graphql.schema.yml:0","Debug Flag","","",FALSE,"","",""
"src/Form/ServerForm.php:191","Debug settings","","",FALSE,"","",""
"graphql.routing.yml:0","Delete","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Images/ImageResourceUrl.php:7","Derivative","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Menu/MenuLink/MenuLinkDescription.php:8","Description","","",FALSE,"","",""
"src/Plugin/LanguageNegotiation/OperationLanguageNegotiation.php:9","Determines the language in the context of an operation.","","",FALSE,"","",""
"js/persisted_queries.js:0","Disabled","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/XML/XMLParse.php:7","Document","","",FALSE,"","",""
"graphql.routing.yml:0","Edit","","",FALSE,"","",""
"src/Form/ServerForm.php:106","Edit %label server","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Utility/Seek.php:7","Element","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/User/PasswordReset.php:15","Email","","",FALSE,"","",""
"src/Form/ServerForm.php:183","Enable caching","","",FALSE,"","",""
"js/persisted_queries.js:0","Enabled","","",FALSE,"","",""
"src/Plugin/GraphQL/Schema/ComposableSchema.php:81","Enabled extensions","","",FALSE,"","",""
"src/Form/PersistedQueriesForm.php:70","Enabled persisted query plugins","","",FALSE,"","",""
"src/Form/ServerForm.php:166","Endpoint","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityLoadMultiple.php:16","Entities","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Routing/RouteEntity.php:16","Entity","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityAccess.php:9","Entity access","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityBundle.php:8","Entity bundle","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Field/EntityReferenceRevisions.php:18","Entity bundle(s)","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityChanged.php:9","Entity changed date","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Entity/EntityCreated.php:8","Entity created date","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Label.php:8","Entity definition","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Weight.php:9","Entity definition field","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Id.php:8;8","Entity definition field ID","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/DefaultValue.php:8;8","Entity definition field default_value","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Description.php:9;9","Entity definition field description","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Hidden.php:9;9","Entity definition field hidden","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Label.php:8;8","Entity definition field label","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/MaxNumItems.php:9;9","Entity definition field max_num_items","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Multiple.php:9;9","Entity definition field multiple","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Reference.php:8;8","Entity definition field reference","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Required.php:8;8","Entity definition field required","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Settings.php:9;9","Entity definition field settings","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Status.php:11;11","Entity definition field status","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Type.php:8;8","Entity definition field type","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields/Weight.php:9;9","Entity definition field weight","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Fields.php:17","Entity definition fields","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/EntityDefinition/Label.php:8;8","Entity definition label","","",FALSE,"","",""
