"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:102","Add to every role except the selected ones","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:101","Add to the selected roles only","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:99","Add tracking for specific roles","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:75","Add tracking to specific pages","","","False","","",""
"hubspot_analytics.permissions.yml:0","Administer HubSpot Analytics","","","False","","",""
"hubspot_analytics.info.yml:0","Allows your site to be tracked by HubSpot Analytics by adding a Javascript tracking code to every page.","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:64","Every page except the listed pages","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:35","General settings","","","False","","",""
"hubspot_analytics.routing.yml:0","HubSpot Analytics","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:44","HubSpot portal ID","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:111","If none of the roles are selected, all users will be tracked. If a user has any of the roles checked, that user will be tracked (or excluded, depending on the setting above).","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:59;81","Pages","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:130","Path ""@page"" not prefixed with slash.","","","False","","",""
"hubspot_analytics.permissions.yml:0","Perform maintenance tasks for HubSpot Analytics.","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:93;108","Roles","Rôles","","False","","",""
"hubspot_analytics.links.task.yml:0","Settings","Paramètres","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:67","Specify pages by using their paths. Enter one path per line. The '*' character is a wildcard. Example paths are %blog for the blog page and %blog-wildcard for every personal blog. %front is the front page.","Spécifier les pages en utilisant leurs chemins. Saisir un chemin par ligne. Le caractère «*» est un caractère de remplacement (aussi appelé joker ou wildcard). Exemples de chemins : %blog pour la page du blog et %blog-wildcard pour tous les blogs personnels. %front représente la page d’accueil.","","False","","",""
"hubspot_analytics.info.yml:0","Statistics","Statistiques","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:65","The listed pages only","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:51","Tracking scope","","","False","","",""
