"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"jsonapi.module:86","About","A propos","","False","","",""
"src/Form/JsonApiSettingsForm.php:40","Accept all JSON:API create, read, update, and delete operations.","Accepter toutes les opérations de création, lecture, mise à jour et supression de JSON:API.","","False","","",""
"src/Form/JsonApiSettingsForm.php:39","Accept only JSON:API read operations.","Accepter uniquement les opérations de lecture de JSON:API.","","False","","",""
"src/Form/JsonApiSettingsForm.php:37","Allowed operations","Actions autorisées","","False","","",""
"jsonapi.links.menu.yml:0","Configure whether to allow only read operations or all operations.","Configurer s'il faut autoriser seulement les opérations de lecture ou toutes les opérations.","","False","","",""
"jsonapi.info.yml:0","Exposes entities as a JSON:API-specification-compliant web API.","Expose les entités en tant qu'API web JSON:API-specification-compliant.","","False","","",""
"jsonapi.module:92","General","Général","","False","","",""
"src/Controller/TemporaryJsonapiFileFieldUploader.php:322","Input data could not be read","Les données saisies n'ont pas pu être lues","","False","","",""
"jsonapi.routing.yml:0","JSON:API","","","False","","",""
"jsonapi.module:93","JSON:API is a particular implementation of REST that provides conventions for resource relationships, collections, filters, pagination, and sorting. These conventions help developers build clients faster and encourages reuse of code.","JSON:API est une implémentation spécifique de REST qui fournit des conventions pour les relations entre ressources, les collections, les filtres, la pagination et le tri. Ces conventions permettent aux développeurs de créer des clients plus rapidement et favorisent la réutilisation du code.","","False","","",""
"jsonapi.install:45","JSON:API multilingual support","JSON:API prise en charge multilingue","","False","","",""
"jsonapi.install:54","JSON:API revision support","JSON:API prise en charge de révision","","False","","",""
"config/schema/jsonapi.schema.yml:0","JSON:API settings","JSON:API paramètres","","False","","",""
"jsonapi.install:46;55","Limited","Limité","","False","","",""
"src/EventSubscriber/ResourceResponseValidator.php:254","Response failed validation.
Response:
@data

Errors:
@errors","Échec de validation de la réponse.
Réponse :
@data

Erreurs :
@errors","","False","","",""
"config/schema/jsonapi.schema.yml:0","Restrict JSON:API to only read operations","Restreindre JSON:API uniquement aux opérations de lecture","","False","","",""
"jsonapi.install:57","Revision support is currently read-only and only for the ""Content"" and ""Media"" entity types in JSON:API. See the <a href="":jsonapi-docs"">JSON:API revision support documentation</a> for more information on the current status of revision support.","La prise en charge des révisions est actuellement en lecture seule et uniquement pour les types d'entité ""Contenu"" et ""Média"" dans JSON:API. Reportez-vous à la <a href="":jsonapi-docs""> documentation sur la prise en charge de la révision JSON:API </a> </a> pour plus d'informations sur l'état actuel de la prise en charge de la révision.","","False","","",""
"jsonapi.install:22;48","Some multilingual features currently do not work well with JSON:API. See the <a href="":jsonapi-docs"">JSON:API multilingual support documentation</a> for more information on the current status of multilingual support.","Certaines fonctionnalités multilingues ne fonctionnent pas avec JSON:API. Référez-vous à la <a href="":jsonapi-docs"">documentation sur la prise en charge multilingue de JSON:API</a> pour en savoir plus sur l'état d'avancement de ce sujet.","","False","","",""
"src/Controller/TemporaryJsonapiFileFieldUploader.php:342","Temporary file ""%path"" could not be opened for file upload.","Le fichier temporaire ""%path"" n'a pas pu être ouvert pour le transfert.","","False","","",""
"src/Controller/TemporaryJsonapiFileFieldUploader.php:330","Temporary file data for ""%path"" could not be written","Les données de fichier temporaires de ""%path"" n'ont pas pu être écrites","","False","","",""
"jsonapi.module:94","The <a href="":jsonapi-docs"">JSON:API</a> and <a href="":rest-docs"">RESTful Web Services</a> modules serve similar purposes. <a href="":comparison"">Read the comparison of the RESTFul Web Services and JSON:API modules</a> to determine the best choice for your site.","Les modules <a href="":jsonapi-docs"">JSON:API</a> et <a href="":rest-docs"">RESTful Web Services</a> ont un objectif assez similaire. Référez-vous à la <a href="":comparison"">comparaison entre les modules RESTful Web Services et JSON:API</a> pour faire le meilleur choix pour votre site.","","False","","",""
"jsonapi.module:87","The JSON:API module is a fully compliant implementation of the <a href="":spec"">JSON:API Specification</a>. By following shared conventions, you can increase productivity, take advantage of generalized tooling, and focus on what matters: your application. Clients built around JSON:API are able to take advantage of features like efficient response caching, which can sometimes eliminate network requests entirely. For more information, see the <a href="":docs"">online documentation for the JSON:API module</a>.","Le module JSON:API est une implémentation entièrement conforme de la  <a href="":spec"">Spécification JSON:API</a>. Suivre des conventions partagées permet d'améliorer la productivité, de profiter d'outils génériques et de se concentrer sur l'essentiel : votre application. Les clients utilisant JSON:API profitent de fonctionnalités telles qu'un cache efficace des réponses qui peut permettre de se passer complètement de requêtes au serveur. Pour plus d'information, référez-vous à la <a href="":docs"">documentation en ligne pour le module JSON:API</a>.","","False","","",""
"src/Form/JsonApiSettingsForm.php:43","Warning: Only enable all operations if the site requires it. <a href="":docs"">Learn more about securing your site with JSON:API.</a>","Attention : n'activez toutes les opérations que si le site le requiert. <a href="":docs"">Renseignez-vous sur la sécurisation de votre site avec JSON:API.</a>","","False","","",""
"jsonapi.info.yml:0","Web services","Services Web","","False","","",""
