"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/KeyConfigOverrideAddForm.php:291","'- Select -'","'- Sélectionner -'","","False","","",""
"src/Element/KeySelect.php:40","'- Select a key -'","","","False","","",""
"src/Form/KeyConfigOverrideAddForm.php:300","'@label (@id)'","","","False","","",""
"src/Plugin/KeyType/AuthenticationKeyType.php:8","A generic key type to use for a password or API key that does not belong to any other defined key type.","","","False","","",""
"src/Plugin/KeyType/AuthenticationMultivalueKeyType.php:10","A generic key type to use for an authentication key that contains multiple values.","","","False","","",""
"src/Plugin/KeyType/EncryptionKeyType.php:9","A generic key type to use for an encryption key that does not belong to any other defined key type.","","","False","","",""
"src/Form/KeyConfigOverrideAddForm.php:112","A human readable name for this override.","","","False","","",""
"src/Plugin/KeyInput/NoneKeyInput.php:8","A key input for providers that don't accept a value.","","","False","","",""
"src/Plugin/KeyInput/GenerateKeyInput.php:8","A key input that generates a key value.","","","False","","",""
"src/Plugin/KeyType/UserPasswordKeyType.php:5","A key type to store a user/password pair.","","","False","","",""
"src/Plugin/KeyInput/GenerateKeyInput.php:99","A key value of the requested type has been generated and is displayed below as a Base64-encoded string. You will need to decode it to get the actual key value, which may or may not be human-readable. The key value will not be displayed again, so take note of it now, if necessary.<br>%key_value","","","False","","",""
"src/Commands/KeyCommands.php:378","A short description of the key.","","","False","","",""
"src/Plugin/KeyInput/TextFieldKeyInput.php:8","A simple text field.","","","False","","",""
"src/Plugin/KeyInput/TextareaFieldKeyInput.php:7","A simple textarea field.","","","False","","",""
"src/Controller/KeyListBuilder.php:105","Add Config Override","","","False","","",""
"key.links.action.yml:0","Add Key","","","False","","",""
"key.links.action.yml:0","Add Override","","","False","","",""
"key.routing.yml:0","Add a key configuration override","","","False","","",""
"key.routing.yml:0","Add key","","","False","","",""
"key.permissions.yml:0","Administer key configuration overrides","","","False","","",""
"key.permissions.yml:0","Administer keys","","","False","","",""
"src/Form/KeyDeleteForm.php:19","Are you sure you want to delete the key %key?","","","False","","",""
"src/Form/KeyConfigOverrideDeleteForm.php:17","Are you sure you want to delete the override %name?","","","False","","",""
"src/Plugin/KeyType/AuthenticationKeyType.php:8","Authentication","Authentification","","False","","",""
"src/Plugin/KeyType/AuthenticationMultivalueKeyType.php:10","Authentication (Multivalue)","","","False","","",""
"src/Plugin/KeyProvider/FileKeyProvider.php:65","Base64-encoded","","","False","","",""
"src/Commands/KeyCommands.php:211","Be extremely careful when deleting a key! It may result in losing access to a service or making encrypted data unreadable.","","","False","","",""
"src/Form/KeyEditForm.php:82","Be extremely careful when editing a key! It may result in broken site functionality. Are you sure you want to edit this key?","","","False","","",""
"src/Commands/KeyCommands.php:123","Be extremely careful when overwriting a key! It may result in losing access to a service or making encrypted data unreadable.","","","False","","",""
"src/Form/KeyEditForm.php:110","Cancel","Annuler","","False","","",""
"src/Form/KeyConfigOverrideAddForm.php:186","Check this field to clear any existing value for the overridden configuration item. This is important to make sure potentially sensitive data is removed from the configuration.","","","False","","",""
"src/Plugin/KeyProvider/FileKeyProvider.php:66","Check this if the key in the file is Base64-encoded.","","","False","","",""
"src/Plugin/KeyProvider/EnvKeyProvider.php:62","Check this if the key in the variable is Base64-encoded. <em>Note: Naturally Base64-encoded values, such as RSA keys, do not need to be marked as Base64-encoded unless they have been additionally encoded for another reason.</em>","","","False","","",""
"src/Plugin/KeyInput/TextFieldKeyInput.php:53","Check this if the key value being submitted has been Base64-encoded.","","","False","","",""
"src/Plugin/KeyInput/GenerateKeyInput.php:54","Check this to display the generated value once.","","","False","","",""
"src/Plugin/KeyProvider/FileKeyProvider.php:56","Check this to remove any trailing line breaks from the file. Leave unchecked if there is a chance that a line break could be a valid character in the key.","","","False","","",""
"src/Plugin/KeyProvider/EnvKeyProvider.php:52","Check this to remove any trailing line breaks from the variable. Leave unchecked if there is a chance that a line break could be a valid character in the key.","","","False","","",""
"src/Plugin/KeyProvider/ConfigKeyProvider.php:47","Checking this will store the key with Base64 encoding.","","","False","","",""
"src/Element/KeySelect.php:65","Choose an available key. If the desired key is not listed, <a href="":link"">create a new key</a>.","","","False","","",""
"src/Form/KeyConfigOverrideAddForm.php:184","Clear overridden value","","","False","","",""
"src/Plugin/KeyProvider/ConfigKeyProvider.php:12","Configuration","","","False","","",""
"src/Form/KeyConfigOverrideAddForm.php:168","Configuration item","","","False","","",""
"config/schema/key.schema.yml:0","Configuration key provider settings","","","False","","",""
"src/Form/KeyConfigOverrideAddForm.php:157","Configuration name","Nom de la configuration","","False","","",""
"config/schema/key.schema.yml:0","Configuration prefix","","","False","","",""
"src/Form/KeyConfigOverrideAddForm.php:140","Configuration type","Type de configuration","","False","","",""
"key.permissions.yml:0","Create, edit, and delete site-wide keys.","","","False","","",""
"src/Form/KeyDeleteForm.php:33","Delete","Supprimer","","False","","",""
"key.routing.yml:0","Delete Key","","","False","","",""
