"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/KPIDataFormatter/ThreeMonthsTimelineKPIDataFormatter.php:7","3 Months (+ current) Timeline KPI data formatter","","",FALSE,"","",""
"kpi_analytics.module:19","About","À propos","",FALSE,"","",""
"src/Plugin/KPIDataFormatter/AggregateKPIDataFormatter.php:7","Aggregate KPI data formatter","","",FALSE,"","",""
"kpi_analytics.module:20","Architecture for making Key Performance Indicators for your website.","","",FALSE,"","",""
"src/Plugin/KPIDataFormatter/DatetimeKPIDataFormatter.php:7","Datetime KPI data formatter","","",FALSE,"","",""
"src/Plugin/KPIDatasource/DrupalContextKPIDatasource.php:8","Drupal context datasource","","",FALSE,"","",""
"src/Plugin/KPIDatasource/DrupalKPIDatasource.php:8","Drupal datasource","","",FALSE,"","",""
"src/Plugin/KPIDatasource/DrupalKPITermDatasource.php:10","Drupal term datasource","","",FALSE,"","",""
"kpi_analytics.info.yml:0","KPI Analytics","","",FALSE,"","",""
"kpi_analytics.info.yml:0","KPI Analytics architecture used in the Open Social Drupal distribution.","","",FALSE,"","",""
"src/Plugin/KPIVisualization/MorrisBarGraphKPIVisualization.php:7","Morris bar graph KPI visualization","","",FALSE,"","",""
"src/Plugin/KPIVisualization/MorrisLineGraphKPIVisualization.php:7","Morris line graph KPI visualization","","",FALSE,"","",""
"src/Plugin/KPIVisualization/MorrisTagFollowGraphKPIVisualization.php:9","Morris tag follow graph KPI visualization","","",FALSE,"","",""
"templates/morris-chart--tag-follow.html.twig:9","New followers","","",FALSE,"","",""
"src/Plugin/KPIVisualization/SimpleTextKPIVisualization.php:7","Simple text KPI visualization","","",FALSE,"","",""
"kpi_analytics.info.yml:0","Social","","",FALSE,"","",""
"src/Plugin/KPIDataFormatter/SumKPIDataFormatter.php:7","Sum KPI data formatter","","",FALSE,"","",""
"src/Plugin/KPIDataFormatter/TagsFollowKPIDataFormatter.php:10","Tags follow KPI data formatter","","",FALSE,"","",""
"src/Plugin/Block/KPIBlockContentBlock.php:89","Terms","","",FALSE,"","",""
"templates/morris-chart--tag-follow.html.twig:4","Total followers:","","",FALSE,"","",""
"src/Plugin/Block/KPIBlockContentBlock.php:76","Vocabulary","","",FALSE,"","",""
"src/Plugin/KPIDataFormatter/YearTimelineKPIDataFormatter.php:7","Year Timeline KPI data formatter","","",FALSE,"","",""
"templates/morris-chart--tag-follow.html.twig:12","no change","","",FALSE,"","",""
"templates/morris-chart--tag-follow.html.twig:10","this month","","",FALSE,"","",""
