"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/FormAlter.php:215","<p>In the event both <em>Custom Block Types</em> and <em>Custom Blocks</em> restrictions are enabled, <em>Custom Block Types</em> restrictions are disregarded.</p>","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Form/AllowedBlocksForm.php:214","<strong>Layout:</strong> @layout_label<br><strong>Region:</strong> @region_label","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Form/FormAlter.php:201;362","All regions","","",FALSE,"","",""
"src/Form/FormAlter.php:97","Allow all blocks from newly available categories.","","",FALSE,"","",""
"src/Form/FormAlter.php:169","Allow all existing & new %category blocks.","","",FALSE,"","",""
"src/Form/FormAlter.php:243","Allow all existing & new layouts.","","",FALSE,"","",""
"src/Form/FormAlter.php:244","Allow only specific layouts:","","",FALSE,"","",""
"src/Form/FormAlter.php:171","Allow specific %category blocks:","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/config/schema/layout_builder_restrictions_by_region.schema.yml:0","Allowed layouts","","",FALSE,"","",""
"layout_builder_restrictions.permissions.yml:0","Allows access to configuration for layout builder restrictions.","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Form/FormAlter.php:242","Apply block restrictions on a region-by-region basis","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Form/FormAlter.php:241","Apply block restrictions to all regions in layout","","",FALSE,"","",""
"src/Form/MoveBlockForm.php:77","Back","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Blacklisted blocks","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Blacklisted blocks by category","","",FALSE,"","",""
"src/Traits/PluginHelperTrait.php:110","Block","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0;0","Block ID","","",FALSE,"","",""
"src/Form/FormAlter.php:120","Blocks available for placement (all layouts & regions)","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Form/FormAlter.php:206","Blocks available for the <em>@layout_label</em> layout","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Categories which disallow all blocks","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Categories which have no block restrictions","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/config/schema/layout_builder_restrictions_by_region.schema.yml:0;0","Category","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Category ID","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Category machine name","","",FALSE,"","",""
"layout_builder_restrictions.permissions.yml:0","Configure layout builder restrictions","","",FALSE,"","",""
"src/Traits/PluginHelperTrait.php:89","Custom block types","","",FALSE,"","",""
"src/Form/FormAlter.php:93","Default restriction for new categories of blocks not listed below.","","",FALSE,"","",""
"src/Form/RestrictionPluginConfigForm.php:68;106","Enabled","","",FALSE,"","",""
"src/Plugin/LayoutBuilderRestriction/EntityViewModeRestriction.php:14","Entity View Mode","","",FALSE,"","",""
"src/Form/RestrictionPluginConfigForm.php:67","ID","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Is the plugin enabled","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/layout_builder_restrictions_by_region.info.yml:0","Layout Builder","","",FALSE,"","",""
"layout_builder_restrictions.links.menu.yml:0","Layout Builder Restrictions","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/layout_builder_restrictions_by_region.info.yml:0","Layout Builder Restrictions By Region","","",FALSE,"","",""
"layout_builder_restrictions.routing.yml:0","Layout Builder Restrictions Configuration","","",FALSE,"","",""
"config/schema/layout_builder_restrictions.schema.yml:0","Layout Builder Restrictions plugin configuration","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/config/schema/layout_builder_restrictions_by_region.schema.yml:0","Layout ID","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/config/schema/layout_builder_restrictions_by_region.schema.yml:0;0;0","Layout restrictions","","",FALSE,"","",""
"src/Form/FormAlter.php:229","Layouts available for sections","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/config/schema/layout_builder_restrictions_by_region.schema.yml:0;0;0","Layouts to be restricted","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Form/FormAlter.php:294","Manage allowed blocks","","",FALSE,"","",""
"layout_builder_restrictions.links.menu.yml:0","Manage which Layout Builder Restrictions plugins run, and in which order.","","",FALSE,"","",""
"layout_builder_restrictions.info.yml:0","Manage which fields & layouts are available in Layout Builder","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Form/FormAlter.php:258","Operations","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/src/Plugin/LayoutBuilderRestriction/EntityViewModeRestrictionByRegion.php:14","Per Layout Region","","",FALSE,"","",""
"modules/layout_builder_restrictions_by_region/config/schema/layout_builder_restrictions_by_region.schema.yml:0","Per-layout-region Layout Builder Restrictions settings","","",FALSE,"","",""
