"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/lightning_search/config/install/views.view.search.yml:0","'- All -'","","","False","","",""
"src/YieldToArgumentTrait.php:44","'- None -'","","","False","","",""
"modules/lightning_search/lightning_search.info.yml:0","A basic but powerful set of default configuration for searching your site.","","","False","","",""
"modules/lightning_page/config/install/core.base_field_override.node.page.status.yml:0","A boolean indicating whether the node is published.","","","False","","",""
"lightning_core.module:281","A generic silhouette of a person.","","","False","","",""
"modules/acquia_telemetry/acquia_telemetry.info.yml:0","Acquia Telemetry","","","False","","",""
"src/EntityDescriptionFormTrait.php:24","Additional relevant information about this @entity_type, such as where it is used and what it is for.","","","False","","",""
"modules/lightning_search/config/install/search_api.index.content.yml:0","An index of all content in your site.","","","False","","",""
"modules/lightning_search/config/install/views.view.search.yml:0","Asc","","","False","","",""
"modules/lightning_roles/lightning_roles.info.yml:0","Automatically manages user roles and permissions.","","","False","","",""
"src/Commands/Hooks.php:103","Base Profile","","","False","","",""
"lightning_core.install:23","Base profile","","","False","","",""
"modules/lightning_page/lightning_page.info.yml:0","Basic Page","","","False","","",""
"modules/lightning_page/config/optional/pathauto.pattern.page.yml:0","Basic page","","","False","","",""
"modules/lightning_page/config/install/field.field.node.page.body.yml:0","Body","","","False","","",""
"modules/acquia_telemetry/acquia_telemetry.info.yml:0","By installing the Acquia Telemetry module, you agree to allow it to send anonymized telemetry data to Acquia for the purposes and on the conditions set forth below. If you do not agree, do not install this software.
The Acquia Telemetry module sends anonymized data about Acquia product usage to Acquia for security, operations management, statistical analyses, and for research and development purposes. Specifically, it sends the following data:<br /> <ul> <li>Software versions and enabled/disabled status of Acquia product modules</li> <li>Software version of Drupal core</li> <li>Software version of PHP</li> </ul> Acquia's collection of this anonymized telemetry data will be used in accordance with <a href=""https://www.acquia.com/about-us/legal/privacy-policy"">Acquia's Privacy Policy</a>. You may opt out and disable the data collection feature by uninstalling the Acquia Telemetry module at any time.","","","False","","",""
"modules/lightning_roles/lightning_roles.links.menu.yml:0","Configure Lightning Roles settings.","","","False","","",""
