"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"js/matomo.admin.js:0","403","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:320","403 - Access denied","","","False","","",""
"js/matomo.admin.js:0","404","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:319","404 - Not found","","","False","","",""
"matomo.module:38","<a href="":pk_url"">Matomo Analytics</a> is an open source (GPL license) web analytics software. It gives interesting reports on your website visitors, your popular pages, the search engines keywords they used, the language they speak... and so much more. Matomo aims to be an open source alternative to Google Analytics.","","","False","","",""
"js/matomo.admin.js:0","'@items'","","","False","","",""
"js/matomo.admin.js:0","'@items disabled'","","","False","","",""
"js/matomo.admin.js:0;0;0;0","'@items enabled'","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:363;411","'@module (<span class=""admin-enabled"">enabled</span>)'","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:366;414","'@module (<span class=""admin-missing"">disabled</span>)'","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:346","A file extension list separated by the | character that will be tracked as download when clicked. Regular expressions are supported. For example: @extensions","","","False","","",""
"js/matomo.admin.js:0","A single domain","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:183","A single domain (default)","","","False","","",""
"modules/matomo_tagmanager/src/Controller/ContainerController.php:29","Add @entity-type","","","False","","",""
"matomo.permissions.yml:0","Add JavaScript snippets","","","False","","",""
"modules/matomo_tagmanager/matomo_tagmanager.links.action.yml:0","Add container","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:270","Add to every role except the selected ones","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:269","Add to the selected roles only","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:267","Add tracking for specific roles","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:242","Add tracking to specific pages","","","False","","",""
"matomo.info.yml:0","Adds Matomo javascript tracking code to all your site's pages.","","","False","","",""
"matomo.permissions.yml:0","Administer Matomo","","","False","","",""
"modules/matomo_tagmanager/matomo_tagmanager.permissions.yml:0","Administer Matomo Tag Manager","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:552","Advanced settings","","","False","","",""
"js/matomo.admin.js:0","All pages with exceptions","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:293","Allow users to customize tracking on their account page","","","False","","",""
"matomo.permissions.yml:0","Allow users to decide if tracking code will be added to pages or not.","","","False","","",""
"src/Plugin/views/display_extender/Matomo.php:101;132","Behavior","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:462","By default Matomo tracks the current page title and shows you a flat list of the most popular titles. This enables a breadcrumbs like tree view.","","","False","","",""
"src/Plugin/views/display_extender/Matomo.php:126","Category","","","False","","",""
"config/schema/matomo.schema.yml:0","Category behavior","","","False","","",""
"config/schema/matomo.schema.yml:0","Category concatenation separator","","","False","","",""
"config/schema/matomo.schema.yml:0","Category concatenation separator for facets","","","False","","",""
"config/schema/matomo.schema.yml:0","Category fallback","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:602","Code in this textarea will be added <strong>after</strong> _paq.push([""trackPageView""]). This is useful if you'd like to track a site in two accounts.","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:594","Code in this textarea will be added <strong>before</strong> _paq.push([""trackPageView""]).","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:598","Code snippet (after)","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:590","Code snippet (before)","","","False","","",""
"js/matomo.admin.js:0","Colorbox","","","False","","",""
"src/Plugin/views/display_extender/Matomo.php:106;138","Concatenate all non-empty parameters","","","False","","",""
"src/Plugin/views/display_extender/Matomo.php:119;199","Concatenation separator","","","False","","",""
"src/Plugin/views/display_extender/Matomo.php:191","Concatenation separator for facets","","","False","","",""
"src/Plugin/views/display_extender/Matomo.php:120;200","Concatenation separator when using multiple GET parameters or with multivalued GET parameters.","","","False","","",""
"src/Plugin/views/display_extender/Matomo.php:192","Concatenation separator when using multiple active elements facets.","","","False","","",""
"matomo.links.menu.yml:0","Configure the settings used to generate your Matomo tracking code.","","","False","","",""
"modules/matomo_tagmanager/matomo_tagmanager.permissions.yml:0","Configure the website integration with Matomo Tag Manager.","","","False","","",""
"modules/matomo_tagmanager/src/Entity/Container.php:10","Container","","","False","","",""
"modules/matomo_tagmanager/src/Form/ContainerForm.php:93","Container URL","","","False","","",""
"modules/matomo_tagmanager/config/schema/matomo_tagmanager.schema.yml:0","Container settings","","","False","","",""
"modules/matomo_tagmanager/src/Entity/Container.php:10","Containers","","","False","","",""
"js/matomo.admin.js:0","Cookies disabled","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:584","Custom JavaScript code","","","False","","",""
"config/schema/matomo.schema.yml:0","Custom code snippets","","","False","","",""
"config/schema/matomo.schema.yml:0","Custom variable","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:508","Custom variable name #@slot","","","False","","",""
"src/Form/MatomoAdminSettingsForm.php:499;528","Custom variable slot #@slot","","","False","","",""
