"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/migrate_plus/data_parser/XmlTrait.php:49","'@libxmlerrorcodename @libxmlerrorcode: @libxmlerrormessage
Line: @libxmlerrorline
Column: @libxmlerrorcolumn
File: @libxmlerrorfile'","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerNode.php:55","Abstract for this beer","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerUser.php:41","Account ID","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerComment.php:45","Account ID (if any)","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerNode.php:56","Account ID of the author","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerUser.php:47","Account email","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerUser.php:45","Account name (for display)","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerUser.php:44","Account name (for login)","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerUser.php:46","Account password (raw)","","",FALSE,"","",""
"migrate_example_advanced/migrate_example_advanced_setup/src/Plugin/rest/resource/PositionResource.php:8","Advanced migration example - Position data","","",FALSE,"","",""
"migrate_example_advanced/migrate_example_advanced_setup/src/Plugin/rest/resource/VarietyMultiFiles.php:8","Advanced migration example - Variety data","","",FALSE,"","",""
"migrate_example_advanced/migrate_example_advanced_setup/src/Plugin/rest/resource/VarietyList.php:8","Advanced migration example - Variety list of data","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerNode.php:65","Applicable styles","","",FALSE,"","",""
"config/schema/migrate_plus.schema.yml:0","BC layer for Field Plugin Method","","",FALSE,"","",""
"src/Plugin/migrate_plus/authentication/Basic.php:8","Basic","Basique","",FALSE,"","",""
"migrate_example/config/install/migrate_plus.migration.beer_user.yml:0","Beer Drinkers of the world","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerNode.php:52","Beer ID","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerComment.php:46","Beer ID that is being commented upon","","",FALSE,"","",""
"migrate_example/config/install/migrate_plus.migration_group.beer.yml:0","Beer Imports","","",FALSE,"","",""
"migrate_example/src/Plugin/migrate/source/BeerTerm.php:51","Beer style","","",FALSE,"","",""
"migrate_example/config/install/migrate_plus.migration.beer_node.yml:0","Beers of the world","","",FALSE,"","",""
