"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/ClientForm.php:252","A client secret is required.","","",FALSE,"","",""
"src/Form/ScopeForm.php:74","A unique name for this item. It must only contain lowercase letters, numbers, underscores, and semicolons.","","",FALSE,"","",""
"src/Authentication/Provider/OAuth2DrupalAuthProvider.php:163","Access denied: @code @message","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Access lifetime","","",FALSE,"","",""
"src/Form/ServerForm.php:157","Access token lifetime","","",FALSE,"","",""
"oauth2_server.links.action.yml:0","Add Server","","",FALSE,"","",""
"oauth2_server.routing.yml:0","Add client","","",FALSE,"","",""
"oauth2_server.routing.yml:0","Add scope","","",FALSE,"","",""
"oauth2_server.routing.yml:0","Add server","","",FALSE,"","",""
"oauth2_server.permissions.yml:0","Administer OAuth2 Server","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Advanced Settings","","",FALSE,"","",""
"src/Form/ServerForm.php:151","Advanced settings","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0;0","Allow Implicit","","",FALSE,"","",""
"src/Form/ServerForm.php:102","Allow the implicit flow","","",FALSE,"","",""
"src/Form/ServerForm.php:103","Allows clients to receive an access token without the need for an authorization request token.","","",FALSE,"","",""
"src/Form/ServerForm.php:205","Always issue a new refresh token after the existing one has been used","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0;0","Always issue new refresh token","","",FALSE,"","",""
"src/Form/ServerDeleteConfirmForm.php:20","Are you sure you want to delete the OAuth2 server %name?","","",FALSE,"","",""
"src/Form/ClientDeleteConfirmForm.php:20","Are you sure you want to delete the OAuth2 server client %name?","","",FALSE,"","",""
"src/Form/ScopeDeleteConfirmForm.php:20","Are you sure you want to delete the OAuth2 server scope %name?","","",FALSE,"","",""
"src/Form/ServerDisableConfirmForm.php:20","Are you sure you want to disable the OAuth2 server %name?","","",FALSE,"","",""
"src/OAuth2Helper.php:41","Authorization Request Header Field","","",FALSE,"","",""
"src/Utility.php:29","Authorization code","","",FALSE,"","",""
"src/Form/AuthorizeForm.php:57","Authorize @client to use your account?","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Automatic Authorization","","",FALSE,"","",""
"src/Form/ClientForm.php:143","Automatically authorize this client","","",FALSE,"","",""
"src/Form/AuthorizeForm.php:85","Cancel","Annuler","",FALSE,"","",""
"src/Form/ClientForm.php:87","Client ID","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Client Secret","","",FALSE,"","",""
"src/Utility.php:33","Client credentials","","",FALSE,"","",""
"src/Form/ClientForm.php:105","Client secret","","",FALSE,"","",""
"src/ServerListBuilder.php:31","Clients","","",FALSE,"","",""
"src/Entity/AuthorizationCode.php:48","Code","","",FALSE,"","",""
"src/Entity/Token.php:34","Code ID","","",FALSE,"","",""
"src/Form/ScopeForm.php:89","Default","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Default scope","","",FALSE,"","",""
"src/Form/ServerDeleteConfirmForm.php:41","Delete","Supprimer","",FALSE,"","",""
"oauth2_server.routing.yml:0","Delete server","","",FALSE,"","",""
"src/Form/ClientDeleteConfirmForm.php:27","Deleting a client will disable all connectivity to it.","","",FALSE,"","",""
"src/Form/ScopeDeleteConfirmForm.php:27","Deleting a scope will disable all connectivity to the scope.","","",FALSE,"","",""
"src/Form/ServerDeleteConfirmForm.php:27","Deleting a server will disable all its scopes and clients.","","",FALSE,"","",""
"src/Form/ScopeForm.php:81","Description","","",FALSE,"","",""
"src/Form/ServerDisableConfirmForm.php:41","Disable","","",FALSE,"","",""
"oauth2_server.routing.yml:0","Disable server","","",FALSE,"","",""
"src/ServerListBuilder.php:58","Disabled","Désactivé","",FALSE,"","",""
"src/Form/ServerDisableConfirmForm.php:27","Disabling a server will also disable all attached scopes and clients. This action cannot be undone.","","",FALSE,"","",""
"src/ScopeListBuilder.php:28","Edit","Modifier","",FALSE,"","",""
"src/Form/ServerForm.php:81","Enabled","Activé","",FALSE,"","",""
"src/Form/ServerForm.php:129","Enabled grant types","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Enforce state","","",FALSE,"","",""
"src/Form/ServerForm.php:65","Enter the displayed name for the server.","","",FALSE,"","",""
"src/Controller/OAuth2Controller.php:322","Error: @message","","",FALSE,"","",""
"src/Entity/TokenIdentifier.php:61","Expires","","",FALSE,"","",""
"src/OAuth2Helper.php:52","Form-Encoded Body Parameter","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0;0","Grant type","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0;0","Grant types","","",FALSE,"","",""
"src/Entity/AuthorizationCode.php:72","ID Token","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","ID lifetime","","",FALSE,"","",""
"src/Form/ServerForm.php:164","ID token lifetime","","",FALSE,"","",""
"src/ServerListBuilder.php:79","ID: @name","","",FALSE,"","",""
"src/Entity/TokenIdentifier.php:51","JTI","","",FALSE,"","",""
"src/Entity/TokenIdentifier.php:32","JTI ID","","",FALSE,"","",""
"src/Form/ClientForm.php:128","JWT bearer","","",FALSE,"","",""
"src/Form/ClientForm.php:79","Label","","",FALSE,"","",""
"src/Entity/Token.php:78","Last Access","","",FALSE,"","",""
"src/Form/ClientForm.php:120","Leave this blank, and leave ""Require a client secret"" checked, to use the previously saved secret.","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0;0","Machine-readable name","","",FALSE,"","",""
"oauth2_server.links.menu.yml:0","Manage servers and their associated clients and scopes.","","",FALSE,"","",""
"oauth2_server.permissions.yml:0","Manage servers, scopes, and clients.","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0;0","Name","","",FALSE,"","",""
"src/ClientListBuilder.php:96","No clients available. <a href=""@link"">Add client</a>.","","",FALSE,"","",""
"src/ScopeListBuilder.php:94","No scopes available. <a href=""@link"">Add scope</a>.","","",FALSE,"","",""
"src/ServerListBuilder.php:104","No servers available. <a href=""@link"">Add server</a>.","","",FALSE,"","",""
"oauth2_server.info.yml:0","OAuth2","","",FALSE,"","",""
"src/Entity/Server.php:10","OAuth2 Server","","",FALSE,"","",""
"src/Entity/AuthorizationCode.php:11","OAuth2 Server Authorization Code","","",FALSE,"","",""
"src/Entity/TokenIdentifier.php:36","OAuth2 Server Client","","",FALSE,"","",""
"src/Entity/TokenIdentifier.php:9","OAuth2 Server JTI","","",FALSE,"","",""
"src/Entity/Scope.php:9","OAuth2 Server Scope","","",FALSE,"","",""
"src/Entity/Token.php:11","OAuth2 Server Token","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","OAuth2 Server client","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","OAuth2 Server scope","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","OAuth2 Server settings","","",FALSE,"","",""
"src/Form/ServerForm.php:60","OAuth2 Server: %label edit","","",FALSE,"","",""
"src/Controller/ServerClientController.php:41","OAuth2 Server: %name clients","","",FALSE,"","",""
"src/Controller/ServerScopeController.php:40","OAuth2 Server: %name scopes","","",FALSE,"","",""
"oauth2_server.routing.yml:0","OAuth2 Servers","","",FALSE,"","",""
"src/Form/ServerForm.php:82","Only enabled servers can be used for OAuth2.","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Override Grant types","","",FALSE,"","",""
"src/Form/ClientForm.php:156","Override available grant types","","",FALSE,"","",""
"src/Entity/TokenIdentifier.php:33","Primary key: numeric JTI id.","","",FALSE,"","",""
"src/Entity/AuthorizationCode.php:35","Primary key: numeric code id.","","",FALSE,"","",""
"src/Entity/Token.php:35","Primary key: numeric token id.","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Property of user object to use","","",FALSE,"","",""
"oauth2_server.info.yml:0","Provides OAuth2 server functionality.","","",FALSE,"","",""
"config/schema/oauth2_server.schema.yml:0","Public Key","","",FALSE,"","",""
