"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/oe_webtools_wtag/src/Plugin/Field/FieldWidget/WtagWidget.php:14","A Webtools Wtag widget that allows the selection of SKOS Concepts in a modal window.","","","False","","",""
"modules/oe_webtools_etrans/src/Plugin/Block/ETransBlock.php:203","A list of CSS selectors indicating page elements to be excluded from the translation even if they are inside an ""include"" element. One selector per line.","","","False","","",""
"modules/oe_webtools_etrans/src/Plugin/Block/ETransBlock.php:195","A list of CSS selectors indicating the page elements to be translated, one selector per line. If omitted the entire page will be translated.","","","False","","",""
"modules/oe_webtools_globan/src/Form/WebtoolsGlobanSettingsForm.php:123","Adapt the banner z-index value depending on your layout design. Default is 40.","","","False","","",""
"modules/oe_webtools_analytics/modules/oe_webtools_analytics_rules/oe_webtools_analytics_rules.links.action.yml:0","Add Webtools Analytics rule","","","False","","",""
"modules/oe_webtools_laco_widget/oe_webtools_laco_widget.info.yml:0","Adds a widget for Webtools Laco.","","","False","","",""
"modules/oe_webtools_analytics/oe_webtools_analytics.permissions.yml:0","Administer Webtools Analytics","","","False","","",""
"modules/oe_webtools_cookie_consent/oe_webtools_cookie_consent.permissions.yml:0","Administer Webtools Cookie Consent","","","False","","",""
"modules/oe_webtools_globan/oe_webtools_globan.permissions.yml:0","Administer Webtools Global Banner","","","False","","",""
"modules/oe_webtools_laco_widget/oe_webtools_laco_widget.permissions.yml:0","Administer Webtools LACO widget configuration","","","False","","",""
"modules/oe_webtools_page_feedback/oe_webtools_page_feedback.permissions.yml:0","Administer Webtools Page Feedback Form","","","False","","",""
"modules/oe_webtools_maps/oe_webtools_maps.info.yml:0","Allows to use Webtools Maps in sites built on the OpenEuropa platform.","","","False","","",""
"modules/oe_webtools_geocoding/oe_webtools_geocoding.info.yml:0","Allows to use the Webtools Geocoder service in sites built on the OpenEuropa platform.","","","False","","",""
"modules/oe_webtools_cookie_consent/src/Plugin/Filter/FilterIframeCck.php:16","Alters the <code>src</code> attribute of iframes to add the Webtools Cookie Consent Kit.","","","False","","",""
"modules/oe_webtools_cookie_consent/src/Plugin/Filter/FilterIframeCck.php:16","Apply cookie consent to iframes","","","False","","",""
"modules/oe_webtools_analytics/modules/oe_webtools_analytics_rules/src/Form/WebtoolsAnalyticsRuleDeleteForm.php:21","Are you sure you want to delete %name?","","","False","","",""
"modules/oe_webtools_globan/src/Form/WebtoolsGlobanSettingsForm.php:77","Background theme","","","False","","",""
"modules/oe_webtools_media/src/Plugin/media/Source/Webtools.php:80","Blacklist","","","False","","",""
"modules/oe_webtools_etrans/src/Plugin/Block/ETransBlock.php:155","Button","","","False","","",""
"modules/oe_webtools_cookie_consent/config/schema/oe_webtools_cookie_consent.schema.yml:0;0","CCK banner","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:72","CSS selectors to exclude the widget.","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:60","CSS selectors within which to apply the widget.","","","False","","",""
"modules/oe_webtools_media/src/Plugin/Validation/Constraint/WebtoolsMediaConstraint.php:60","Cannot access the contents of the URL. Please verify that it exists and it’s accessible for anonymous users.","","","False","","",""
"modules/oe_webtools_media/src/Plugin/media/Source/Webtools.php:190","Chart","","","False","","",""
"modules/oe_webtools_page_feedback/src/Form/WebtoolsPageFeedbackSettingsForm.php:31","Check this box if you would like to enable the Page feedback form on this site.","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:108","Choose presentation of the LACO icon.","","","False","","",""
"modules/oe_webtools_laco_widget/config/schema/oe_webtools_laco_widget.schema.yml:0;0","Class","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:39","Configuration","","","False","","",""
"modules/oe_webtools_laco_widget/oe_webtools_laco_widget.links.menu.yml:0","Configure Laco Widget settings.","","","False","","",""
"modules/oe_webtools_analytics/oe_webtools_analytics.links.menu.yml:0","Configure Webtools Analytics.","","","False","","",""
"modules/oe_webtools_cookie_consent/oe_webtools_cookie_consent.links.menu.yml:0","Configure Webtools Cookie Consent.","","","False","","",""
"modules/oe_webtools_globan/oe_webtools_globan.links.menu.yml:0","Configure Webtools Global Banner.","","","False","","",""
"modules/oe_webtools_page_feedback/oe_webtools_page_feedback.links.menu.yml:0","Configure Webtools Page Feedback Form.","","","False","","",""
"modules/oe_webtools_cookie_consent/src/Form/WebtoolsCookieConsentSettingsForm.php:47","Cookie Notice Page URL","","","False","","",""
"modules/oe_webtools_maps/src/Plugin/Field/FieldFormatter/WebtoolsMapFormatter.php:97","Coordinates","","","False","","",""
"modules/oe_webtools_media/src/Plugin/Validation/Constraint/WebtoolsMediaConstraint.php:53","Could not parse contents of the WCLOUD URL.","","","False","","",""
"modules/oe_webtools_media/src/Plugin/media/Source/Webtools.php:222","Countdown","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:87","Coverage","","","False","","",""
"modules/oe_webtools_analytics/modules/oe_webtools_analytics_rules/src/Form/WebtoolsAnalyticsRuleForm.php:92","Created the %label Webtools Analytics rule.","","","False","","",""
"modules/oe_webtools_globan/src/Form/WebtoolsGlobanSettingsForm.php:80","Dark","","","False","","",""
"modules/oe_webtools_etrans/src/Plugin/Block/ETransBlock.php:185","Delay","","","False","","",""
"modules/oe_webtools_analytics/modules/oe_webtools_analytics_rules/src/Form/WebtoolsAnalyticsRuleDeleteForm.php:35","Delete","","","False","","",""
"modules/oe_webtools_globan/config/schema/oe_webtools_globan.schema.yml:0","Display EU flag","","","False","","",""
"modules/oe_webtools_globan/src/Form/WebtoolsGlobanSettingsForm.php:67","Display the EU flag","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:91","Document","","","False","","",""
"modules/oe_webtools_etrans/src/Plugin/Block/ETransBlock.php:174","Domain","","","False","","",""
"modules/oe_webtools_etrans/src/Plugin/Block/ETransBlock.php:177","EU formal language","","","False","","",""
"modules/oe_webtools_cookie_consent/src/Form/WebtoolsCookieConsentSettingsForm.php:40","Enable CCK video banner for the supported video elements.","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:33","Enable LACO widget","","","False","","",""
"modules/oe_webtools_cookie_consent/src/Form/WebtoolsCookieConsentSettingsForm.php:33","Enable the CCK banner.","","","False","","",""
"modules/oe_webtools_page_feedback/src/Form/WebtoolsPageFeedbackSettingsForm.php:30","Enabled","","","False","","",""
"modules/oe_webtools_media/src/Plugin/media/Source/Webtools.php:169","Enter the snippet without the script tag. Snippets can be generated in @generator_link.","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:70","Exclude","","","False","","",""
"modules/oe_webtools_laco_widget/src/Form/WebtoolsLacoWidgetSettingsForm.php:49","For more information check the module <a href=""@href"">documentation</a>.","","","False","","",""
"modules/oe_webtools_page_feedback/src/Form/WebtoolsPageFeedbackSettingsForm.php:36","Form ID","","","False","","",""
"modules/oe_webtools_etrans/src/Plugin/Block/ETransBlock.php:176","General text","","","False","","",""
"modules/oe_webtools_media/src/Plugin/media/Source/Webtools.php:228","Generic","","","False","","",""
"modules/oe_webtools_globan/src/Form/WebtoolsGlobanSettingsForm.php:63","Global banner settings","","","False","","",""
