"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"override_node_options.info.yml:0","Allow non-admins to override the default publishing options for nodes they can edit.","Permettre aux non-administrateurs de supplanter les options de publication par défaut pour les nœuds qu'ils ont le droit d'éditer.","","False","","",""
"override_node_options.links.menu.yml:0","Create tasks that the system can execute.","Créer des tâches que le système peut exécuter.","","False","","",""
"src/NodePermissions.php:100","Enter %name revision log entry.","","","False","","",""
"src/NodePermissions.php:59","Enter revision log entries for all node types.","","","False","","",""
"src/Form/SettingsForm.php:39","General permissions, across all node types","","","False","","",""
"src/NodePermissions.php:108","Override %name authored by option.","","","False","","",""
"src/NodePermissions.php:104","Override %name authored on option.","","","False","","",""
"src/NodePermissions.php:88","Override %name promote to front page option.","","","False","","",""
"src/NodePermissions.php:84","Override %name published option.","","","False","","",""
"src/NodePermissions.php:96","Override %name revision option.","","","False","","",""
"src/NodePermissions.php:92","Override %name sticky option.","","","False","","",""
"override_node_options.links.menu.yml:0","Override Node Options","","","False","","",""
"config/schema/override_node_options.schema.yml:0","Override Node Options settings","","","False","","",""
"src/NodePermissions.php:63","Override all authored by option.","","","False","","",""
"src/NodePermissions.php:67","Override all authored on option.","","","False","","",""
"src/NodePermissions.php:47","Override all promote to front page options.","","","False","","",""
"src/NodePermissions.php:43","Override all published options.","","","False","","",""
"src/NodePermissions.php:55","Override all revision option.","","","False","","",""
"src/NodePermissions.php:51","Override all sticky options.","","","False","","",""
"override_node_options.info.yml:0","Permissions","Droits","","False","","",""
"src/Form/SettingsForm.php:45","Specific permissions, for each individual node type","","","False","","",""
"config/schema/override_node_options.schema.yml:0","Use content type specific permissions.","","","False","","",""
"config/schema/override_node_options.schema.yml:0","Use general permissions.","","","False","","",""
