"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1710"," to %type"," vers %type","","False","","",""
"modules/paragraphs_library/src/Form/LibraryItemRevisionRevertForm.php:111","'%title has been reverted to the revision from %revision-date.'","'%title a été rétabli à la révision du %revision-date.'","","False","","",""
"src/Form/ParagraphsTypeDeleteConfirm.php:24","'%type Paragraphs type is used by 1 piece of content on your site. You can not remove this %type Paragraphs type until you have removed all from the content.'","Le type de Paragraphe %type est utilisé par 1 élément de contenu sur votre site. Vous ne pouvez pas supprimer le type de Paragraphe %type tant qu'il n'aura pas été retiré de tous les contenus.","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:64","'%type_name: Create content'","'%type_name : Créer un contenu'","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:72","'%type_name: Delete content'","'%type_name : Supprimer un contenu'","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:68","'%type_name: Edit content'","'%type_name : Modifier un contenu'","","False","","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:60","'%type_name: View content'","'%type_name : Voir un contenu'","","False","","",""
"paragraphs.module:203","(* unsupported) Paragraphs fields do not support translation. See the <a href="":documentation"">online documentation</a>.","(* non pris en charge) Les champs Paragraphs ne prennent pas en charge la traduction. Voir la <a href="":documentation"">documentation en ligne</a>, (en).","","False","","",""
"modules/paragraphs_library/config/optional/views.view.paragraphs_library_browser.yml:0;0;0;0",", ","","","False","","",""
"modules/paragraphs_library/config/optional/views.view.paragraphs_library_browser.yml:0","'- All -'","'- Tout -'","","False","","",""
"src/Entity/Paragraph.php:560","1 child","1 enfant","","False","","",""
"modules/paragraphs_library/config/install/views.view.paragraphs_library.yml:0","1 place","","","False","","",""
"paragraphs.module:29","<em>Paragraphs types</em> can be created by clicking <em>Add Paragraphs type</em> on the <a href="":paragraphs"">Paragraphs types page</a>. By default a new Paragraphs type does not contain any fields.","Des <em>types de paragraphe</em> peuvent être créés en cliquant sur <em>Ajouter un type de paragraphe</em> sur la <a href="":paragraphs"">page ""Types de paragraphe""</a>. Par défaut, un nouveau type de paragraphe ne contient aucun champ.","","False","","",""
"src/Feeds/Target/Paragraphs.php:94","<strong>Note:</strong> Field options do not appear until a type has been chosen and saved.","<strong>Note </strong> : Les options de champ n'apparaissent pas tant qu'un type n'a pas été choisi et enregistré.","","False","","",""
"paragraphs.install:405","'@count Paragraphs processed.'","","","False","","",""
"modules/paragraphs_library/src/Controller/LibraryItemController.php:1","'@date: @label by @author'","'@date : @label par @author'","","False","","",""
"paragraphs.module:235","'@field_label (* unsupported)'","'@field_label (* non supporté)'","","False","","",""
"src/Plugin/migrate/D7ParagraphsItemDeriver.php:75","'@label (@type)'","","","False","","",""
"src/Plugin/Field/FieldWidget/InlineParagraphsWidget.php:295","'@messages'","","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:2245","'@name field is required.'","Le champ @name est requis.","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1680","'@title type'","Type @title","","False","","",""
"modules/paragraphs_library/paragraphs_library.install:105","A flag indicating whether this is the default translation.","Un marqueur indiquant s'il s'agit de la traduction par défaut.","","False","","",""
"modules/paragraphs_type_permissions/paragraphs_type_permissions.module:22","About","À propos","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:951;1690","Add @title","Ajouter @title","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1625","Add @type","Créer un @type","","False","","",""
"paragraphs.routing.yml:0","Add Paragraphs type","Ajouter un type de paragraphe","","False","","",""
"modules/paragraphs_demo/config/optional/views.view.paragraphs_search.yml:0","Add a text and click on Apply to see results.","Ajouter du texte puis cliquez sur Appliquer pour voir les résultats.","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:305","Add above","Ajouter au-dessus","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1693","Add another @title","Ajouter un autre @title","","False","","",""
"modules/paragraphs_library/paragraphs_library.links.action.yml:0","Add library item","Ajouter un élément de la bibliothèque","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:210","Add mode","Ajouter un mode","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:336","Add mode: @add_mode","Mode d'ajout : @add_mode","","False","","",""
"paragraphs.links.menu.yml:0","Add paragraph type","Ajouter un type de paragraphe","","False","","",""
"modules/paragraphs_library/paragraphs_library.permissions.yml:0","Administer Paragraphs library","","","False","","",""
"paragraphs.permissions.yml:0;0","Administer Paragraphs settings","Administrer les paramètres de Paragraphs","","False","","",""
"paragraphs.permissions.yml:0","Administer Paragraphs types","Administrer les types de paragraphes","","False","","",""
"paragraphs.module:33","Administrators can add a <em>Paragraph</em> field to content types or other entities, and configure which <em>Paragraphs types</em> to include. When users create content, they can then add one or more paragraphs by choosing the appropriate type from the dropdown list. Users can also dragdrop these paragraphs. This allows users to add structure to a page or other content (for example by adding an image, a user reference, or a differently formatted block of text) more easily then including it all in one text field or by using fields in a pre-defined order.","Les administrateurs peuvent ajouter un champ de type <em>paragraphe</em> aux types de contenu ou entités et configurer les types de <em>paragraphes</em> à inclure. Quand un utilisateur crée du contenu, il peut ajouter un ou plusieurs paragraphes en choisissant le type souhaité à partir de la liste déroulante. Les utilisateurs peuvent aussi glisser-déposer ces paragraphes. Ceci permet aux utilisateurs de structurer les pages ou  autres contenus (par exemple en ajoutant une image, une référence vers un utilisateur, ou des blocs dont le format du texte est différent) plus facilement qu'en incluant tout ces éléments dans un champ texte ou en utilisant plusieurs champs dans un ordre donné.","","False","","",""
"paragraphs.module:31","Administrators can add fields to a <em>Paragraphs type</em> on the <a href="":paragraphs"">Paragraphs types page</a> if the <a href="":field_ui"">Field UI</a> module is enabled. The form display and the display of the Paragraphs type can also be managed on this page. For more information on fields and entities, see the <a href="":field"">Field module help page</a>.","Les administrateurs peuvent ajouter des champs à un <em>type Paragraphs</em> sur la <a href="":paragraphs"">page des types Paragraphs</a>, si le module <a href="":field_ui"">Field UI</a> est activé. L'affichage du formulaire et l'affichage du type Paragraphs peuvent également être gérés sur cette page. Pour plus d'information sur les champs et les entités, consulter la <a href="":field"">page d'aide du module Field</a>.","","False","","",""
"modules/paragraphs_type_permissions/paragraphs_type_permissions.module:26","Administrators can configure the permissions to view, create, edit, and delete each <em>Paragraphs type</em> individually on the <a href="":permissions"">Permissions page</a>.","Les administrateurs peuvent configurer les droits de voir, créer et supprimer chacun des <em>types de paragraphes</em> sur la <a href="":permissions"">page des droits</a>.","","False","","",""
"modules/paragraphs_demo/paragraphs_demo.module:23","Administrators can edit the provided <em>Paragraphs types</em> on the <a href="":paragraphs"">Paragraphs types page</a> if the <a href="":field_ui"">Field UI</a> module is enabled. For more information on fields and entities, see the <a href="":field"">Field module help page</a>.","Les administrateurs peuvent modifier les <em>types de paragraphes</em> fournis sur la <a href="":paragraphs"">page des types de paragraphes</a> si le module <a href="":field_ui"">Field UI</a> est activé. Pour plus d'informations sur les champs et les entités, consulter la <a href="":field"">page d'aide du module Field</a>.","","False","","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:287","All","Tout","","False","","",""
"modules/paragraphs_library/paragraphs_library.module:199","Allow adding to library","Permettre l'ajout dans la bibliothèque","","False","","",""
"modules/paragraphs_library/config/schema/paragraphs_library.schema.yml:0","Allow conversion to paragraph library item","Permettre la conversion en élément de la bibliothèque de paragraphes","","False","","",""
"modules/paragraphs_library/paragraphs_library.permissions.yml:0","Allow to create the paragraph library items.","","","False","","",""
"paragraphs.permissions.yml:0","Allow to define the existing Paragraphs types and their Fields","Permettre de définir les types de paragraphe existants et leurs champs","","False","","",""
"modules/paragraphs_library/paragraphs_library.permissions.yml:0","Allow to edit the paragraph library items.","","","False","","",""
"modules/paragraphs_library/paragraphs_library.permissions.yml:0","Allow to manage the library of re-usable paragraphs.","Permettre de gérer la bibliothèque de paragraphes réutilisables.","","False","","",""
"src/Form/ParagraphsSettingsForm.php:36","Allow users with ""View unpublished paragraphs"" permission to see unpublished Paragraphs. Disable this if unpublished paragraphs should be hidden for all users, including super administrators.","","","False","","",""
"config/schema/paragraphs.schema.yml:0","Allow users with ""View unpublished paragraphs"" permission to see unpublished paragraphs.","","","False","","",""
