"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/PdfUsingMpdfNodeTypePermissions.php:69","'%type_name: Generate PDF using mPDF'","'%type_name : Générer un PDF avec mPDF'","","False","","",""
"src/Form/AdminSettingsForm.php:276","***** Password is already set *****","***** Le mot de passe est déjà défini *****","","False","","",""
"src/Form/AdminSettingsForm.php:379","*.css file extension is needed.","L'extension de fichier *.css est nécessaire.","","False","","",""
"pdf_using_mpdf.permissions.yml:0","Access PDF using mPDF settings","Accéder au PDF en utilisant les paramètres mPDF","","False","","",""
"src/Form/AdminSettingsForm.php:105","All margin values should be specified as LENGTH in millimetres.","Toutes les valeurs de marge doivent être spécifiées en tant que LONGUEUR en millimètres.","","False","","",""
"src/Form/AdminSettingsForm.php:82","Author","Auteur","","False","","",""
"src/Form/AdminSettingsForm.php:123","Bottom Margin","Marge inférieure","","False","","",""
"pdf_using_mpdf.links.menu.yml:0","Configuration and settings","Configuration et réglages","","False","","",""
"src/Form/AdminSettingsForm.php:96","Creator","Créateur","","False","","",""
"src/Form/AdminSettingsForm.php:293","Custom Style Sheet","Feuille de style personnalisée","","False","","",""
"src/Form/AdminSettingsForm.php:152","Default Font Style","Style de police par défaut","","False","","",""
"config/schema/pdf_using_mpdf.schema.yml:0","Default PDF filename","Nom de fichier PDF par défaut","","False","","",""
"src/Form/AdminSettingsForm.php:190","Display watermark on every page.","Afficher un filigrane sur chaque page.","","False","","",""
"src/Form/AdminSettingsForm.php:166","Document DPI","Document DPI","","False","","",""
"src/Form/AdminSettingsForm.php:352","Document DPI should be numeric and greater than 0.","Le DPI du document doit être numérique et supérieur à 0.","","False","","",""
"src/Form/AdminSettingsForm.php:68","Document Properties","Propriétés du document","","False","","",""
"src/Form/AdminSettingsForm.php:299","Enter path for CSS file. This path should be strictly related to Drupal root. For example: <em>styles/custom.css</em> will have its path validated as <em>DRUPAL_ROOT/styles/custom.css</em>","Entrez le chemin d'accès au fichier CSS. Ce chemin doit être strictement lié à la racine de Drupal. Par exemple : <em>styles/custom.css</em> aura son chemin validé comme <em>DRUPAL_ROOT/styles/custom.css</em>","","False","","",""
"src/Form/AdminSettingsForm.php:42","File","Fichier","","False","","",""
"src/Form/AdminSettingsForm.php:147","Font Size","Taille de la police","","False","","",""
"src/Form/AdminSettingsForm.php:331","Font size should be numeric and greater than 1.","La taille de la police doit être numérique et supérieure à 1.","","False","","",""
"src/Form/AdminSettingsForm.php:254","Footer","Pied de page","","False","","",""
"src/Form/AdminSettingsForm.php:141","Footer Margin","Marge de bas de page","","False","","",""
"src/Form/AdminSettingsForm.php:260","Footer content","Contenu du pied de page","","False","","",""
"pdf_using_mpdf.links.task.yml:0","Generate PDF","Générer un PDF","","False","","",""
"pdf_using_mpdf.info.yml:0","HTML to PDF conversion using mPDF Library","Conversion de HTML en PDF à l'aide de la bibliothèque mPDF","","False","","",""
"src/Form/AdminSettingsForm.php:240","Header","Entête","","False","","",""
"src/Form/AdminSettingsForm.php:135","Header Margin","Marge de l'en-tête","","False","","",""
"src/Form/AdminSettingsForm.php:246","Header content","Contenu de l'en-tête","","False","","",""
"src/Form/AdminSettingsForm.php:286","If password is not required, leave blank. Do not use space in starting and ending of password.","Si le mot de passe n'est pas nécessaire, laissez-le en blanc. Ne pas utiliser d'espace au début et à la fin du mot de passe.","","False","","",""
"src/Form/AdminSettingsForm.php:204","Image","Image","","False","","",""
"src/Form/AdminSettingsForm.php:172","Image DPI","Image DPI","","False","","",""
