"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"sendgrid_integration.install:44","API Key Not Set","","",FALSE,"","",""
"src/Form/SendGridSettingsForm.php:88;96","API Secret Key","","",FALSE,"","",""
"sendgrid_integration.install:56","API Secret Key saved","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","API key","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.routing.yml:0","Administer SendGrid Integration Reports","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.permissions.yml:0","Administer SendGrid Reports","","",FALSE,"","",""
"sendgrid_integration.permissions.yml:0","Administer SendGrid settings","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:101","Aggregation of data. Defaults to day.","","",FALSE,"","",""
"src/Form/SendGridSettingsForm.php:70","Authentication","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:120","Body","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:235","Browser","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:239","Browser Statistics","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:214","Change your settings","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:212","Clear your cache","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:236","Click Count","","",FALSE,"","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Clicks","","",FALSE,"","",""
"sendgrid_integration.links.menu.yml:0","Configure SendGrid Integration settings.","","",FALSE,"","",""
"sendgrid_integration.permissions.yml:0","Configure SendGrid options like username and password.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:73","Data and responses from Sendgrid are cached for performance reasons. If you make changes to these settings charts cache will be dropped automatically.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0;0","Date","","",FALSE,"","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Delivered","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:255","Device","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:259","Device Statistics","","",FALSE,"","",""
"src/Plugin/Mail/SendGridMail.php:195","Email was not sent because send value was disabled.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:92","End date in the format of mm/dd/YYYY. Defaults to today.","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:82","From name","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:98","Global Stats Aggregation","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:88","Global Stats End Date","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:79","Global Stats Start Date","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:115","If checked, the Drupal icon will be included as an attachment with the test email.","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:113","Include attachment","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.info.yml:0","Mail","","",FALSE,"","",""
"src/Plugin/Mail/SendGridMail.php:138","No API Secret key has been set","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:256","Open Count","","",FALSE,"","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Opens","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.permissions.yml:0","Perform administration functions on the SendGrid Reports module.","","",FALSE,"","",""
"sendgrid_integration.info.yml:0","Provides Sendgrid Integration for the Drupal Mail System","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:101","Reply-To","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:128","Send test message","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:210","SendGrid Dashboard","","",FALSE,"","",""
"sendgrid_integration.info.yml:0","SendGrid Integration","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.info.yml:0","SendGrid Integration Reports","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.info.yml:0","SendGrid Integration Reports Module","","",FALSE,"","",""
"sendgrid_integration.install:43;54","SendGrid Integration Settings","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:78","SendGrid Module is not setup with API key.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.links.task.yml:0","SendGrid Reports","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.routing.yml:0","SendGrid Reports Dashboard","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:169","SendGrid Reports module failed to receive data. HTTP Error Code @errno","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:170","SendGrid Reports module failed to receive data. See logs.","","",FALSE,"","",""
"src/Plugin/QueueWorker/SendGridQueue.php:10","SendGrid Resend queue","","",FALSE,"","",""
"sendgrid_integration.routing.yml:0","SendGrid Settings","","",FALSE,"","",""
"sendgrid_integration.routing.yml:0","SendGrid Test Email Send","","",FALSE,"","",""
"sendgrid_integration.links.task.yml:0","SendGrid email test","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.install:17","SendGrid settings","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:171","SendGrid test email sent from %from to %to.","","",FALSE,"","",""
"src/Plugin/Mail/SendGridMail.php:20","Sendgrid Integration","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:220","Sending Volume","","",FALSE,"","",""
"src/Plugin/Mail/SendGridMail.php:524","Sending emails to Sendgrid service failed with error message %message.","","",FALSE,"","",""
"src/Plugin/Mail/SendGridMail.php:20","Sends the message using Sendgrid API.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Spam","","",FALSE,"","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Spam Drops","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:224","Spam Reports","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:83","Start date in the format of mm/dd/YYYY. Defaults to 30 days back.","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:107","Subject","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","Test defaults","","",FALSE,"","",""
"src/Plugin/Mail/SendGridMail.php:397","The %header of your message is not supported by SendGrid and will be sent as text/plain instead.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:116","The %start could not be later than %end.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The address to send the test mail.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The body format and value of the test message.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:208","The following reports are the from the Global Statistics provided by SendGrid. For more comprehensive data, please visit your @dashboard. @cache to ensure the data is current. @settings to alter the time frame of this data.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The format of the body of the test message.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The from name for the test mail.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The name to address the test mail.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The reply to address for the test mail.","","",FALSE,"","",""
"src/Form/SendGridSettingsForm.php:89","The secret key of your key pair. These are only generated once by Sendgrid.","","",FALSE,"","",""
"src/Form/SendGridSettingsForm.php:97","The secret key of your key pair. These are only generated once by Sendgrid. Your existing key is hidden. If you need to change this, provide a new key here.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The subject of the test mail.","","",FALSE,"","",""
"config/schema/sendgrid_integration.schema.yml:0","The value of the body of the test message.","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:88","To","","",FALSE,"","",""
"src/Form/SendGridTestForm.php:95","To Name","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.links.menu.yml:0","View the SendGrid reports that have recently been logged.","","",FALSE,"","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.install:15","You can configure SendGrid settings under Administer > Configuration > @link","","",FALSE,"","",""
"src/Form/SendGridSettingsForm.php:116","You have not stored an API Secret Key.","","",FALSE,"","",""
"src/Form/SendGridSettingsForm.php:78","You have saved a secret key. You may change the key by inputing a new one in the field directly below.","","",FALSE,"","",""
"sendgrid_integration.install:46","You need to <a href=""@url"">add a SendGrid API Secret Key</a> for Drupal to be able to deliver mail through SendGrid Integration.","","",FALSE,"","",""
