"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/EntitiesForm.php:237","'%bundle_label <span class=""description"">(sitemaps: %sitemaps)</span>'","","","False","","",""
"src/Form/SettingsForm.php:170","'- None -'","","","False","","",""
"src/Form/FormHelper.php:291","'- Not specified -'","","","False","","",""
"src/Form/CustomLinksForm.php:146","<strong>@sitemap, line @line</strong>: The changefreq setting <em>@changefreq</em> for path <em>@path</em> is incorrect. The following are the correct values: <em>@changefreq_options</em>.","","","False","","",""
"src/Form/CustomLinksForm.php:131","<strong>@sitemap, line @line</strong>: The path <em>@path</em> does not exist.","","","False","","",""
"src/Form/CustomLinksForm.php:136","<strong>@sitemap, line @line</strong>: The path <em>@path</em> needs to start with a '/'.","","","False","","",""
"src/Form/CustomLinksForm.php:141","<strong>@sitemap, line @line</strong>: The priority setting <em>@priority</em> for path <em>@path</em> is incorrect. Set the priority from 0.0 to 1.0.","","","False","","",""
"simple_sitemap.module:29","<strong>Examples:</strong><br><em>/ 1.0 daily</em> -> home page with the highest priority and daily change frequency<br><em>/contact</em> -> contact page with the default priority and no change frequency information","","","False","","",""
"src/Form/StatusForm.php:166","'@indexed out of @total queue items have been processed.<br>Each sitemap is published after all of its items have been processed.'","","","False","","",""
"src/Queue/BatchTrait.php:91","'@indexed out of @total total queue items have been processed.'","","","False","","",""
"simple_sitemap.install:927","A sitemap index which lists all other sitemaps is now available and can be enabled.","","","False","","",""
"simple_sitemap.module:27","Add custom internal drupal paths to specific sitemaps.","","","False","","",""
"simple_sitemap.links.action.yml:0","Add sitemap","","","False","","",""
"simple_sitemap.links.action.yml:0","Add sitemap type","","","False","","",""
"src/Form/SettingsForm.php:107","Add styling and sorting to sitemaps","","","False","","",""
"simple_sitemap.permissions.yml:0","Administer Simple XML Sitemap settings, alter inclusion settings of content and generate sitemaps on demand.","","","False","","",""
"simple_sitemap.permissions.yml:0","Administer sitemap settings","","","False","","",""
"src/Form/SimpleSitemapTypeEntityForm.php:116","Administrative description","","","False","","",""
"src/Form/SettingsForm.php:157","Advanced settings","","","False","","",""
"modules/simple_sitemap_engines/src/Form/SimplesitemapEnginesForm.php:183","All IndexNow requests will be sent to the engine selected here. Only one engine needs to be notified, as it will notify other IndexNow compatible engines for you.<br/>For the sake of equality of opportunity, <strong>consider leaving this at <em>Random</em></strong>, so a random engine can be picked on each submission.","","","False","","",""
"simple_sitemap.install:883","All variants belonging to the built-in ""Default hreflang"" sitemap type have been converted to entities. Custom sitemap types added via plugins will have to be recreated manually. See simple_sitemap.type.default_hreflang.yml. The sitemaps need to be regenerated now.","","","False","","",""
"modules/simple_sitemap_engines/simple_sitemap_engines.permissions.yml:0","Allows optionally sending a change notice to IndexNow compatible search engines on entity form save.","","","False","","",""
"modules/simple_sitemap_engines/src/Form/SimplesitemapEnginesForm.php:268","An IndexNow verification key needs to be generated and optionally added to <em>settings.php</em> in order for IndexNow engines to get notified about changes. This warning only applies to the production environment.","","","False","","",""
"src/Plugin/simple_sitemap/UrlGenerator/ArbitraryUrlGenerator.php:11","Arbitrary URL generator","","","False","","",""
"src/Form/Handler/EntityFormHandlerBase.php:147","At least one sitemap needs to be defined for a bundle to be indexable.<br>Sitemaps can be configured <a href=""@url"">here</a>.","","","False","","",""
"config/schema/simple_sitemap.schema.yml:0","Base URL","","","False","","",""
"modules/simple_sitemap_engines/config/install/simple_sitemap_engines.simple_sitemap_engine.bing.yml:0","Bing","","","False","","",""
"src/Plugin/simple_sitemap/SitemapGenerator/DefaultSitemapGenerator.php:174","Caption","","","False","","",""
"src/Plugin/simple_sitemap/SitemapGenerator/DefaultSitemapGenerator.php:169","Change frequency","","","False","","",""
