"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"smart_trim.module:17","About","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:154","Additional options","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:90","Adds a wrapper div to trimmed content.","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:73","Characters","","","False","","",""
"config/schema/smart_trim.schema.yml:0","Display more link","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:107","Display more link?","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:110","Displays a link to the entity (if one exists)","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:146","Do not use summary","","","False","","",""
"smart_trim.info.yml:0","Fields","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:158","Honor a zero trim length","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:131","If displaying more link, add a custom class for formatting.","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:118","If displaying more link, enter the text for the link.","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:98","If wrapping, define the class name here.","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:127","More link class","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:114","More link text","","","False","","",""
"smart_trim.info.yml:0","Provides a more robust alternative to ""summary or trimmed"" textfield format","","","False","","",""
"smart_trim.info.yml:0","Smart Trim","","","False","","",""
"smart_trim.module:18","Smart Trim implements a new field formatter for text fields (text, text_long, and text_with_summary, if you want to get technical) that improves upon the ""Summary or Trimmed"" formatter.","","","False","","",""
"config/schema/smart_trim.schema.yml:0","Smart trim formatter settings","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:10","Smart trimmed","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:157","Strip HTML","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:80","Suffix","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:141","Summary","","","False","","",""
"config/schema/smart_trim.schema.yml:0","Summary handler","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:61","Trim length","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:70","Trim units","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:144","Use summary if present, and do not trim","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:145","Use summary if present, honor trim settings","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:74","Words","","","False","","",""
"config/schema/smart_trim.schema.yml:0","Wrap trimmed content","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:87","Wrap trimmed content?","","","False","","",""
"config/schema/smart_trim.schema.yml:0","Wrapped content class","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:94","Wrapped content class.","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:173","characters","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:181","with more link","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:178","with suffix","","","False","","",""
"src/Plugin/Field/FieldFormatter/SmartTrimFormatter.php:171","words","","","False","","",""
