"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_auth_extra.module:115","'@action with <b>Social Accounts</b>'","'@action avec les <b>comptes sociaux</b>'","","False","","",""
"modules/social_auth_twitter/src/Controller/TwitterLinkController.php:178","'@network Auth not configured properly. Contact site administrator.'","'@network Auth n'est pas configuré correctement. Contactez l'administrateur du site.'","","True","","",""
"src/Controller/SocialAuthExtraController.php:173","'@network Auth not configured properly. Contact the site administrator.'","'@network Auth n'est pas configuré correctement. Contactez l'administrateur du site.'","","True","","",""
"src/Controller/SocialAuthExtraController.php:166","'@network is disabled. Contact the site administrator'","'@network est désactivé. Contactez l'administrateur du site'","","True","","",""
"modules/social_auth_twitter/src/Controller/TwitterLinkController.php:169","'@network is disallowed. Contact site administrator.'","'@network n'est pas autorisé. Contactez l'administrateur du site.'","","True","","",""
"modules/social_auth_twitter/src/Controller/TwitterLinkController.php:123","'@network login failed, could not load @network profile. Contact site administrator.'","Le login @network a échoué, le profil @network n'a pas pu être chargé. Contactez l'administrateur du site.","","True","","",""
"src/Controller/SocialAuthExtraController.php:223","'@network login failed, could not load @network profile. Contact the site administrator.'","Le login @network a échoué, le profil @network n'a pas pu être chargé. Contactez l'administrateur du site.","","True","","",""
"src/Controller/SocialAuthExtraController.php:193","'@network login failed. Token is not valid.'","Échec de la connexion @network. Le jeton n'est pas valide.","","True","","",""
"modules/social_auth_twitter/src/Form/TwitterAuthSettingsForm.php:57","Active","Actif","","False","","",""
"modules/social_auth_facebook/src/Form/FacebookAuthSettingsForm.php:49","Application ID","Identifiant (ID) de l'application","","True","","",""
"modules/social_auth_facebook/src/Form/FacebookAuthSettingsForm.php:57","Application Secret","Secret d'application","","True","","",""
"social_auth_extra.module:412","Body","Corps","","False","","",""
"modules/social_auth_linkedin/src/Form/LinkedInAuthSettingsForm.php:46","Client ID","ID client","","False","","",""
"modules/social_auth_linkedin/src/Form/LinkedInAuthSettingsForm.php:54","Client Secret","Secret client","","False","","",""
"modules/social_auth_twitter/src/Form/TwitterAuthSettingsForm.php:42","Consumer Key","Clé du consommateur","","True","","",""
"modules/social_auth_twitter/src/Form/TwitterAuthSettingsForm.php:50","Consumer Secret","Secret des consommateurs","","True","","",""
"modules/social_auth_facebook/src/Form/FacebookAuthSettingsForm.php:51","Copy the App ID of your Facebook App here. This value can be found from your App Dashboard.","Copiez ici l'identifiant de votre application Facebook. Cette valeur peut être trouvée dans le tableau de bord de votre application.","","True","","",""
"modules/social_auth_facebook/src/Form/FacebookAuthSettingsForm.php:59","Copy the App Secret of your Facebook App here. This value can be found from your App Dashboard.","Copiez ici le secret de votre application Facebook. Cette valeur peut être trouvée dans le tableau de bord de votre application.","","True","","",""
"modules/social_auth_google/src/Form/GoogleAuthSettingsForm.php:51","Copy the Client ID here","Copier l'identifiant du client ici","","True","","",""
"modules/social_auth_linkedin/src/Form/LinkedInAuthSettingsForm.php:48","Copy the Client ID of your LinkedIn Client here. This value can be found from your Client Dashboard.","Copiez ici l'identifiant de votre client LinkedIn. Cette valeur peut être trouvée dans votre tableau de bord client.","","True","","",""
"modules/social_auth_google/src/Form/GoogleAuthSettingsForm.php:59","Copy the Client Secret here","Copiez le secret du client ici","","True","","",""
"modules/social_auth_linkedin/src/Form/LinkedInAuthSettingsForm.php:56","Copy the Client Secret of your LinkedIn Client here. This value can be found from your Client Dashboard.","Copiez ici le secret de votre client LinkedIn. Cette valeur peut être trouvée dans votre tableau de bord client.","","True","","",""
"modules/social_auth_twitter/src/Form/TwitterAuthSettingsForm.php:44","Copy the Consumer Key here","Copiez la clé du consommateur ici","","True","","",""
"modules/social_auth_twitter/src/Form/TwitterAuthSettingsForm.php:52","Copy the Consumer Secret here","Copiez le secret du consommateur ici","","True","","",""
"social_auth_extra.module:304","Could not create new user. Exception: @message","Impossible de créer un nouvel utilisateur. Exception : @message","","True","","",""
"modules/social_auth_facebook/src/FacebookAuthManager.php:62","Could not get Facebook access token. ResponseException: @message","Impossible d'obtenir le jeton d'accès à Facebook. ResponseException : @message","","True","","",""
"modules/social_auth_facebook/src/FacebookAuthManager.php:70","Could not get Facebook access token. SDKException: @message","Impossible d'obtenir le jeton d'accès à Facebook. SDKException : @message","","True","","",""
"modules/social_auth_facebook/src/FacebookAuthManager.php:83","Could not get Facebook access token. User cancelled the dialog in Facebook or return URL was not valid.","Impossible d'obtenir le jeton d'accès à Facebook. L'utilisateur a annulé le dialogue dans Facebook ou l'URL de retour n'était pas valide.","","True","","",""
"modules/social_auth_linkedin/src/LinkedInAuthManager.php:84","Could not get LinkedIn access token. LinkedInException: @message","Impossible d'obtenir le jeton d'accès à LinkedIn. LinkedInException : @message","","True","","",""
"modules/social_auth_linkedin/src/LinkedInAuthManager.php:97","Could not get LinkedIn access token. User cancelled the dialog in LinkedIn or return URL was not valid.","Impossible d'obtenir le jeton d'accès à LinkedIn. L'utilisateur a annulé le dialogue dans LinkedIn ou l'URL de retour n'était pas valide.","","True","","",""
"modules/social_auth_facebook/src/FacebookAuthManager.php:146","Could not load Facebook profile picture: ResponseException: @message","Impossible de charger la photo du profil Facebook : ResponseException : @message","","True","","",""
