"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_badge.routing.yml:0","Add a badge","","",FALSE,"","",""
"social_badge.permissions.yml:0","Administer badges","","",FALSE,"","",""
"src/Entity/Badge.php:11","Badge","","",FALSE,"","",""
"src/Form/BadgeForm.php:95","Badge %title has been created.","","",FALSE,"","",""
"src/Form/BadgeForm.php:98","Badge %title has been updated.","","",FALSE,"","",""
"templates/badges.html.twig:4","Badges","","",FALSE,"","",""
"src/Plugin/BadgeTrigger/FinishCourseBadgeTrigger.php:7","Completing courses","","",FALSE,"","",""
"social_badge.routing.yml:0","Delete badge","","",FALSE,"","",""
"src/Entity/Badge.php:99","Description","","",FALSE,"","",""
"social_badge.routing.yml:0","Edit badge","","",FALSE,"","",""
"src/Entity/Badge.php:113","Image","","",FALSE,"","",""
"config/install/core.entity_view_mode.badge.preview.yml:0","Preview","","",FALSE,"","",""
"social_badge.info.yml:0","Provides possibility to add badges for users after they finished course.","","",FALSE,"","",""
"social_badge.info.yml:0","Social","Social","",FALSE,"","",""
"social_badge.info.yml:0","Social Badge","","",FALSE,"","",""
"config/install/core.entity_view_mode.badge.teaser.yml:0","Teaser","","",FALSE,"","",""
"src/Entity/Badge.php:89","Title","","",FALSE,"","",""
"src/Form/BadgeForm.php:64","Triggers","","",FALSE,"","",""
"src/Entity/Badge.php:11","badge","","",FALSE,"","",""
"src/Entity/Badge.php:11","badges","","",FALSE,"","",""
