"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Block/SocialEvenCalendar.php:201","'- Any -'","'- Tout -'","","False","","",""
"social_calendar.module:140","Content tag(s)","Étiquette(s) de contenu","","True","","",""
"templates/node--event--event-calendar--sky.html.twig:76","Content tags","Tags de contenu","","False","","",""
"templates/social-event-calendar.html.twig:18","Day","Jour","","False","","",""
"templates/node--event--event-calendar--sky.html.twig:19","Enrolled","Inscrit","","False","","",""
"src/Plugin/Block/SocialEvenCalendar.php:14","Event Calendar","Calendrier des événements","","True","","",""
"config/install/core.entity_view_mode.node.event_calendar.yml:0","Event calendar","Calendrier des événements","","True","","",""
"templates/node--event--event-calendar--sky.html.twig:33;37","Event date","Date de l'évênement","","False","","",""
"social_calendar.module:67","Event type(s)","Type d'événement(s)","","True","","",""
"templates/node--event--event-calendar--sky.html.twig:4;7","Event: &nbsp;","Evénement : &nbsp;","","True","","",""
"src/Plugin/Block/SocialEvenCalendar.php:192","Filters","Filtres","","False","","",""
"templates/node--event--event-calendar--sky.html.twig:58","Group","Groupe","","False","","",""
"src/Plugin/Block/SocialEvenCalendar.php:199","Group(s)","Groupe(s)","","True","","",""
"src/Plugin/Block/SocialEvenCalendar.php:14","Lists (Views)","Listes (vues)","","False","","",""
"templates/node--event--event-calendar--sky.html.twig:45","Located at:","Localisé à :","","True","","",""
"templates/social-event-calendar.html.twig:22","Month","Mois","","False","","",""
"src/Plugin/Block/SocialEvenCalendar.php:143","Next","Suivant","","False","","",""
"src/Plugin/Block/SocialEvenCalendar.php:131","Previous","Précédent","","False","","",""
"social_calendar.info.yml:0","Provides the ability to add event calendar to the dashboard.","Permet d'ajouter un calendrier d'événements au tableau de bord.","","True","","",""
"social_calendar.info.yml:0","Social","Social","","False","","",""
"social_calendar.info.yml:0","Social Calendar","Calendrier social","","True","","",""
"templates/node--event--event-calendar--sky.html.twig:49","The event will take place at the","L'évènement aura lieu :","","True","","",""
"templates/node--event--event-calendar--sky.html.twig:62","This event is posted in","Cet évènement est posté dans","","True","","",""
"src/Plugin/Block/SocialEvenCalendar.php:119","Today","Aujourd'hui","","False","","",""
"templates/node--event--event-calendar--sky.html.twig:108","Total amount of enrollments","Nombre total d'inscriptions","","True","","",""
"templates/node--event--event-calendar--sky.html.twig:90","Visibility","Visibilité","","False","","",""
"templates/social-event-calendar.html.twig:20","Week","Semaine","","True","","",""
