"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/ChatConversationPermissionProvider.php:75","'@bundle: Create @type'","'@bundle : Créer @type'","","True","","",""
"src/ChatConversationPermissionProvider.php:68","'@bundle: Read all @type'","'@bundle : Lire tous les @type'","","True","","",""
"config/install/social_chat.message_content_type.user_event.yml:0","A User Event message.","Un message d'événement utilisateur.","","True","","",""
"config/install/social_chat.conversation_type.chat_group.yml:0","A chat group that is not linked to an Open Social group.","Un groupe de discussion qui n'est pas lié à un groupe Open Social.","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationFromWrapper.php:9","A class instance containing conversation information.","Une instance de classe contenant des informations sur la conversation.","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatParticipantFromWrapper.php:9","A class instance containing participant information.","Une instance de classe contenant des informations sur les participants.","","True","","",""
"config/install/social_chat.conversation_type.private.yml:0","A conversation between two users.","Une conversation entre deux utilisateurs.","","True","","",""
"config/install/social_chat.message_content_type.deleted.yml:0","A deleted message.","Un message supprimé.","","True","","",""
"src/Entity/ChatMessage.php:152","A unique ID provided by the client which can be used to link subscription messages to mutations in cache deduplication.","Un identifiant unique fourni par le client qui peut être utilisé pour lier les messages d'abonnement aux mutations dans la déduplication du cache.","","True","","",""
"src/Entity/ChatParticipant.php:108","Active","Actif","","False","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversation.php:13","Add Participants To Chat Group Chat Conversation","Ajouter des participants à un chat Conversation de groupe","","True","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversationInput.php:13","Add Participants To Chat Group Chat Conversation Input","Ajouter des participants à une conversation Chat de groupe Saisie de la conversation","","True","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversationInput.php:13","AddParticipantsToChatGroupChatConversationInput","AddParticipantsToChatGroupChatConversationInput","","True","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversation.php:13","AddParticipantsToChatGroupChatConversationPayload","AddParticipantsToChatGroupChatConversationPayload","","True","","",""
"src/Entity/ChatParticipant.php:149","Admin","Administrateur","","True","","",""
"social_chat.permissions.yml:0","Administer Chat Group Conversations","Administrer les conversations de groupe par chat","","True","","",""
"src/Plugin/GraphQL/DataProducer/Connection/UserConversations.php:12","After","Après","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatMessageReceiptFromEdge.php:9","An edge containing message receipt.","Une arête contenant la réception d'un message.","","True","","",""
"src/Entity/ChatParticipant.php:110","Archived","Archivé","","False","","",""
"src/Plugin/GraphQL/DataProducer/Connection/UserConversations.php:12","Before","Avant","","False","","",""
"social_chat.module:238;241","Chat","Chat","","True","","",""
"src/Plugin/GraphQL/DataProducer/Connection/ConversationParticipants.php:11","Chat Conversation","Conversation par chat","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationCanSendMessages.php:9","Chat Conversation Can Send Messages","La conversation peut envoyer des messages","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationParticipant.php:10","Chat Conversation Participant","Participant à une conversation par chat","","True","","",""
"src/Plugin/GraphQL/DataProducer/Connection/MessageRecipients.php:11","Chat Message","Chat Message","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatMessageReceipt.php:10","Chat Message Receipt","Réception d'un message de chat","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationParticipant.php:10","Chat Participant","Participant au chat","","True","","",""
"social_chat.install:50","Chat Subscription Endpoint","Point final de l'abonnement au chat","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationFromWrapper.php:9","Chat conversation from data structure","Conversation en ligne à partir d'une structure de données","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatMessageReceiptIsRead.php:8","Chat message receipt is read","La réception du message de chat est lue","","True","","",""
"src/Plugin/GraphQL/DataProducer/Payload/PayloadChatConversation.php:10","ChatConversationInterface","ChatConversationInterface","","True","","",""
"src/Plugin/GraphQL/DataProducer/Payload/PayloadChatMessage.php:10","ChatMessageInterface","ChatMessageInterface","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationSendMessageRole.php:10","ChatParticipantRole","ChatParticipantRole","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatReadStatusUnreadCount.php:8","ChatReadStatusWrapper","ChatReadStatusWrapper","","True","","",""
"src/Entity/ChatMessage.php:151","Client Unique ID","Identifiant unique du client","","True","","",""
"src/Entity/ChatParticipant.php:232","Conversation","Conversation","","True","","",""
"src/Plugin/GraphQL/DataProducer/Connection/ConversationMessages.php:18","Conversation Messages","Messages de conversation","","True","","",""
"src/Plugin/GraphQL/DataProducer/ChatParticipantFromWrapper.php:9","Conversation Participant from data structure","Participant à une conversation à partir d'une structure de données","","True","","",""
"src/Plugin/GraphQL/DataProducer/Connection/ConversationParticipants.php:11","Conversation Participants","Participants à la conversation","","True","","",""
"src/Entity/ChatConversation.php:220","Conversation created on","Conversation créée sur","","True","","",""
