"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:126","Accept","Accepter","",FALSE,"","",""
"social_collaboration.module:111","Add another editor","Ajouter un co-éditeur","",FALSE,"","",""
"social_collaboration.permissions.yml:0","Administer Collaboration Settings","Administrer les paramètres de collaboration","",FALSE,"","",""
"social_collaboration.links.menu.yml:0","Administer collaborative editing settings.","Administrer les paramètres d'édition collaborative.","",FALSE,"","",""
"social_collaboration.info.yml:0","Allows content creators to permit other users to collaboratively edit the content.","","",FALSE,"","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Allows to request a co-authorship for the content.","","",FALSE,"","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Approve co-authorship","Approuver co-rédaction","",FALSE,"","",""
"config/schema/social_collaboration.schema.yml:0","Bundle ID","Identifiant (ID) du paquet","",FALSE,"","",""
"config/optional/block.block.socialblue_coauthors_block.yml:0","Co-authors","Co-auteurs","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:251","Co-authorship request was accepted. Your response has been sent to the requester as a private message.","La demande de co-rédaction a été acceptée. Le membre a été prévenu par message privée.","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:278","Co-authorship request was declined. Your response has been sent to the requester as a private message.","La demande de co-rédaction a été refusée. Le membre a été prévenu par message privée.","",FALSE,"","",""
"social_collaboration.routing.yml:0","Collaboration settings","Paramètres de collaboration","",FALSE,"","",""
"social_collaboration.permissions.yml:0","Configure which content types can have collaborative editing","Configurer quel type de contenus peuvent avoir des paramètres de co-rédaction","",FALSE,"","",""
"src/Form/SocialCollaborationSettingsForm.php:78","Content types","Types de contenu","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:132","Decline","Refuser","",FALSE,"","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Decline co-authorship","Refuser la co-rédaction","",FALSE,"","",""
"src/Plugin/Block/SocialCollaborationBlock.php:16","Editors","Editeurs","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:134","Hello :content_owner, <br><br> I would like to contribute to the content @node_link. Please let me know if it's OK. <br><br> @accept_link | @decline_link","Bonjour:content_owner, <br><br> J'aimerais contribuer au contenu @node_link. Dites moi si c'est ok pour vous. <br><br> @accept_link | @decline_link","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:152","Hello :requester, <br><br> Thank you for your interest. Unfortunately, your request is declined. <br><br> Please feel free to participate by voting for this content or leave your comments.","Bonjour :requester, <br><br> Merci pour votre intérêt. Malheureusement votre demande a été refusée. <br><br> N'hésitez pas à participer en likant ou commentant le contenu.","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:144","Hello :requester, <br><br> Thank you for your interest. You have been added as a coauthor of the content @node_link. <br><br> Look forward to collaborating with you.","Bonjour :requester, <br><br> Merci pour votre intérêt. Vous avez été ajouté en co-rédaction de ce contenu @node_link. <br><br> C'est super de travailler ensemble.","",FALSE,"","",""
"modules/social_collaboration_request/src/Plugin/Block/CollaborationRequestCoauthorship.php:158","I want to contribute","Je veux contribuer","",FALSE,"","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Request co-authorship","Demander une co-rédaction","",FALSE,"","",""
"modules/social_collaboration_request/config/optional/block.block.socialblue_collaboration_request_coauthorship.yml:0","Request co-authorship of content","Demander à co-rédiger ce contenu","",FALSE,"","",""
"modules/social_collaboration_request/src/Plugin/Block/CollaborationRequestCoauthorship.php:160","Request sent","Requête envoyée","",FALSE,"","",""
"src/Form/SocialCollaborationSettingsForm.php:79","Select which content types can have collaborative editing.","","",FALSE,"","",""
"social_collaboration.links.menu.yml:0","Settings for collaboration and multiple editors","","",FALSE,"","",""
"src/Form/SocialCollaborationSettingsForm.php:93","Show co-authors block","","",FALSE,"","",""
"config/schema/social_collaboration.schema.yml:0","Show co-authors block.","","",FALSE,"","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Social","Social","",FALSE,"","",""
"social_collaboration.info.yml:0","Social Collaboration","","",FALSE,"","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Social Collaboration Request","","",FALSE,"","",""
"config/schema/social_collaboration.schema.yml:0","Social Collaboration Settings","","",FALSE,"","",""
"config/schema/social_collaboration.schema.yml:0","The node entity bundles for which to enable collaborative editing.","","",FALSE,"","",""
"modules/social_collaboration_request/social_collaboration_request.module:18","User can request co-authorship","Les utilisateurs peuvent demander la co-rédaction","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:79","You cannot request co-authorship for another user","","",FALSE,"","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:93","Your request has been sent to the content author as a private message.","Votre demande a été envoyée à l'auteur du contenu en message privé.","",FALSE,"","",""
"social_collaboration.info.yml:0","social","","",FALSE,"","",""
