"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_content_export.info.yml:0","Adds ability to export content to a CSV.","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentAuthor.php:8","Author","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentBody.php:8","Comment","Commentaire","","False","","",""
"src/Plugin/CommentExportPlugin/CommentLink.php:8","Comment link","Lien de commentaire","","False","","",""
"src/Plugin/ContentExportPlugin/ContentAnalyticsComments.php:8","Comments","Commentaires","","False","","",""
"src/Plugin/ContentExportPlugin/ContentId.php:8","Content ID","Identifiant (ID) du contenu","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentId.php:9","Content Id","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentTitle.php:9","Content Title","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentType.php:10","Content Type","","","False","","",""
"src/Plugin/Action/ExportContent.php:164","Could not save the export file on: %name.","","","False","","",""
"src/Plugin/Action/ExportContent.php:163","Could not save the export file.","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentCreateDate.php:12","Created","","","False","","",""
"src/Plugin/Action/ExportContent.php:156","Download file","","","False","","",""
"src/Plugin/Action/ExportContent.php:158","Export is complete. @link","","","False","","",""
"src/Plugin/Action/ExportComment.php:21","Export the selected comments to CSV","Exporter les commentaires sélectionnés au format CSV","","False","","",""
"src/Plugin/Action/ExportContent.php:23","Export the selected content to CSV","Exporter le contenu sélectionné au format CSV","","False","","",""
"src/Plugin/ContentExportPlugin/ContentGroup.php:12","Group","","","False","","",""
"src/Plugin/CommentExportPlugin/CommentId.php:8","ID","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentAnalyticsLikes.php:8","Likes","J'aime","","False","","",""
"social_content_export.info.yml:0","Social","","","False","","",""
"social_content_export.info.yml:0","Social Content Export","","","False","","",""
"src/Plugin/ContentExportPlugin/ContentTitle.php:8","Title","","","False","","",""
