"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_course_statistics/src/CourseStatistics.php:133","'@finished_sections/@course_sections Sections finished'","'@finished_sections/@course_sections Sections terminées'","","False","","",""
"modules/social_course_statistics/social_course_statistics.module:227","'@parts_finished/@parts_count parts finished'","'@parts_finished/@parts_count parties terminées'","","False","","",""
"social_course.module:1259","About","À propos","","False","","",""
"social_course.permissions.yml:0","Access to view courses pages","Accéder à l'affichage des pages de cours","","False","","",""
"social_course.routing.yml:0","Add course","Ajouter un cours","","False","","",""
"modules/social_course_advanced/modules/social_course_advanced_invite/social_course_advanced_invite.info.yml:0","Adds ""Group Invitation"" feature to advanced course","Ajoute la fonction « Invitation de groupe » au cours avancé","","False","","",""
"modules/social_course_basic/modules/social_course_basic_invite/social_course_basic_invite.info.yml:0","Adds ""Group Invitation"" feature to basic course","Ajoute la fonction « Invitation de groupe » au cours de base","","False","","",""
"social_course.install:157","All courses","Tous les cours","","False","","",""
"modules/social_course_basic/social_course_basic.module:23","Altering the visibility options could result in changes in access for content within this group and the group itself.","La modification des options de visibilité pourrait entraîner des changements dans l'accès au contenu au sein de ce groupe et au groupe lui-même.","","False","","",""
"templates/course-material-navigation.html.twig:22","Article","Article","","False","","",""
"config/install/paragraphs.paragraphs_type.attachment.yml:0","Attachment","Fichier attaché","","False","","",""
"social_course.module:517","Author","Auteur","","False","","",""
"social_course.module:713","Cancel enrollment","Annuler l'inscription","","False","","",""
"src/Entity/CourseEnrollment.php:113","Changed","Modifié","","False","","",""
"modules/social_course_basic/social_course_basic.install:245","Checked @progress from @max users.","","","False","","",""
"config/install/image.style.content_image.yml:0","Content Image","Image de contenu","","False","","",""
"social_course.module:346","Continue","Continuer","","False","","",""
"social_course.module:778;854;893;895;955;976","Course","Cours","","False","","",""
"src/Entity/CourseEnrollment.php:12","Course Enrollment","Inscription au cours","","False","","",""
"social_course.module:1219;1273","Course Events","Événements de cours","","False","","",""
"social_course.module:1322","Course Leaders","Responsables de cours","","False","","",""
"social_course.module:1215;1269","Course Topics","Sujets de cours","","False","","",""
"config/optional/block.block.socialblue_course_add_section.yml:0","Course add section block","Bloc d'ajout de section de cours","","False","","",""
"modules/social_course_statistics/social_course_statistics.views.inc:14;15;32;33","Course enrollment","Inscription au cours","","False","","",""
"templates/course-navigation.html.twig:59","Course finished","Cours terminé","","False","","",""
"templates/block--course-navigation.html.twig:30;38","Course information","Informations sur le cours","","False","","",""
"src/Plugin/Block/CourseMaterialHeroBlock.php:13","Course material hero block","Bloc de héros du matériel de cours","","False","","",""
"src/Plugin/Block/CourseMaterialNavigationBlock.php:20","Course material navigation block","Bloc de navigation du matériel de cours","","False","","",""
"config/optional/block.block.socialblue_course_material_pager.yml:0","Course material pager block","Bloc de radiomessagerie du matériel de cours","","False","","",""
"social_course.module:1211","Course members","Membres du cours","","False","","",""
"config/optional/block.block.socialblue_course_navigation.yml:0","Course navigation block","Bloc de navigation du cours","","False","","",""
"social_course.module:729","Course roles","Rôles des cours","","False","","",""
