"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Block/DashboardNavigationBlock.php:170","(This block is only visible to content and site managers)","(Ce bloc est uniquement visible pour les site managers)","","False","","",""
"social_dashboard.permissions.yml:0","Access contextual links gives permission to all contextual links, which is way too much, this permission allows certain user roles to access all contextual links on all pages, otherwise it is limited to just dashboard.","","","False","","",""
"social_dashboard.module:51","Cancel","Annuler","","False","","",""
"social_dashboard.module:305","Create New Dashboard","Créer un nouveau tableau de bord","","False","","",""
"config/optional/node.type.dashboard.yml:0","Dashboard","Tableau de bord","","False","","",""
"config/optional/block.block.socialblue_dashboardnavigation.yml:0","Dashboard Navigation","Explorer le tableau de bord","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:161","Delete","Supprimer","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:180","Edit","Editer","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:158","Information","Information","","False","","",""
"src/Controller/ChooseBlockController.php:103","KPI Analytics","","","False","","",""
"config/optional/field.field.node.dashboard.layout_builder__layout.yml:0","Layout","Mise en page","","False","","",""
"social_dashboard.module:307","New Dashboard","Nouveau tableau de bord","","False","","",""
"social_dashboard.info.yml:0","Provides the ability to create dashboards using the layout builder.","Permet de créer un tableau de bord.","","False","","",""
"social_dashboard.module:574","Read more","","","False","","",""
"social_dashboard.module:54","Remove all sections","Supprimer toutes les sections","","False","","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:14","Restrict blocks for the Dashboard","Restreindre des blocs du tableau de bord","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:160","Revisions","Révisions","","False","","",""
"social_dashboard.module:50","Save","Sauvegarder","","False","","",""
"social_dashboard.module:340","Section title","Titre de section","","False","","",""
"social_dashboard.info.yml:0","Social","Social","","False","","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:14","Social Block Restriction","","","False","","",""
"social_dashboard.info.yml:0","Social Dashboard","","","False","","",""
"social_dashboard.permissions.yml:0","View all contextual links","Voir tous les liens","","False","","",""
"social_dashboard.permissions.yml:0","View dashboard content","Voir le contenu du tableau de bord","","False","","",""
"social_dashboard.permissions.yml:0","View the dashboard content type.","Voir le type de contenu du tableau de bord.","","False","","",""
"config/optional/field.field.node.dashboard.field_content_visibility.yml:0","Visibility","Visibilité","","False","","",""
