"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_gamification_milestone/src/Form/GamificationMilestoneDeleteForm.php:40","'%label has been deleted.'","'%label a été supprimé.'","","False","","",""
"modules/social_gamification_milestone/src/GamificationMilestoneListBuilder.php:162","'+@points point'","'+@points point'","","True","","",""
"config/install/views.view.gamification.yml:0;0;0;0;0;0;0;0;0;0;0;0;0;0",",",",","","True","","",""
"config/install/views.view.gamification.yml:0;0;0","'- All -'","'- Tout -'","","False","","",""
"src/LeaderBoardPageExposedFilters.php:66;72","'- Any -'","'- Tout -'","","False","","",""
"src/Plugin/Block/LeaderboardExtendedBlock.php:156","'- None -'","'- Aucun -'","","False","","",""
"src/Plugin/Block/LeaderboardExtendedBlock.php:111","'@count (default setting)'","'@count (paramètre par défaut)'","","False","","",""
"modules/social_gamification_milestone/src/GamificationMilestoneListBuilder.php:140","'@label @count time'","'@label @count time'","","True","","",""
"modules/social_gamification_milestone/src/GamificationMilestoneListBuilder.php:176","'@name Badge'","'@name Badge'","","True","","",""
"src/Form/GamificationCreateWorkflow.php:153","Action","Action","","True","","",""
"social_gamification.routing.yml:0","Add Reward","Ajouter une récompense","","True","","",""
"src/Controller/GamificationWorkflow.php:80","Add an item","Ajouter un élément","","True","","",""
"modules/social_gamification_milestone/src/Form/GamificationMilestoneForm.php:308","Add task","Ajouter une tâche","","True","","",""
"modules/social_gamification_milestone/src/GamificationMilestoneListBuilder.php:82","Additional reward","Récompense supplémentaire","","True","","",""
"modules/social_gamification_milestone/social_gamification_milestone.permissions.yml:0","Administer Milestone ledger entities","Administrer les entités du grand livre des jalons","","True","","",""
"social_gamification.permissions.yml:0","Administer Reward ledger entities","Administrer les entités du registre des récompenses","","True","","",""
"modules/social_gamification_milestone/social_gamification_milestone.permissions.yml:0","Administer gamification milestone settings.","Administrer les paramètres d'étape de la gamification.","","True","","",""
"social_gamification.permissions.yml:0","Administer gamification reward settings.","Administrer les paramètres de récompense de la gamification.","","True","","",""
"social_gamification.permissions.yml:0","Administer gamification settings.","Administrer les paramètres de la gamification.","","True","","",""
"config/install/views.view.gamification.yml:0","All","Tout","","False","","",""
"modules/social_gamification_milestone/social_gamification_milestone.permissions.yml:0","Allow to access the administration form to configure Milestone ledger entities.","Autoriser l'accès au formulaire d'administration pour configurer les entités du grand livre des jalons.","","True","","",""
"social_gamification.permissions.yml:0","Allow to access the administration form to configure Reward ledger entities.","Autoriser l'accès au formulaire d'administration pour configurer les entités du registre des récompenses.","","True","","",""
"modules/social_gamification_milestone/src/Form/GamificationMilestoneForm.php:124","Also reward a badge","Récompense également un badge","","True","","",""
"src/Form/GamificationEditWorkflowForm.php:94","Amount","Montant","","True","","",""
"modules/social_gamification_milestone/src/Form/GamificationMilestoneForm.php:294","Amount of times a user has to complete the task","Nombre de fois qu'un utilisateur doit accomplir la tâche","","True","","",""
"config/install/views.view.gamification.yml:0","Apply","Postuler","","False","","",""
"src/Form/GamificationRewardDeleteForm.php:18","Are you sure you want to delete %name?","Confirmez-vous vouloir supprimer le compte de %name ?","","False","","",""
"config/install/views.view.gamification.yml:0","Asc","Asc.","","False","","",""
"social_gamification.module:122","Back","Précédent","","False","","",""
"modules/social_gamification_milestone/src/Form/GamificationMilestoneForm.php:150","Badge","Badge","","True","","",""
"src/Entity/RewardLedger.php:425","Changed","Modifié","","False","","",""
"modules/social_gamification_milestone/social_gamification_milestone.module:141","Completed","Terminé","","True","","",""
"src/Entity/RewardLedger.php:414","Content tags","Tags de contenu","","False","","",""
"modules/social_gamification_milestone/social_gamification_milestone.links.action.yml:0","Create Milestone","Créer un jalon","","True","","",""
"social_gamification.links.action.yml:0","Create Reward","Créer une récompense","","True","","",""
"modules/social_gamification_milestone/social_gamification_milestone.routing.yml:0","Create a milestone","Créer un jalon","","True","","",""
"social_gamification.routing.yml:0","Create a reward","Créer une récompense","","True","","",""
"social_gamification.permissions.yml:0","Create new Reward ledger entities","Créer de nouvelles entités du registre des récompenses","","True","","",""
"src/Form/GamificationCreateWorkflow.php:172","Create reward","Créer une récompense","","True","","",""
"src/Entity/RewardLedger.php:421","Created","Créé","","False","","",""
"src/Entity/RewardLedger.php:316","Created by","Créé par","","False","","",""
"modules/social_gamification_milestone/src/Form/GamificationMilestoneForm.php:209","Created new Milestone %label.","Création d'un nouveau jalon %label.","","True","","",""
"src/Plugin/AutomationAction/RewardPoints.php:13","Data","Données","","False","","",""
"modules/social_gamification_milestone/src/Entity/MilestoneLedger.php:273","Date achieved","Date de réalisation","","True","","",""
"config/install/views.view.gamification.yml:0","Date gained","Date d'obtention","","True","","",""
"src/Plugin/Block/LeaderboardExtendedBlock.php:154","Date period","Date période","","True","","",""
"src/Entity/RewardLedger.php:404","Date processed","Date de traitement","","True","","",""
"src/Form/GamificationRewardDeleteForm.php:32","Delete","Supprimer","","False","","",""
"modules/social_gamification_milestone/social_gamification_milestone.permissions.yml:0","Delete Milestone ledger entities","Supprimer les entités du grand livre des jalons","","True","","",""
"social_gamification.permissions.yml:0","Delete Reward ledger entities","Supprimer les entités du registre des récompenses","","True","","",""
"modules/social_gamification_milestone/social_gamification_milestone.routing.yml:0","Delete milestone","Supprimer un jalon","","True","","",""
"social_gamification.routing.yml:0","Delete reward","Supprimer la récompense","","True","","",""
"social_gamification.routing.yml:0","Delete rule","Supprimer la règle","","True","","",""
"config/install/views.view.gamification.yml:0","Desc","Décr.","","False","","",""
"src/Form/GamificationEditWorkflowForm.php:86","Description","Description","","False","","",""
"src/Controller/GamificationRewardListBuilder.php:28","Disabled","Désactivé","","False","","",""
"src/Controller/GamificationWorkflow.php:143","Edit","Modifier","","False","","",""
"modules/social_gamification_milestone/social_gamification_milestone.permissions.yml:0","Edit Milestone ledger entities","Modifier les entités du grand livre des jalons","","True","","",""
"social_gamification.routing.yml:0","Edit Reward","Éditer la récompense","","True","","",""
"social_gamification.permissions.yml:0","Edit Reward ledger entities","Modifier les entités du registre des récompenses","","True","","",""
"modules/social_gamification_milestone/social_gamification_milestone.routing.yml:0","Edit milestone","Editer le jalon","","True","","",""
