"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialGeolocationSettings.php:137","<b>This value is controlled by a configuration overwrite and can not be edited. Contact the site administrator to change this.</b>","","",FALSE,"","",""
"modules/social_geolocation_maps/config/schema/social_geolocation_maps.settings.yml:0","Cache options","","",FALSE,"","",""
"social_geolocation.module:119","City, Country","Ville, Pays","",FALSE,"","",""
"modules/social_geolocation_maps/social_geolocation_maps.module:137","Display map with geolocation of members on the members page","","",FALSE,"","",""
"social_geolocation.module:104","Distance (@unitOfMeasurement)","","",FALSE,"","",""
"modules/social_geolocation_maps/config/schema/social_geolocation_maps.settings.yml:0","Enable members map","","",FALSE,"","",""
"config/optional/field.field.group.secret_group.field_group_geolocation.yml:0","Geolocation","","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:73","Geolocation enabled","","",FALSE,"","",""
"social_geolocation.routing.yml:0","Geolocation settings","","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:121","Google Maps API key","","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:122","Google requires users to use a valid API key. Using the <a href=""https://console.developers.google.com/apis"">Google API Manager</a>, you can enable the <em>Google Maps JavaScript API</em>. That will create (or reuse) a <em>Browser key</em> which you can paste here.","","",FALSE,"","",""
"social_geolocation.module:117","Location","Emplacement","",FALSE,"","",""
"social_geolocation.module:98","Location range","Localisation","",FALSE,"","",""
"modules/social_geolocation_maps/src/Plugin/views/cache/SocialGeolocationMapsTag.php:52","Maps tag list","","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:80","Provider to use for storing Geolocation data","","",FALSE,"","",""
"modules/social_geolocation_maps/social_geolocation_maps.info.yml:0","Provides Map providers for showing Social Geolocation data in Views","","",FALSE,"","",""
"social_geolocation.info.yml:0","Provides geolocation functionality for groups, events and users","","",FALSE,"","",""
"modules/social_geolocation_search/social_geolocation_search.info.yml:0","Provides search support for the Social Geolocation module","","",FALSE,"","",""
"social_geolocation.module:105","Recommended range from 10 to 1000.","Recommandation : de 10 à 1000.","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:93","Select the unit of measurement that is used on this platform for proximity search/filtering.","","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:81","Select which provider Open Social should use to convert address data in to geolocation information.","","",FALSE,"","",""
"social_geolocation.permissions.yml:0","Set Geolocation Settings","","",FALSE,"","",""
"social_geolocation.permissions.yml:0","Set Geolocation Settings for Open Social","","",FALSE,"","",""
"social_geolocation.links.menu.yml:0","Settings for Social Geolocation.","","",FALSE,"","",""
"modules/social_geolocation_search/social_geolocation_search.info.yml:0","Social","Social","",FALSE,"","",""
"social_geolocation.info.yml:0","Social Geolocation","","",FALSE,"","",""
"modules/social_geolocation_maps/social_geolocation_maps.info.yml:0","Social Geolocation Maps","","",FALSE,"","",""
"modules/social_geolocation_maps/src/Plugin/views/cache/SocialGeolocationMapsTag.php:32","Social Geolocation Maps Tag","","",FALSE,"","",""
"modules/social_geolocation_maps/config/schema/social_geolocation_maps.settings.yml:0","Social Geolocation Maps settings","","",FALSE,"","",""
"modules/social_geolocation_maps/src/Plugin/views/cache/SocialGeolocationMapsTag.php:10","Social Geolocation Maps tag based","","",FALSE,"","",""
"modules/social_geolocation_search/social_geolocation_search.info.yml:0","Social Geolocation Search","","",FALSE,"","",""
"config/schema/social_geolocation.settings.yml:0","Social Geolocation settings","","",FALSE,"","",""
"social_geolocation.module:169","Sorry, we tried to find your address, but couldn’t find it. Double-check your spelling and try again. If you still get an error, please try again later.","","",FALSE,"","",""
"modules/social_geolocation_maps/src/Plugin/views/cache/SocialGeolocationMapsTag.php:10","Tag based caching of data. Caches will persist until any related cache tags are invalidated.","","",FALSE,"","",""
"modules/social_geolocation_maps/config/schema/social_geolocation_maps.settings.yml:0","Tag-based caching (Social Geolocation Maps)","","",FALSE,"","",""
"modules/social_geolocation_maps/src/Plugin/views/cache/SocialGeolocationMapsTag.php:53","Tags list, separated by new lines. Caching based on those cache tags must be manually cleared using custom code.","","",FALSE,"","",""
"config/schema/social_geolocation.settings.yml:0","The User ID of the site manager that can be contacted in case of a geolocation error","","",FALSE,"","",""
"config/schema/social_geolocation.settings.yml:0","The choice for which provider to use to store geolocation data","","",FALSE,"","",""
"social_geolocation.module:284","Unfortunately we can't locate the address you entered. Please update it or contact a @contact if you would like the event to show up in a search by location.","","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:92","Unit of measurement","","",FALSE,"","",""
"modules/social_geolocation_maps/social_geolocation_maps.module:40","Upcoming Events shown on a map","","",FALSE,"","",""
"src/Form/SocialGeolocationSettings.php:74","Whether addresses will be geocoded or not.","","",FALSE,"","",""
"config/schema/social_geolocation.settings.yml:0","Whether entities are processed and geolocation happen","","",FALSE,"","",""
"config/schema/social_geolocation.settings.yml:0","Whether the user should be shown a message to contact a site manager in case of a geolocation error","","",FALSE,"","",""
