"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_google_calendar.info.yml:0","Allows exchanging information between Open Social and Google Calendar","","","False","","",""
"src/Plugin/Block/UserWorkLocationBlock.php:198","Either 'Home', 'Out of Office', or the ID of the location as configured in your Google Workspace.","","","False","","",""
"social_google_calendar.info.yml:0","Google Calendar Integration","","","False","","",""
"src/Plugin/Block/UserWorkLocationBlock.php:20","Lists (Views)","","","False","","",""
"src/Plugin/Block/UserWorkLocationBlock.php:197","Location ID","","","False","","",""
"src/Plugin/Block/UserWorkLocationBlock.php:20","Member Working Locations","","","False","","",""
"src/Plugin/Block/UserWorkLocationBlock.php:147","No members working from this location","","","False","","",""
"social_google_calendar.info.yml:0","Social (internal)","","","False","","",""
"social_google_calendar.module:29","Today","","","False","","",""
"social_google_calendar.module:29","Tomorrow","","","False","","",""
"src/Plugin/Block/UserWorkLocationBlock.php:217","list of members working from '@id'","","","False","","",""
