"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Block/NavigationBlock.php:237","(This block is only visible to content and site managers)","(Ce bloc est uniquement visible pour les site managers)","","False","","",""
"social_layout_builder.permissions.yml:0","Access contextual links gives permission to all contextual links, which is way too much, this permission allows certain user roles to access all contextual links on all pages, otherwise it is limited to just dashboard.","Cette autorisation permet à certains rôles d'utilisateurs d'accéder à tous les liens contextuels sur toutes les pages, sinon elle est limitée au tableau de bord.","","False","","",""
"social_layout_builder.module:64","Cancel","Annuler","","False","","",""
"src/Plugin/Block/NavigationBlock.php:221","Delete","Supprimer","","False","","",""
"src/Plugin/Block/NavigationBlock.php:247","Edit","Modifier","","False","","",""
"src/Plugin/Block/NavigationBlock.php:207","Information","Information","","False","","",""
"src/Controller/ChooseBlockController.php:110","KPI Analytics","Données KPI","","False","","",""
"src/Plugin/Block/NavigationBlock.php:212","Layout","Mise en page","","False","","",""
"social_layout_builder.info.yml:0","Provides the base stuff for using layout builder.","Fournit les éléments de base pour l'utilisation du constructeur de modèles.","","False","","",""
"social_layout_builder.module:466","Read more","Lire la suite","","False","","",""
"social_layout_builder.module:67","Remove all sections","Supprimer toutes les sections","","False","","",""
"src/Plugin/Block/NavigationBlock.php:217","Revisions","Révisions","","False","","",""
"social_layout_builder.module:63","Save","Enregistrer","","False","","",""
"social_layout_builder.module:113","Section title","Titre de section","","False","","",""
"social_layout_builder.info.yml:0","Social","Social","","False","","",""
"social_layout_builder.info.yml:0","Social Layout Builder","Constructeur de sites sociaux","","False","","",""
"config/optional/block.block.socialblue_sociallayoutbuldernavigation.yml:0","Social Layout Builder Navigation","Navigation Social Layout Builder","","False","","",""
"src/Plugin/Block/NavigationBlock.php:227","Translate","Traduire","","False","","",""
"social_layout_builder.module:102","Uses for administration only.","Utilisation pour l'administration uniquement.","","False","","",""
"social_layout_builder.permissions.yml:0","View all contextual links","Voir tous les liens","","False","","",""
