"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialMailchimpSettingsForm.php:278","About the newsletters","","","False","","",""
"social_mailchimp.permissions.yml:0","Administer social mailchimp settings","","","False","","",""
"social_mailchimp.permissions.yml:0","Allow to access the administration form to configure social mailchimp settings","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:262","Allow users to sign up for Mailchimp newsletters","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:171","Audience","","","False","","",""
"modules/social_newsletter_dashboard/src/Plugin/Block/CommunityNewsletterBlock.php:12","Community Newsletters","","","False","","",""
"social_mailchimp.links.menu.yml:0","Configure social mailchimp settings","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:270","Consent link label","","","False","","",""
"modules/social_newsletter_dashboard/src/Plugin/Block/CommunityNewsletterBlock.php:12","Custom","","","False","","",""
"modules/social_newsletter_dashboard/src/Plugin/Block/CommunityNewsletterBlock.php:67","Description","","","False","","",""
"src/Form/CommunityNewsletterForm.php:144","Email address","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:148","Enable connection with Mailchimp","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:217","Field in Mailchimp system","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:141","Mailchimp configuration","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:248","Mailchimp consent","","","False","","",""
"social_mailchimp.routing.yml:0","Mailchimp settings","","","False","","",""
"src/Form/CommunityNewsletterForm.php:186","Missing audience ID.","","","False","","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.module:31","Newsletter form","","","False","","",""
"social_mailchimp.module:117","Newsletters","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:123","Please add your Mailchimp key @mailchimp_settings and create an audience within your @audience_dashboard account.","","","False","","",""
"src/Form/CommunityNewsletterForm.php:195","Please fill in valid email address.","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:202","Please select the user profile fields that will be share within Mailchimp","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:201","Profile fields","","","False","","",""
"modules/social_newsletter_dashboard/social_newsletter_dashboard.info.yml:0","Provides possibility to add signup block on Dashboard","","","False","","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.info.yml:0","Provides possibility to add signup block on Landing pages","","","False","","",""
"social_mailchimp.info.yml:0","Provides synchronization with Mailchimp system","","","False","","",""
"social_mailchimp.module:111","Sign up for @url","","","False","","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.info.yml:0","Social","","","False","","",""
"social_mailchimp.info.yml:0","Social Mailchimp","","","False","","",""
"modules/social_newsletter_dashboard/social_newsletter_dashboard.info.yml:0","Social Newsletter Dashboard","","","False","","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.info.yml:0","Social Newsletter Landing Page","","","False","","",""
"src/Form/CommunityNewsletterForm.php:150","Subscribe","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:172","The Mailchimps audience list where users will be saved.","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:218","The user profile field","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:287","Unsubscribe users from the Mailchimp newsletter after being removed or blocked on the platform","","","False","","",""
"src/Form/CommunityNewsletterForm.php:119","You can cancel your subscription on the @link.","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:312","You cannot use single profile field for multiple fields in Mailchimp system","","","False","","",""
"src/Form/CommunityNewsletterForm.php:203","You have already subscribed to the @label.","","","False","","",""
"src/Form/CommunityNewsletterForm.php:227","You have subscribed to the @label successfully.","","","False","","",""
"src/Form/CommunityNewsletterForm.php:105","You have subscribed to the @label.","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:279","users can read more about the newsletters before signing up.","","","False","","",""
"src/Form/SocialMailchimpSettingsForm.php:263","users can sign up for Mailchimp newsletters during the sign up process and on their settings page.","","","False","","",""
