"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_media_directory.module:614;651","'- None -'","","","False","","",""
"social_media_directory.post_update.php:50","1 file system entity has been reassigned to a superuser.","","","False","","",""
"config/optional/message.template.media_directory_stream.yml:0","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> created a folder <a href=""[social_media_directory:group-files-path]"">[social_media_directory:entity-title]</a> in <a href=""[message:gurl]"">[message:gtitle]</a></p>","","","False","","",""
"config/optional/message.template.media_directory_metadata.yml:0","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> update the <a href=""[social_media_directory:group-files-path]"">[social_media_directory:entity-title]</a> folder metadata in <a href=""[message:gurl]"">[message:gtitle]</a></p>","","","False","","",""
"config/install/core.entity_view_display.taxonomy_term.media_directory.details.yml:0","'@interval ago'","","","False","","",""
"config/install/core.entity_view_display.taxonomy_term.media_directory.details.yml:0","'@interval hence'","","","False","","",""
"config/optional/message.template.media_directory_stream.yml:0","A person added a folder to a group","","","False","","",""
"config/optional/message.template.media_directory_metadata.yml:0","A person updated the folder metadata in a group","","","False","","",""
"src/Plugin/views/access/SocialMediaDirectoryAccess.php:10","Access will be granted to users with the specified group permission strings.","","","False","","",""
"src/Plugin/ActivityAction/SocialMediaDirectoryMetadataActivityAction.php:7","Action that is triggered when a entity is updated","","","False","","",""
"src/Plugin/ActivityAction/CreateRevisionActivityAction.php:10","Action that is triggered when a new entity revision is created","","","False","","",""
"social_media_directory.module:963","Add a file","","","False","","",""
"social_media_directory.module:967","Add a link","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:83;244","Add file","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:90","Add link","","","False","","",""
"config/install/flag.flag.favorite_file.yml:0","Add to favorites","","","False","","",""
"src/Plugin/GroupContentEnabler/GroupTaxonomyTermDeriver.php:28","Adds %type terms to groups.","","","False","","",""
"src/Plugin/GroupContentEnabler/GroupTaxonomyTerm.php:8","Adds taxonomy terms to groups.","","","False","","",""
"social_media_directory.permissions.yml:0","Administer Media Directory Settings","","","False","","",""
"social_media_directory.module:372","All @type","","","False","","",""
"social_media_directory.module:649","All folder owners and a group manager will be
able to view and manage the nested folder","","","False","","",""
"social_media_directory.module:1976","All folder owners and a group manager(s) will be able to view and manage
this @type.","","","False","","",""
"assets/js/taxonomy-term-form.js:0","All folder owners and group manager(s) will be able to view and manage this folder.","","","False","","",""
"src/GroupFilesListTrait.php:246","All members","","","False","","",""
"social_media_directory.permissions.yml:0","Allow access to the media directory settings form to configure general files and folders options.","","","False","","",""
"src/Form/SocialMediaDirectorySettingsForm.php:57","Allowed file extensions","","","False","","",""
"social_media_directory.module:1998","Alternative text","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMediaDirectoryOwnerWidget.php:9","An autocomplete text field with tagging support.","","","False","","",""
"src/Form/SocialMediaDirectoryDeleteForm.php:45","Are you sure you want to delete the @type?","","","False","","",""
"src/Plugin/ActivityContext/SocialMediaDirectoryOwnerActivityContext.php:9","Back entity owner","","","False","","",""
"social_media_directory.module:153","Bookmark","","","False","","",""
"social_media_directory.module:1949","Cancel","","","False","","",""
"templates/file-details.html.twig:14","Close","","","False","","",""
"templates/file-details.html.twig:13;16","Close sidebar","","","False","","",""
"src/Plugin/ActivityContext/SocialMediaDirectoryHomeActivityContext.php:5","Content in my group activity context for home stream","","","False","","",""
"config/optional/field.field.message.media_directory_stream.field_message_context.yml:0","Context","","","False","","",""
"src/Service/SocialMediaDirectoryLinksBuilder.php:126","Copy URL","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:97","Create folder","","","False","","",""
"config/optional/message.template.media_directory.yml:0","Create folder as group content","","","False","","",""
"config/optional/message.template.media_directory_group.yml:0","Create folder as group content (group stream)","","","False","","",""
"config/optional/message.template.media_directory_stream.yml:0","Create folder as group content (some streams)","","","False","","",""
"templates/media--file--featured.html.twig:129;139","Created on","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:171","Date created","","","False","","",""
"templates/file-details.html.twig:72;74","Delete","","","False","","",""
"src/Controller/GroupFilesListController.php:287","Deleted user","","","False","","",""
"config/optional/field.field.message.media_directory_stream.field_message_destination.yml:0","Destinations","","","False","","",""
"config/install/core.entity_view_mode.taxonomy_term.details.yml:0","Details","","","False","","",""
"src/Plugin/Field/FieldFormatter/SocialMediaDirectoryOwnerFormatter.php:9","Display the label of the referenced owners.","","","False","","",""
"src/Plugin/Field/FieldFormatter/SocialMediaDirectoryTagFormatter.php:14","Display the label of the referenced tags.","","","False","","",""
"templates/file-details.html.twig:63;65","Download","","","False","","",""
"social_media_directory.tokens.inc:184","Download File","","","False","","",""
"templates/file-details.html.twig:6","Edit","","","False","","",""
"social_media_directory.module:938;955","Edit @name","","","False","","",""
"templates/file-details.html.twig:5;8","Edit file or folder","","","False","","",""
"src/Plugin/ActivityContext/SocialMediaDirectoryVersionOwnerExcludeActivityContext.php:5","Exclude the current revision's owner from recipients","","","False","","",""
"src/GroupFilesListTrait.php:213","Expand","","","False","","",""
"config/install/flag.flag.favorite_directory.yml:0","Favorite Directory","","","False","","",""
"config/install/flag.flag.favorite_file.yml:0","Favorite File","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:318","Favorites only","","","False","","",""
"templates/media--file--featured.html.twig:102","File","","","False","","",""
"social_media_directory.routing.yml:0","Files","Pièces jointes","","False","","",""
"src/Controller/GroupFilesListController.php:198","Folder","","","False","","",""
"src/Form/SocialMediaDirectoryDefaultForm.php:104","Folder visibility settings are passed to file visibility. If you want to change this, put your file outside the folder.","","","False","","",""
"templates/file-details.html.twig:34","Full version history","","","False","","",""
"src/Service/SocialMediaDirectoryLinksBuilder.php:143","Get info","","","False","","",""
"social_media_directory.tokens.inc:20","Group content entity title","","","False","","",""
"social_media_directory.tokens.inc:25","Group content entity url","","","False","","",""
"social_media_directory.tokens.inc:30","Group files path","","","False","","",""
"social_media_directory.module:338","Group members","Membres du groupe seulement","","False","","",""
"config/schema/social_media_directory.views.schema.yml:0","Group permission","","","False","","",""
"src/Plugin/views/access/SocialMediaDirectoryAccess.php:10","Group permissions","","","False","","",""
"src/Plugin/GroupContentEnabler/GroupTaxonomyTerm.php:8","Group taxonomy term","","","False","","",""
"src/Plugin/GroupContentEnabler/GroupTaxonomyTermDeriver.php:25","Group term (@label)","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:230","Here we will display all files added to this group.","","","False","","",""
"social_media_directory.module:1247","Inherit","","","False","","",""
"social_media_directory.module:409","Last updated","","","False","","",""
"src/Plugin/media/Source/Link.php:10","Link","","","False","","",""
"social_media_directory.module:146","Links","","","False","","",""
"config/install/flag.flag.lock_file.yml:0","Lock","","","False","","",""
"config/install/flag.flag.lock_file.yml:0","Lock file","","","False","","",""
"templates/file-details.html.twig:42","Locked by","","","False","","",""
"social_media_directory.permissions.yml:0","Make a file available for download and upload even if a user is not a group member.","","","False","","",""
"social_media_directory.links.menu.yml:0;0","Manage access to the ""Files"" group tab.","","","False","","",""
"social_media_directory.routing.yml:0","Media directory settings","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:143","Name","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:404","No files found.","","","False","","",""
"social_media_directory.module:1257","Only me","","","False","","",""
"social_media_directory.module:1252","Only some members","","","False","","",""
"src/Form/SocialMediaDirectoryListForm.php:157","Owner","","","False","","",""
"src/Plugin/Field/FieldFormatter/SocialMediaDirectoryOwnerFormatter.php:9","Owner label","","","False","","",""
"src/Plugin/ActivityContext/SocialMediaDirectoryOwnersActivityContext.php:10","Owners","","","False","","",""
