"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/EventSubscriber/StripeEventSubscriber.php:536","
              Your invoice is overdue. We tried to charge your credit card for
              your subscription renewal, however it failed. Please update your
              billing information to keep the subscription active.","
              Votre facture est en retard. Nous avons essayé de débiter votre carte de crédit pour
              pour le renouvellement de votre abonnement, mais cela n'a pas fonctionné. Veuillez mettre à jour vos
              informations de facturation pour que l'abonnement reste actif.","","True","","",""
"src/Form/SubscriptionCancelForm.php:220;213","'%name subscription has been cancelled.'","L'abonnement de %name a été annulé.","","True","","",""
"src/Form/SubscriptionCancelForm.php:226","'%name subscription has not been cancelled. Please try again later.'","L'abonnement de %name n'a pas été annulé. Veuillez réessayer plus tard.","","True","","",""
"modules/social_monetization_user/config/optional/views.view.user_subscriptions_overview.yml:0;0;0;0;0;0;0;0",",",",","","True","","",""
"modules/social_monetization_user/config/optional/views.view.user_subscriptions_overview.yml:0","'- All -'","'- Tout -'","","False","","",""
"modules/social_monetization_stripe_migration/src/BatchService.php:287","'@count subscription migration were skipped or failed.'","La migration d'abonnement @count a été ignorée ou a échoué.","","True","","",""
"modules/social_monetization_stripe_migration/src/BatchService.php:286","'@count subscription successfully migrated.'","L'abonnement @count a été migré avec succès.","","True","","",""
"modules/social_monetization_stripe_migration/src/BatchService.php:89","'@count users migrated.'","'@count users migrated.'","","True","","",""
"social_monetization.module:61","'@name customer ID'","'@name ID du client'","","True","","",""
"modules/social_monetization_user/config/optional/views.view.user_payment_overview.yml:0","'@total purchases'","'@total achats'","","False","","",""
"src/Form/SocialMonetizationSettingsForm.php:116","A decimal separator to be used when displaying currency.","Séparateur décimal à utiliser lors de l'affichage des devises.","","True","","",""
"config/schema/social_monetization.schema.yml:0","A group separator to be used when displaying currency.","Un séparateur de groupe à utiliser lors de l'affichage des devises.","","True","","",""
"src/Form/SocialMonetizationSettingsForm.php:127","A grouping separator to be used when displaying currency.","Un séparateur de groupe à utiliser lors de l'affichage des devises.","","True","","",""
"modules/social_monetization_user/src/Form/AddPaymentMethodForm.php:72","A new payment method has been added","Un nouveau mode de paiement a été ajouté","","True","","",""
"modules/social_monetization_user/src/Form/RemovePaymentMethodForm.php:183","A payment method has been removed","Un mode de paiement a été supprimé","","True","","",""
"modules/social_monetization_user/social_monetization_user.module:22","About","À propos","","False","","",""
"social_monetization.permissions.yml:0","Access Social Monetization Reports","Accéder aux rapports de monétisation sociale","","True","","",""
"modules/social_monetization_user/config/optional/views.view.user_subscriptions_overview.yml:0","Active","Actif","","False","","",""
"modules/social_monetization_user/social_monetization_user.routing.yml:0","Add a payment method","Ajouter un mode de paiement","","True","","",""
"modules/social_monetization_user/src/Form/PaymentDetailsForm.php:117","Add payment method","Ajouter un mode de paiement","","True","","",""
"social_monetization.routing.yml:0","Add variation","Ajouter une variation","","True","","",""
"social_monetization.permissions.yml:0","Administer event product","Administrer le produit de l'événement","","True","","",""
"social_monetization.permissions.yml:0","Administer group product","Administrer un produit de groupe","","True","","",""
"social_monetization.permissions.yml:0","Administer monetization settings","Administrer les paramètres de monétisation","","True","","",""
"social_monetization.permissions.yml:0","Administer platform signup product","Administrer le produit d'inscription à la plate-forme","","True","","",""
"social_monetization.permissions.yml:0","Administer subscriptions","Administrer les abonnements","","True","","",""
"modules/social_monetization_user/config/optional/views.view.user_payment_overview.yml:0","Advanced options","Options avancées","","False","","",""
"modules/social_monetization_user/config/optional/views.view.user_subscriptions_overview.yml:0","All","Tout","","False","","",""
"modules/social_monetization_event/social_monetization_event.permissions.yml:0","Allow enrolling in paid event","Permettre l'inscription à un événement payant","","True","","",""
"social_monetization.permissions.yml:0","Allow users to create new product variations","Permettre aux utilisateurs de créer de nouvelles variations de produits","","True","","",""
"social_monetization.permissions.yml:0","Allow users to delete other users invoices","Permettre aux utilisateurs de supprimer les factures d'autres utilisateurs","","True","","",""
"social_monetization.permissions.yml:0","Allow users to delete product variations","Permettre aux utilisateurs de supprimer des variations de produits","","True","","",""
"social_monetization.permissions.yml:0","Allow users to edit product variations","Permettre aux utilisateurs de modifier les variations de produits","","True","","",""
"modules/social_monetization_event/social_monetization_event.permissions.yml:0","Allows users to enroll in a paid event","Permet aux utilisateurs de s'inscrire à un événement payant","","True","","",""
"src/Form/ReportsForm.php:147;165","Amount","Montant","","True","","",""
"modules/social_monetization_stripe_migration/src/BatchService.php:96;312","An error occurred while processing @operation with arguments : @args","Une erreur est survenue lors du traitement de @operation avec pour arguments : @args","","False","","",""
