"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_newsletter.module:35","'- Choose an option -'","","",FALSE,"","",""
"src/Plugin/UserExportPlugin/Newsletter.php:86;13","Newsletter","","",FALSE,"","",""
"social_newsletter.module:32","No","","",FALSE,"","",""
"src/Plugin/UserExportPlugin/Newsletter.php:93","Not subscribed","","",FALSE,"","",""
"config/install/field.field.profile.profile.field_newsletter.yml:0","Opt-in newsletter","","",FALSE,"","",""
"social_newsletter.info.yml:0","Provides user the option to sign up for newsletter","","",FALSE,"","",""
"social_newsletter.info.yml:0","Social Newsletter","","",FALSE,"","",""
"src/Plugin/UserExportPlugin/Newsletter.php:93","Subscribed","","",FALSE,"","",""
"social_newsletter.module:31","Yes","","",FALSE,"","",""
"social_newsletter.info.yml:0","social","","",FALSE,"","",""
