"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"templates/group--join.html.twig:30","1 member","1 membre","",FALSE,"","",""
"social_onboarding.permissions.yml:0","Administer Social Onboarding settings","","",FALSE,"","",""
"templates/group--action-button.html.twig:12","Cancel request","Annuler la demande","",FALSE,"","",""
"social_onboarding.info.yml:0","Enables a modal to be shown to users with fields they should fill in.","","",FALSE,"","",""
"src/Form/SettingsForm.php:39","Enter a title and description for each of the modals.","","",FALSE,"","",""
"templates/views-view--groups-list.html.twig:68","Groups","","",FALSE,"","",""
"src/Form/ModalForm.php:139","Image","","",FALSE,"","",""
"templates/views-view--groups-list.html.twig:85","Informative message","Message d'information","",FALSE,"","",""
"templates/group--action-button.html.twig:18;18","Invitation only","","",FALSE,"","",""
"config/install/core.entity_view_mode.group.join.yml:0","Join","Rejoindre le groupe","",FALSE,"","",""
"templates/group--action-button.html.twig:3","Joined","Membre du groupe","",FALSE,"Is a member","",""
"templates/group--action-button.html.twig:5","Leave group","Quitter le groupe","",FALSE,"","",""
"src/Form/SettingsForm.php:59;80;101","Modal description","","",FALSE,"","",""
"src/Form/SettingsForm.php:52;73;94","Modal title","","",FALSE,"","",""
"src/Form/SettingsForm.php:45","Nickname","Pseudonyme","",FALSE,"","",""
"src/Form/ModalForm.php:194;386","Not now","","",FALSE,"","",""
"social_onboarding.routing.yml:0","Onboarding","","",FALSE,"","",""
"social_onboarding.links.menu.yml:0","Onboarding settings","","",FALSE,"","",""
"src/Form/SettingsForm.php:87","Profile groups","","",FALSE,"","",""
"src/Form/SettingsForm.php:66","Profile image","Image de profil","",FALSE,"","",""
"templates/group--action-button.html.twig:10","Request sent","Requête envoyée","",FALSE,"","",""
"templates/group--action-button.html.twig:15;15","Request to join","Demander à rejoindre","",FALSE,"","",""
"src/Form/ModalForm.php:180;373","Save and continue","","",FALSE,"","",""
"src/Form/ModalForm.php:167","Save and next","","",FALSE,"","",""
"social_onboarding.links.menu.yml:0","Settings for Social Onboarding.","","",FALSE,"","",""
"social_onboarding.info.yml:0","Social","Social","",FALSE,"","",""
"social_onboarding.info.yml:0","Social Onboarding","","",FALSE,"","",""
