"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/RealTime/RabbitMQ/RabbitMQClient.php:183","An error occurred while consuming messages: {e}","","",FALSE,"","",""
"src/RealTime/RabbitMQ/RabbitMQClient.php:188","An error occurred while setting up RabbitMQ message handling: {e}","","",FALSE,"","",""
"server/src/App.php:104","Application started.","","",FALSE,"","",""
"src/RealTime/GraphQLWsSubscriberBase.php:78","Attempted subscription without root field.","","",FALSE,"","",""
"src/RealTime/RabbitMQ/RabbitMQClient.php:152","Connecting to RabbitMQ client.","","",FALSE,"","",""
"src/RealTime/RabbitMQ/RabbitMQClient.php:157","Could not connect to RabbitMQ: {msg}","","",FALSE,"","",""
"src/RealTime/GraphQLWsSubscriberBase.php:70","GraphQLWsSubscriptionServer implementation error: onSubscribe event handler called with invalid operation.","","",FALSE,"","",""
"src/RealTime/GraphQLWsSubscriberBase.php:85","Handling subscription for: {field}","","",FALSE,"","",""
"src/RealTime/GraphQL/GraphQLSubscriptionServer.php:67","Listening for WebSocket connections on ws://{address}","","",FALSE,"","",""
"server/src/App.php:139","Loaded component: {label}","","",FALSE,"","",""
"social_real_time.info.yml:0","Provides a real time PHP process and an interface from Drupal to it.","","",FALSE,"","",""
"src/RealTime/RabbitMQ/RabbitMQClient.php:182","RabbitMQ Message Handling started.","","",FALSE,"","",""
"src/RealTime/RabbitMQ/RabbitMQClient.php:220","RabbitMQ Message received of type '{type}'","","",FALSE,"","",""
"src/RealTime/RabbitMQ/RabbitMQClient.php:224","Received an incorrectly formatted message from RabbitMQ: {e}","","",FALSE,"","",""
"src/RealTime/RabbitMQ/RabbitMQClient.php:215","Received unsupported RabbitMQ message of type '{type}'","","",FALSE,"","",""
"server/src/App.php:131","Skipped component '{label}' because its dependencies weren't satisfied.","","",FALSE,"","",""
"social_real_time.info.yml:0","Social","","",FALSE,"","",""
"social_real_time.info.yml:0","Social Real Time","","",FALSE,"","",""
"src/RealTime/SubscriptionRootFinderTrait.php:51","selected_field was not a FragmentSpreadNode or FieldNode instance.","","",FALSE,"","",""
