"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialRealtimeCollaborationForm.php:81","API keys","Clés API","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_idea/src/Plugin/ActivityAction/SuggestActivityAction.php:7","Action that is triggered when new suggestion added","Action déclenchée lors de l'ajout d'une nouvelle suggestion","","False","","",""
"modules/social_collaboration_tab/src/Form/SocialCollaborationTabSettingsForm.php:37","Active","Actif","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.permissions.yml:0","Administer Collaboration Tab Settings","Administrer les paramètres de l'onglet Collaboration","","False","","",""
"social_realtime_collaboration.permissions.yml:0","Administer real-time collaboration","Administrer la collaboration en temps réel","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.permissions.yml:0","Allow access to the collaboration tab settings form to configure comments and suggestions.","Autoriser l'accès au formulaire de paramétrage de l'onglet collaboration pour configurer les commentaires et les suggestions.","","False","","",""
"modules/social_collaboration_tab/config/schema/social_collaboration_tab.schema.yml:0","Allow regular users to leave comments in the description by default","Permettre aux utilisateurs réguliers de laisser des commentaires dans la description par défaut","","False","","",""
"modules/social_collaboration_tab/config/schema/social_collaboration_tab.schema.yml:0","Allow regular users to suggest changes in the description by default","Permettre aux utilisateurs réguliers de suggérer des modifications dans la description par défaut","","False","","",""
"src/Form/SocialRealtimeCollaborationForm.php:233","Allowed content types","Types de contenu autorisés","","False","","",""
"src/Plugin/Editor/SocialRealtimeCollaborationCKEditor5.php:16","CKEditor 5","CKEditor 5","","False","","",""
"social_realtime_collaboration.module:46","Click <em>CKEditor</em> in the <em>Your products</em> section of the main menu.","Cliquez sur <em>CKEditor</em> dans la section <em>Vos produits</em> du menu principal.","","False","","",""
"social_realtime_collaboration.module:47","Click <em>Manage</em> in an item of the <em>Your subscriptions</em> page.","Cliquez sur <em>Gérer</em> dans un élément de la page <em>Vos abonnements</em>.","","False","","",""
"modules/social_collaboration_tab/config/install/core.entity_form_mode.node.collaboration.yml:0","Collaboration","Collaboration","","False","","",""
"src/Form/SocialRealtimeCollaborationForm.php:184","Collaboration URLs","URL de collaboration","","False","","",""
