"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialSearchGridSettingsForm.php:98","'@label'","'@label'","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:219","'@new_title'","'@new_title'","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.routing.yml:0","Add promoted search result","Ajouter un résultat de recherche promu","","False","","",""
"social_search_grid.permissions.yml:0","Administer Search Grid Settings","Administrer les paramètres de la grille de recherche","","False","","",""
"config/schema/social_search_grid.schema.yml:0","All fields","Tous les domaines","","False","","",""
"social_search_grid.permissions.yml:0","Allow access to the search grid settings form to configure blocks.","Autoriser l'accès au formulaire de configuration de la grille de recherche pour configurer les blocs.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:82","Ascending","Ascendant","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:47","Assign keywords to a promoted search result to ensure it appears first in search.","Attribuez des mots-clés à un résultat de recherche promu pour qu'il apparaisse en premier dans la recherche.","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:84","Bundles","Paquets","","False","","",""
"templates/views-view--search-all-grid.html.twig:80","Cant’t find what you’re looking for? Try a more generic search term or searching by category.","Vous ne trouvez pas ce que vous cherchez ? Essayez un terme de recherche plus générique ou une recherche par catégorie.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:74","Choose the field by to sort within each group, the groups themselves will be sorted by the main query sorts.","Choisissez le champ par lequel vous souhaitez effectuer un tri au sein de chaque groupe. Les groupes eux-mêmes seront triés en fonction des tris de la requête principale.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:66","Choose the fields upon which to collapse the results into groups. Note that while selecting multiple fields is technicially supported, it may result in unexpected behaviour.","Choisissez les champs sur lesquels vous souhaitez regrouper les résultats. Notez que la sélection de plusieurs champs est techniquement possible, mais qu'elle peut entraîner un comportement inattendu.","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.info.yml:0","Community managers have the need to manipulate the search result and promote certain results connected to keywords.","Les gestionnaires de communautés ont besoin de manipuler les résultats de recherche et de promouvoir certains résultats liés à des mots-clés.","","False","","",""
"config/install/social_search_grid.settings.yml:0","Content","Contenu","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:135","Converted to string for indexing","Converti en chaîne de caractères pour l'indexation","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:77","Custom grouping label","Étiquette de regroupement personnalisée","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:83","Descending","Descendant","","False","","",""
"social_search_grid.info.yml:0","Display search all results as a grid.","Afficher tous les résultats de la recherche sous forme de grille.","","False","","",""
"config/install/social_search_grid.settings.yml:0","Events","Événements","","False","","",""
"src/Plugin/views/field/SearchGridApiRenderedItem.php:33","Failed to load item %item_id in view %view.","Échec du chargement de l'élément %item_id dans la vue %view.","","False","","",""
"config/schema/social_search_grid.schema.yml:0","Field name","Nom du champ","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:63","Fields to collapse on","Champs à réduire","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:49","For example, assign keywords like “Handbook” and “Guide” to the search result “Volunteers 2022 Handbook” so it appears first.","Par exemple, attribuez des mots-clés tels que ""Manuel"" et ""Guide"" au résultat de recherche ""Manuel des volontaires 2022"" afin qu'il apparaisse en premier.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:72","Group sort","Tri par groupe","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:80","Group sort direction","Sens du tri du groupe","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:9","Grouping","Regroupement","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:11","Grouping Field (with Limit)","Champ de regroupement (avec limite)","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:104","Grouping label","Étiquette de regroupement","","False","","",""
"config/schema/social_search_grid.schema.yml:0","Grouping processor configuration","Configuration du processeur de regroupement","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:117","Grouping weight","Poids de regroupement","","False","","",""
"config/install/social_search_grid.settings.yml:0","Groups","Groupes","","False","","",""
"config/schema/social_search_grid.schema.yml:0","How many entries a groups should have","Nombre d'entrées dans un groupe","","False","","",""
"config/schema/social_search_grid.schema.yml:0","How to sort the groups","Comment trier les groupes","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:91","If checked, facet counts are based on the most relevant document of each group matching the query, otherwise they are calculated for all documents before grouping.","Si cette case est cochée, le décompte des facettes est basé sur le document le plus pertinent de chaque groupe correspondant à la requête, sinon il est calculé pour tous les documents avant regroupement.","","False","","",""
"modules/social_search_grid_promoted/src/Plugin/Block/PromotedSearchBlock.php:117","If enabled, you will be able to search e.g. ""Conference"" and find results ”conference 2022” and ""conference 2021"".","Si cette option est activée, vous pourrez rechercher, par exemple, ""Conférence"" et trouver les résultats ""conférence 2022"" et ""conférence 2021"".","","False","","",""
"config/schema/social_search_grid.schema.yml:0","If truncate is activated","Si la troncature est activée","","False","","",""
"templates/views-view--search-all-grid.html.twig:79;92","Informative message","Message d'information","","False","","",""
"src/Plugin/views/field/SearchGridApiRenderedItem.php:44","Item of unknown datasource %datasource returned in view %view.","Élément de source de données inconnue %datasource renvoyé dans la vue %view.","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:84","Items to display:","Éléments à afficher:","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:52","Keyword","Mot-clé","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:74","Limit for grouping field Nr.!num","Limite pour le champ de regroupement Nr.!num","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:11","Limit the number of rows for each grouping field","Limiter le nombre de lignes pour chaque champ de regroupement","","False","","",""
"social_search_grid.links.task.yml:0;0","Most relevant","Le plus pertinent","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:65","No promoted results available. @link.","Pas de résultats promus disponibles. @link.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:127","None","Aucune","","False","","",""
"modules/social_search_grid_promoted/src/Plugin/Block/PromotedSearchBlock.php:125","Number of promoted search results","Nombre de résultats de recherche promus","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:93","Offset:","Décalage :","","False","","",""
"config/schema/social_search_grid.schema.yml:0","On which field to sort the groups","Sur quel champ trier les groupes","","False","","",""
"modules/social_search_grid_promoted/src/Plugin/Block/PromotedSearchBlock.php:116","Partial search","Recherche partielle","","False","","",""
"modules/social_search_grid_promoted/src/Plugin/Block/PromotedSearchBlock.php:14","Promoted search block","Bloc de recherche promu","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.links.task.yml:0","Promoted search results","Résultats de recherche promus","","False","","",""
